,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaccard Similarity,Escherichia_coli_O157_H7_EC4115,Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,Coprococcus_comes_ATCC_27758,Akkermansia_muciniphila_ATCC_BAA_835,Alistipes_putredinis_DSM_17216,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_5_1_36_D4,Bacteroides_dorei_DSM_17855,Bacteroides_eggerthii_DSM_20697,Bacteroides_finegoldii_DSM_17565,Bacteroides_fragilis_3_1_12,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_ovatus_ATCC_8483,Bacteroides_pectinophilus_ATCC_43243,Bacteroides_plebeius_M12_DSM_17135,Bacteroides_sp_2_1_7,Bacteroides_sp_2_2_4,Bacteroides_sp_4_3_47FAA,Bacteroides_sp_9_1_42FAA,Bacteroides_sp_D1,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_vulgatus_ATCC_8482,Bacteroides_xylanisolvens_XB1A,Bifidobacterium_adolescentis_L2_32,Bifidobacterium_catenulatum_DSM_16992,Bifidobacterium_longum_longum_CCUG_52486,Bifidobacterium_pseudocatenulatum_DSM_20438,Blautia_hansenii_VPI_C7_24_DSM_20583,Bryantella_formatexigens_I_52_DSM_14469,Butyrivibrio_crossotus_DSM_2876,Catenibacterium_mitsuokai_DSM_15897,Clostridiales_sp_SS3_4,Clostridium_asparagiforme_DSM_15981,Clostridium_bartlettii_DSM_16795,Clostridium_bolteae_ATCC_BAA_613,Clostridium_leptum_DSM_753,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_nexile_DSM_1787,Clostridium_scindens_ATCC_35704,Clostridium_sp_L2_50,Clostridium_sp_M62_1,Clostridium_sp_SS2_1,Collinsella_aerofaciens_ATCC_25986,Coprobacillus_sp_D7,Coprococcus_eutactus_ATCC_27759,Dorea_formicigenerans_ATCC_27755,Dorea_longicatena_DSM_13814,Enterococcus_faecalis_TX0104,Eubacterium_biforme_DSM_3989,Eubacterium_hallii_DSM_3353,Eubacterium_rectale_M104_1,Eubacterium_siraeum_70_3,Eubacterium_ventriosum_ATCC_27560,Faecalibacterium_prausnitzii_SL3_3,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,Holdemania_filiformis_VPI_J1_31B_1_DSM_12042,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_merdae_ATCC_43184,Prevotella_copri_CB7_DSM_18205,Pseudoflavonifractor_capillosus_ATCC_29799,Roseburia_intestinalis_M50_1,Ruminococcus_bromii_L2_63,Ruminococcus_gnavus_ATCC_29149,Ruminococcus_lactaris_ATCC_29176,Ruminococcus_obeum_A2_162,Ruminococcus_sp_SR1_5,Ruminococcus_torques_L2_14,Streptococcus_thermophilus_LMD_9,Subdoligranulum_variabile_DSM_15176,Clostridium_symbiosum_WAL_14163,Actinobacillus_pleuropneumoniae_sv_7_AP76,Actinomyces_odontolyticus_ATCC_17982,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Bifidobacterium_angulatum_DSM_20098,Bifidobacterium_animalis_lactis_AD011,Bifidobacterium_bifidum_NCIMB_41171,Bifidobacterium_breve_DSM_20213,Bifidobacterium_dentium_ATCC_27678,Bifidobacterium_gallicum_DSM_20093,Blautia_hydrogenotrophica_DSM_10507,Butyrivibrio_fibrisolvens_16_4,Campylobacter_concisus_13826,Campylobacter_hominis_ATCC_BAA_381,Candidatus_Sulcia_muelleri_GWSS,Citrobacter_koseri_ATCC_BAA_895,Citrobacter_sp_30_2,Clostridium_difficile_630,Clostridium_hylemonae_DSM_15053,Clostridium_perfringens_ATCC_13124,Clostridium_phytofermentans_ISDg,Clostridium_ramosum_VPI_0427_DSM_1402,Clostridium_sp_7_2_43FAA,Clostridium_spiroforme_DSM_1552,Collinsella_intestinalis_DSM_13280,Collinsella_stercoris_DSM_13279,Cronobacter_sakazakii_ATCC_BAA_894,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_vulgaris_Miyazaki_F,Enterobacter_cancerogenus_ATCC_35316,Enterobacter_sp_638,Enterococcus_faecalis_TX1322,Enterococcus_sp_7L76,Escherichia_fergusonii_UMN026_ATCC_35469,Eubacterium_dolichum_DSM_3991,Finegoldia_magna_ATCC_29328,Fusobacterium_nucleatum_nucleatum_ATCC_25586,Haemophilus_influenzae_NTHi_86_028NP,Haemophilus_parasuis_SH0165,Helicobacter_pullorum_MIT_98_5489,Klebsiella_pneumoniae_342,Lactobacillus_acidophilus_NCFM,Lactobacillus_casei_casei_BL23,Lactobacillus_delbrueckii_bulgaricus_ATCC_11842,Lactobacillus_fermentum_IFO_3956,Lactobacillus_gasseri_ATCC_33323,Lactobacillus_helveticus_DPC_4571,Lactobacillus_hilgardii_ATCC_8290,Lactobacillus_johnsonii_NCC_533,Lactobacillus_paracasei_ATCC_25302,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_sakei_sakei_23K,Lactobacillus_salivarius_HO66_ATCC_11741,Lactobacillus_ultunensis_DSM_16047,Lactococcus_lactis_cremoris_MG1363,Megamonas_hypermegale_ART12_1,Methanobrevibacter_smithii_DSM_2375,Methanosphaera_stadtmanae_DSM_3091,Mitsuokella_multacida_DSM_20544,Pasteurella_multocida_multocida_Pm70,Pediococcus_pentosaceus_ATCC_25745,Porphyromonas_gingivalis_ATCC_33277,Proteus_mirabilis_HI4320,Proteus_penneri_ATCC_35198,Pseudomonas_aeruginosa_LESB58,Salmonella_enterica_sv_Heidelberg_SL476_CVM30485,Staphylococcus_saprophyticus_saprophyticus_ATCC_15305,Streptococcus_gordonii_Challis_CH1,Streptococcus_infantarius_infantarius_ATCC_BAA_102,Streptococcus_mutans_UA159,Streptococcus_pneumoniae_Hungary19A_6,Streptococcus_pyogenes_M4_MGAS10750,Streptococcus_sanguinis_SK36,Streptococcus_suis_05ZYH33,Thermoanaerobacter_sp_X514,Tropheryma_whipplei_Twist
Escherichia_coli_O157_H7_EC4115,1,0.053475029,0.042432023,0.02457102,0.005905023,0.300059263,0.009189015,0.028139062,0.028720549,0.016675776,0.041804872,0.059021854,0.048800319,0.022958793,0.1227744,0.344647607,0.029205383,0.179867324,0.021874673,0.018960685,0.02943391,0.025445759,0.035598711,0.031489141,0.013416584,0.00914587,0.005702824,0.015588674,0.027611897,0.01955488,0.279630255,0.082455813,0.541782257,0.336308004,0.378402361,0.009549078,0.029885247,0.013107401,0.313224804,0.279254089,0.211031637,0.1556725,0.403119358,0.229496554,0.348786599,0.016613418,0.165169275,0.018487316,0.020857604,0.342879203,0.031390692,0.020541039,0.012488729,0.375852452,0.023554592,0.018857659,0.03355651,0.036024099,0.03180345,0.015240964,0.311590696,0.174437494,0.024509525,0.122495473,0.007130813,0.00627675,0.158946764,0.022097295,0.009731465,0.20656875,0.014063023,0.058455176,0.020122231,0.016530981,0.195683395,0.108574816,0.464409126,0.115133507,0.424046399,0.128456343,0.206452635,0.422594504,0.214560712,0.218270377,0.223154111,0.341209309,0.343470284,0.109856469,0.608931029,0.422936229,0.075248174,0.107175535,0.473676102,0.049070514,0.039583313,0.456095494,0.457488224,0.362500816,0.423215339,0.16732886,0.469157803,0.171856368,0.53596277,0.557655657,0.052655836,0.020110208,0.362379233,0.066123829,0.03523666,0.095851329,0.129299437,0.093772869,0.288892605,0.217381035,0.134903028,0.205941963,0.136125522,0.018962656,0.055092233,0.035685776,0.022804137,0.08287267,0.035833888,0.082395747,0.096656002,0,0.043158625,0.009719712,0.018423522,0.055901382,0.110541582,0.042212049,0.214367506,0.095247005,0.328653154,0.011807127,0.017738659,0.15134813,0.099137636,0.533984319,0.083319837,0.051485291,0.068842064,0.029460044,0.052591416,0.310221622,0.184423196,0.203811664,0.452735992,0.059356955,0.292826417,0.088936192,0.048750135,0.093945072
Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,0.053475029,1,0.002476083,0.002034639,0.000344582,0.017509692,0.000536217,0.001735055,0.001906664,0.001146155,0.002439486,0.003444168,0.002847699,0.00133974,0.007164391,0.020111605,0.001704254,0.010495998,0.001507847,0.001106434,0.00171759,0.001484865,0.002077331,0.001837521,0.000782913,0.000533699,0.000332783,0.000909663,0.001611268,0.001141108,0.041399966,0.004841007,0.053823491,0.027980411,0.040401408,0.000557228,0.002128522,0.000764871,0.02252712,0.019573899,0.013549297,0.010735581,0.046996708,0.013392067,0.026277896,0.000969461,0.009638306,0.001078811,0.001217127,0.04894753,0.001976518,0.001198654,0.000728769,0.029067862,0.001785868,0.001100422,0.00195816,0.002461426,0.001863176,0.000889373,0.040742248,0.010179145,0.001430232,0.007148114,0.000416112,0.000366274,0.009275197,0.001289468,0.000674478,0.012054136,0.000820635,0.0034111,0.001174215,0.000964651,0.014097278,0.006335787,0.052429159,0.303024503,0.108013149,0.399266418,0.271305089,0.099233991,0.041353517,0.233760421,0.055597626,0.148469459,0.156644576,0.378477145,0.048754323,0.051295306,0.531730392,0.356549513,0.081932908,0.533642463,0.454880397,0.100715885,0.100176758,0.052475583,0.124464193,0.28355611,0.062083835,0.026459079,0.061517728,0.054921799,0.580625697,0.002284797,0.147352901,0.521281685,0.549774852,0.41415369,0.21470885,0.378192933,0.024136336,0.256514274,0.368229951,0.050787674,0.268057366,0.324958348,0.63406317,0.558495106,0.185281035,0.440321488,0.22615916,0.113891007,0.403164627,0,0.559058214,0.166564308,0.277882562,0.740389283,0.067330176,0.441625624,0.261192851,0.031781879,0.07564439,0.202335813,0.002102094,0.248673233,0.408670923,0.073149995,0.192022772,0.032245977,0.468832934,0.494893284,0.599792032,0.12041411,0.265154067,0.222516282,0.077034737,0.725824304,0.167791935,0.527420539,0.715629799,0.131390862
Coprococcus_comes_ATCC_27758,0.042432023,0.002476083,1,0.233240869,0.135512936,0.14141214,0.197243648,0.245036967,0.204196321,0.10750587,0.62807885,0.578565446,0.241486646,0.160811873,0.315386852,0.123117125,0.399412663,0.235907343,0.104297689,0.39819068,0.494834084,0.503281282,0.571273139,0.575510953,0.196949383,0.183723324,0.134399062,0.367379952,0.602006303,0.36363327,0.059808817,0.47071773,0.04600376,0.088493446,0.061287046,0.133519599,0.31315023,0.308903507,0.109915648,0.126499218,0.182746231,0.230642663,0.052686306,0.184891763,0.094226833,0.196898118,0.256900217,0.33092489,0.462365021,0.050586474,0.324996949,0.461349896,0.265588778,0.085182836,0.348159993,0.418615282,0.583151469,0.524726298,0.420098062,0.359185425,0.060774333,0.243250585,0.515319067,0.312304725,0.149919105,0.14792483,0.266957448,0.475661871,0.182861752,0.205413561,0.232207008,0.628570242,0.447178498,0.376137773,0.175642633,0.390809067,0.047227211,0.004885348,0.022548917,0.005651046,0.009062408,0.024951964,0.059875995,0.009702425,0.044535768,0.016568957,0.015807014,0.004839307,0.050786941,0.048271141,0.003192932,0.004547675,0.03022086,0.002082161,0.0016796,0.02458483,0.02471714,0.044530893,0.019893938,0.007423736,0.03811461,0.093581599,0.040249909,0.045083792,0.002234294,0.304052519,0.016151497,0.002805768,0.001495163,0.00451035,0.006222269,0.003978972,0.102587357,0.00940113,0.005848573,0.045806766,0.005776081,0.000804624,0.002337675,0.00151422,0.000967626,0.003516455,0.001520504,0.014021508,0.004115329,0,0.001831308,0.000412427,0.000781747,0.002372009,0.032925655,0.001791143,0.009479903,0.077908639,0.024085288,0.000501,0.12422925,0.006422007,0.00420661,0.033849394,0.004485982,0.033060818,0.002921108,0.001250049,0.00223156,0.019811315,0.00933828,0.009491631,0.032142421,0.002648123,0.014756865,0.00401441,0.00222701,0.016328697
Akkermansia_muciniphila_ATCC_BAA_835,0.02457102,0.002034639,0.233240869,1,0.156447251,0.087613337,0.069164458,0.310473767,0.103732566,0.152824516,0.210303033,0.164133961,0.075664136,0.047863088,0.076208067,0.064127134,0.268117871,0.130595459,0.038696534,0.167554901,0.235781714,0.189273112,0.225157466,0.152547431,0.266687724,0.185758383,0.16142391,0.227188196,0.163587709,0.398379438,0.037447417,0.187975819,0.02165877,0.06029428,0.044668459,0.107339094,0.234714208,0.247858533,0.075741919,0.087905096,0.070738375,0.114953897,0.036960656,0.107337231,0.063581115,0.073384106,0.148204137,0.290540026,0.274874979,0.03599884,0.396238891,0.17012343,0.245011291,0.053577858,0.234443526,0.22857789,0.236288843,0.235678516,0.087737104,0.30201095,0.041714894,0.110870505,0.215813415,0.18170635,0.142168797,0.173525044,0.140150191,0.269763042,0.126568637,0.081795285,0.218379327,0.269186949,0.146837974,0.14013988,0.118456272,0.213471629,0.035445128,0.004014373,0.018291616,0.00464356,0.007332224,0.019403333,0.020456687,0.007972647,0.035430039,0.011986563,0.012469724,0.003976541,0.029035839,0.035888042,0.002623686,0.003736901,0.022428086,0.001710947,0.001380156,0.019102896,0.019257944,0.021897571,0.015904142,0.006100209,0.027840767,0.075687971,0.031397597,0.034931746,0.001835957,0.234494525,0.012956198,0.00194203,0.0012286,0.003706231,0.004833412,0.002557516,0.030903735,0.007725067,0.004805871,0.036610895,0.004746303,0.000661173,0.001920907,0.00124426,0.000795114,0.00288953,0.001249424,0.01152171,0.003381636,0,0.001504816,0.000338898,0.000642375,0.00194912,0.027055566,0.001471812,0.007789797,0.040999241,0.017941618,0.00041168,0.226167804,0.005277072,0.003456643,0.022134463,0.003686207,0.027166632,0.002400324,0.001027187,0.001833711,0.015954494,0.007444728,0.006820583,0.02455875,0.002176007,0.011572975,0.003298709,0.001829972,0.013417566
Alistipes_putredinis_DSM_17216,0.005905023,0.000344582,0.135512936,0.156447251,1,0.019679523,0.44785163,0.198600222,0.168622306,0.128838842,0.134999881,0.09461228,0.120262765,0.151864085,0.04593955,0.01713351,0.190265372,0.032829883,0.165342737,0.246806951,0.172443151,0.184215079,0.149850999,0.16618331,0.355413736,0.372202372,0.648173337,0.291884768,0.186061612,0.231135531,0.008323253,0.071179894,0.006402082,0.01231513,0.00852897,0.25494775,0.101803622,0.356162756,0.015296336,0.017604177,0.025431754,0.032097227,0.007332054,0.025730335,0.013113012,0.355436996,0.035751342,0.309024971,0.231631238,0.007039832,0.154091071,0.244334665,0.375123265,0.011854411,0.163046173,0.288287366,0.173463311,0.139992999,0.18494357,0.333934849,0.008457618,0.0338518,0.216227185,0.048206053,0.585632995,0.572653459,0.03715095,0.266355538,0.354415487,0.028586237,0.218576877,0.100695849,0.264195645,0.293821022,0.024443186,0.054386675,0.006572342,0.000679866,0.003138004,0.000786424,0.001261164,0.003472423,0.008332602,0.001350231,0.006197789,0.002305807,0.002199772,0.000673459,0.00706773,0.00671762,0.000444342,0.000632874,0.004205665,0.000289763,0.00023374,0.003421331,0.003439744,0.006197111,0.002768526,0.001033119,0.005304193,0.013023219,0.005601351,0.006274055,0.000310934,0.128775083,0.002247712,0.000390463,0.000208073,0.00062768,0.000865918,0.000553731,0.013113451,0.001308302,0.000813913,0.006374667,0.000803824,0.000111975,0.000325321,0.000210725,0.000134659,0.000489365,0.0002116,0.001951294,0.000572707,0,0.000254853,5.74E-05,0.000108791,0.000330099,0.004582076,0.000249263,0.001319264,0.010842102,0.003351813,6.97E-05,0.151964808,0.000893714,0.00058541,0.004710628,0.000624289,0.004600886,0.000406514,0.000173962,0.000310554,0.002757028,0.001299555,0.001320896,0.004473078,0.000368524,0.002053629,0.000558663,0.00030992,0.002272372
Anaerotruncus_colihominis_DSM_17241,0.300059263,0.017509692,0.14141214,0.087613337,0.019679523,1,0.030241456,0.073475795,0.084578953,0.045232489,0.139322052,0.196700655,0.142234126,0.071594456,0.273622107,0.596852109,0.097332051,0.599439332,0.059792215,0.063189801,0.098093655,0.084802446,0.118638934,0.104943073,0.044713113,0.030480212,0.019005659,0.051951985,0.092021478,0.065170059,0.394032581,0.218398951,0.317632134,0.625783938,0.433393103,0.031795253,0.066482167,0.043682706,0.586467216,0.33933765,0.392938248,0.5135092,0.372572725,0.764837426,0.66632775,0.055367121,0.55045551,0.061612217,0.069511616,0.357723701,0.104720226,0.068456608,0.041620873,0.602372866,0.074173068,0.062846448,0.11183294,0.13182822,0.104781005,0.05079318,0.40826378,0.564564291,0.08168228,0.390891071,0.023764681,0.020918367,0.487246205,0.073643103,0.033659318,0.609447034,0.046612927,0.194812101,0.067060857,0.055092388,0.557846719,0.361844574,0.333968576,0.034546875,0.159455311,0.039961531,0.064085076,0.176448527,0.223844605,0.06861098,0.186864775,0.117167854,0.111779751,0.034221301,0.35914131,0.341350757,0.022578912,0.032159012,0.21370768,0.014724062,0.01187734,0.173852333,0.174787965,0.175088504,0.140680554,0.052497161,0.269528556,0.323677087,0.284628385,0.31881133,0.015799871,0.060648167,0.114215774,0.019841067,0.010573086,0.031895068,0.044000953,0.028137418,0.225773577,0.066480361,0.041358351,0.196856075,0.040845724,0.00568992,0.016530935,0.010707848,0.006842593,0.024866712,0.01075229,0.099153495,0.02910167,0,0.012950145,0.00291649,0.005528148,0.016773728,0.133685976,0.012666116,0.067037408,0.138515108,0.170319804,0.003542838,0.035973349,0.045413408,0.029747166,0.239366956,0.031722751,0.106037791,0.020656699,0.008839759,0.015780542,0.140096282,0.066035916,0.067120337,0.227296051,0.018726277,0.104353595,0.028388017,0.015748364,0.115468846
Bacteroides_caccae_ATCC_43185,0.009189015,0.000536217,0.197243648,0.069164458,0.44785163,0.030241456,1,0.192718675,0.138912154,0.088730358,0.191190155,0.136971105,0.142322497,0.236414301,0.074844716,0.025419516,0.227415367,0.049173829,0.27270783,0.432681124,0.248546522,0.32750302,0.21217508,0.27789315,0.28635601,0.418393855,0.498865595,0.441581094,0.307566093,0.211843941,0.012952107,0.090174166,0.009962505,0.019164008,0.013272231,0.191378698,0.165719497,0.427414173,0.023803168,0.027394481,0.039575249,0.044959684,0.011409667,0.038594159,0.020405621,0.38903956,0.048170643,0.282165807,0.34309655,0.010954931,0.152440801,0.349270324,0.479232625,0.018447067,0.257542248,0.306792005,0.247674061,0.201642123,0.285407168,0.432142988,0.013161198,0.051664579,0.30438063,0.05212236,0.569091738,0.513828208,0.053023828,0.324521581,0.326281338,0.044484052,0.320503697,0.147701381,0.328475336,0.497507767,0.032096449,0.077766996,0.010227454,0.001057964,0.00488316,0.001223782,0.001962541,0.00540356,0.012966655,0.002101143,0.009644599,0.003588148,0.003423143,0.001047993,0.010998344,0.010453526,0.000691457,0.000984838,0.006544584,0.00045091,0.000363732,0.005324054,0.005352707,0.009643543,0.004308201,0.001607673,0.008254043,0.020265891,0.00871646,0.009763278,0.000483855,0.169257053,0.003497744,0.000607613,0.00032379,0.000976755,0.001347485,0.00086168,0.022216164,0.002035895,0.001266558,0.009919844,0.001250859,0.000174248,0.000506243,0.000327917,0.000209548,0.000761518,0.000329278,0.003036477,0.00089121,0,0.000396585,8.93E-05,0.000169294,0.000513679,0.00713033,0.000387887,0.002052954,0.016871778,0.005215874,0.000108496,0.161779641,0.00139074,0.000910977,0.007330374,0.000971478,0.007159601,0.000632591,0.000270709,0.000483263,0.004290309,0.002022284,0.002055493,0.006960714,0.000573474,0.003195725,0.000869355,0.000482278,0.003536118
Bacteroides_cellulosilyticus_DSM_14838,0.028139062,0.001735055,0.245036967,0.310473767,0.198600222,0.073475795,0.192718675,1,0.094300344,0.085145819,0.219948408,0.200879078,0.06543317,0.094315649,0.152484253,0.079375807,0.513098478,0.095189798,0.040530931,0.215529276,0.359203857,0.183623686,0.27872074,0.205386789,0.19283641,0.298905972,0.191799773,0.165456142,0.210272249,0.275222854,0.036477834,0.251176865,0.030415337,0.043923311,0.031680633,0.059072953,0.052921814,0.21209737,0.065402441,0.081351565,0.082856084,0.113237035,0.028593342,0.084522498,0.047148542,0.0447528,0.125815702,0.461818041,0.263608653,0.032964894,0.298738854,0.27442386,0.225630222,0.046405239,0.104844762,0.321750197,0.203623653,0.150624935,0.318794315,0.268961717,0.030908142,0.104969361,0.311046088,0.155330548,0.228196353,0.187078118,0.121019011,0.32708274,0.191642993,0.101250774,0.188269881,0.146508789,0.228208519,0.280423022,0.08604062,0.150111734,0.027082595,0.003085217,0.01508122,0.003959834,0.006350264,0.015689215,0.02904942,0.00679874,0.00988283,0.011610297,0.010047529,0.003391028,0.031805496,0.027975285,0.00223737,0.003186673,0.020027779,0.001459024,0.001176939,0.016769996,0.015304933,0.020463221,0.012687259,0.005202004,0.026601606,0.038357543,0.026134318,0.028600795,0.001565627,0.053235501,0.011235827,0.001966074,0.001047699,0.003160519,0.003517814,0.002788169,0.030330923,0.006587615,0.004098246,0.01092565,0.003294022,0.000563821,0.001638069,0.001061053,0.00067804,0.002464071,0.001065457,0.006358845,0.002883718,0,0.001283245,0.000288998,0.000547791,0.001662128,0.008521267,0.0012551,0.006642813,0.054592598,0.009910572,0.000351064,0.043229857,0.003389247,0.002947681,0.022453132,0.003143444,0.005858812,0.002046896,0.000875942,0.001563712,0.01361312,0.006543574,0.006651031,0.021791812,0.001855608,0.01000159,0.002813001,0.001560523,0.006874248
Bacteroides_coprocola_M16_DSM_17136,0.028720549,0.001906664,0.204196321,0.103732566,0.168622306,0.084578953,0.138912154,0.094300344,1,0.078779069,0.134984746,0.12321691,0.070177943,0.061457958,0.083452699,0.063613916,0.103122452,0.11340669,0.045181808,0.102346437,0.126349251,0.182196371,0.118796,0.129368523,0.069485329,0.087141446,0.048916441,0.139737981,0.159061487,0.292190198,0.044947662,0.093917669,0.027478014,0.06378124,0.045802995,0.291769923,0.137685868,0.139228604,0.078469799,0.08061279,0.085251335,0.083497138,0.040570159,0.097851941,0.065216089,0.215510637,0.111899422,0.091895982,0.169719622,0.036869625,0.106375221,0.120684462,0.129670993,0.055645414,0.113114762,0.133951095,0.227889327,0.204727262,0.137454262,0.194181655,0.043835732,0.097334277,0.154694842,0.08574509,0.091360108,0.164718162,0.111247733,0.121701591,0.326711681,0.088477031,0.173797813,0.146274938,0.131919112,0.135426824,0.086645616,0.161242303,0.03618899,0.003761876,0.017363395,0.004351488,0.006978347,0.019213819,0.027203531,0.007471181,0.034293981,0.012758632,0.012171912,0.003726423,0.03357641,0.036269124,0.002458661,0.003501857,0.023271039,0.001603331,0.001293346,0.018931114,0.019032997,0.024692967,0.015318975,0.005716517,0.026583981,0.042160126,0.030993731,0.034715977,0.001720478,0.13410792,0.012437175,0.002160532,0.001151324,0.003473115,0.004791348,0.003063937,0.036699512,0.007239174,0.00450359,0.03527269,0.004447769,0.000619586,0.001800085,0.001165998,0.000745103,0.002707784,0.001170837,0.004403702,0.003168937,0,0.001410166,0.000317582,0.000601971,0.001826523,0.006793823,0.001379238,0.007299832,0.05999217,0.01854645,0.000385786,0.047803517,0.004945153,0.003239226,0.026065127,0.003454351,0.003885462,0.002249348,0.000962578,0.001718373,0.015255353,0.007190778,0.007308862,0.022762751,0.00203914,0.011363263,0.003091226,0.00171487,0.004970707
Bacteroides_coprophilus_DSM_18228,0.016675776,0.001146155,0.10750587,0.152824516,0.128838842,0.045232489,0.088730358,0.085145819,0.078779069,1,0.093738971,0.077088797,0.045643092,0.250496387,0.037408475,0.036581714,0.091772179,0.055370031,0.034329427,0.10157906,0.104239952,0.124369767,0.087207123,0.121928369,0.190574235,0.142366613,0.133833618,0.217642078,0.121241006,0.251967489,0.027684937,0.060571141,0.015955032,0.035626366,0.028199544,0.389073516,0.203154039,0.197115644,0.047717928,0.049194578,0.051392392,0.04594257,0.024387994,0.051397239,0.03668527,0.031505119,0.060868314,0.073136865,0.13799494,0.022258817,0.188270288,0.095169919,0.060037321,0.030477382,0.243104066,0.09125935,0.155760417,0.099991721,0.113766119,0.13315187,0.025397174,0.055780008,0.074640534,0.051052436,0.11279324,0.253100903,0.055674772,0.133895852,0.119671517,0.045947732,0.127996478,0.109073625,0.144184748,0.123299571,0.047460698,0.07801379,0.021861031,0.002261381,0.010437681,0.002615816,0.004194903,0.011550029,0.017590304,0.004491161,0.010206783,0.007669614,0.007316918,0.00224007,0.019610109,0.022344256,0.001477978,0.002105076,0.013988951,0.000963813,0.000777471,0.011380086,0.011441331,0.015513519,0.009208716,0.003436377,0.017041616,0.026666588,0.018631303,0.020868862,0.001034233,0.166254027,0.007476376,0.001298763,0.000692097,0.002087798,0.00288023,0.001841829,0.023019426,0.004351694,0.002707249,0.010903027,0.002673694,0.000372453,0.001082088,0.000700918,0.000447905,0.001627734,0.000703827,0.003681928,0.001904947,0,0.000847695,0.000190909,0.000361863,0.00109798,0.005135812,0.000829103,0.004388158,0.036063174,0.010228259,0.000231908,0.125481824,0.002972687,0.0019472,0.015668565,0.002076519,0.003373928,0.001352153,0.000578636,0.001032968,0.009170471,0.004322602,0.004393586,0.014736111,0.001225791,0.006830814,0.001858233,0.001030862,0.004024666
