,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaccard Similarity,Escherichia_coli_O157_H7_EC4115,Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,Coprococcus_comes_ATCC_27758,Akkermansia_muciniphila_ATCC_BAA_835,Alistipes_putredinis_DSM_17216,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_5_1_36_D4,Bacteroides_dorei_DSM_17855,Bacteroides_eggerthii_DSM_20697,Bacteroides_finegoldii_DSM_17565,Bacteroides_fragilis_3_1_12,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_ovatus_ATCC_8483,Bacteroides_pectinophilus_ATCC_43243,Bacteroides_plebeius_M12_DSM_17135,Bacteroides_sp_2_1_7,Bacteroides_sp_2_2_4,Bacteroides_sp_4_3_47FAA,Bacteroides_sp_9_1_42FAA,Bacteroides_sp_D1,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_vulgatus_ATCC_8482,Bacteroides_xylanisolvens_XB1A,Bifidobacterium_adolescentis_L2_32,Bifidobacterium_catenulatum_DSM_16992,Bifidobacterium_longum_longum_CCUG_52486,Bifidobacterium_pseudocatenulatum_DSM_20438,Blautia_hansenii_VPI_C7_24_DSM_20583,Bryantella_formatexigens_I_52_DSM_14469,Butyrivibrio_crossotus_DSM_2876,Catenibacterium_mitsuokai_DSM_15897,Clostridiales_sp_SS3_4,Clostridium_asparagiforme_DSM_15981,Clostridium_bartlettii_DSM_16795,Clostridium_bolteae_ATCC_BAA_613,Clostridium_leptum_DSM_753,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_nexile_DSM_1787,Clostridium_scindens_ATCC_35704,Clostridium_sp_L2_50,Clostridium_sp_M62_1,Clostridium_sp_SS2_1,Collinsella_aerofaciens_ATCC_25986,Coprobacillus_sp_D7,Coprococcus_eutactus_ATCC_27759,Dorea_formicigenerans_ATCC_27755,Dorea_longicatena_DSM_13814,Enterococcus_faecalis_TX0104,Eubacterium_biforme_DSM_3989,Eubacterium_hallii_DSM_3353,Eubacterium_rectale_M104_1,Eubacterium_siraeum_70_3,Eubacterium_ventriosum_ATCC_27560,Faecalibacterium_prausnitzii_SL3_3,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,Holdemania_filiformis_VPI_J1_31B_1_DSM_12042,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_merdae_ATCC_43184,Prevotella_copri_CB7_DSM_18205,Pseudoflavonifractor_capillosus_ATCC_29799,Roseburia_intestinalis_M50_1,Ruminococcus_bromii_L2_63,Ruminococcus_gnavus_ATCC_29149,Ruminococcus_lactaris_ATCC_29176,Ruminococcus_obeum_A2_162,Ruminococcus_sp_SR1_5,Ruminococcus_torques_L2_14,Streptococcus_thermophilus_LMD_9,Subdoligranulum_variabile_DSM_15176,Clostridium_symbiosum_WAL_14163,Actinobacillus_pleuropneumoniae_sv_7_AP76,Actinomyces_odontolyticus_ATCC_17982,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Bifidobacterium_angulatum_DSM_20098,Bifidobacterium_animalis_lactis_AD011,Bifidobacterium_bifidum_NCIMB_41171,Bifidobacterium_breve_DSM_20213,Bifidobacterium_dentium_ATCC_27678,Bifidobacterium_gallicum_DSM_20093,Blautia_hydrogenotrophica_DSM_10507,Butyrivibrio_fibrisolvens_16_4,Campylobacter_concisus_13826,Campylobacter_hominis_ATCC_BAA_381,Candidatus_Sulcia_muelleri_GWSS,Citrobacter_koseri_ATCC_BAA_895,Citrobacter_sp_30_2,Clostridium_difficile_630,Clostridium_hylemonae_DSM_15053,Clostridium_perfringens_ATCC_13124,Clostridium_phytofermentans_ISDg,Clostridium_ramosum_VPI_0427_DSM_1402,Clostridium_sp_7_2_43FAA,Clostridium_spiroforme_DSM_1552,Collinsella_intestinalis_DSM_13280,Collinsella_stercoris_DSM_13279,Cronobacter_sakazakii_ATCC_BAA_894,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_vulgaris_Miyazaki_F,Enterobacter_cancerogenus_ATCC_35316,Enterobacter_sp_638,Enterococcus_faecalis_TX1322,Enterococcus_sp_7L76,Escherichia_fergusonii_UMN026_ATCC_35469,Eubacterium_dolichum_DSM_3991,Finegoldia_magna_ATCC_29328,Fusobacterium_nucleatum_nucleatum_ATCC_25586,Haemophilus_influenzae_NTHi_86_028NP,Haemophilus_parasuis_SH0165,Helicobacter_pullorum_MIT_98_5489,Klebsiella_pneumoniae_342,Lactobacillus_acidophilus_NCFM,Lactobacillus_casei_casei_BL23,Lactobacillus_delbrueckii_bulgaricus_ATCC_11842,Lactobacillus_fermentum_IFO_3956,Lactobacillus_gasseri_ATCC_33323,Lactobacillus_helveticus_DPC_4571,Lactobacillus_hilgardii_ATCC_8290,Lactobacillus_johnsonii_NCC_533,Lactobacillus_paracasei_ATCC_25302,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_sakei_sakei_23K,Lactobacillus_salivarius_HO66_ATCC_11741,Lactobacillus_ultunensis_DSM_16047,Lactococcus_lactis_cremoris_MG1363,Megamonas_hypermegale_ART12_1,Methanobrevibacter_smithii_DSM_2375,Methanosphaera_stadtmanae_DSM_3091,Mitsuokella_multacida_DSM_20544,Pasteurella_multocida_multocida_Pm70,Pediococcus_pentosaceus_ATCC_25745,Porphyromonas_gingivalis_ATCC_33277,Proteus_mirabilis_HI4320,Proteus_penneri_ATCC_35198,Pseudomonas_aeruginosa_LESB58,Salmonella_enterica_sv_Heidelberg_SL476_CVM30485,Staphylococcus_saprophyticus_saprophyticus_ATCC_15305,Streptococcus_gordonii_Challis_CH1,Streptococcus_infantarius_infantarius_ATCC_BAA_102,Streptococcus_mutans_UA159,Streptococcus_pneumoniae_Hungary19A_6,Streptococcus_pyogenes_M4_MGAS10750,Streptococcus_sanguinis_SK36,Streptococcus_suis_05ZYH33,Thermoanaerobacter_sp_X514,Tropheryma_whipplei_Twist
Escherichia_coli_O157_H7_EC4115,1,0.041613373,0.092444874,0.196603431,0.014312886,0.444369228,0.023223668,0.059322168,0.010163474,0.095241557,0.106908212,0.200130036,0.068221791,0.054698695,0.571165798,0.098319192,0.059702326,0.326967018,0.011909166,0.094333254,0.14315974,0.116338127,0.065957782,0.153638577,0.026662586,0.046954857,0.022064277,0.099487545,0.080161217,0.033541234,0.33848605,0.103679134,0.311070233,0.147938604,0.123601625,0.341293117,0.076692026,0.061887832,0.131758155,0.271505479,0.362469016,0.202507917,0.184280376,0.320413402,0.150055987,0.069079968,0.162240484,0.06934626,0.048123433,0.109509684,0.155882997,0.076267402,0.025336949,0.275861494,0.015803044,0.038336546,0.09786463,0.102536638,0.146595438,0.05240174,0.122264748,0.106630505,0.11914595,0.244653944,0.021933833,0.00242151,0.450736008,0.059524211,0.026312769,0.205343588,0.472212968,0.148374798,0.114396644,0.058627551,0.09268628,0.399783321,0.138333446,0.004233645,0.034723269,0.021165976,0.022847837,0.064204891,0.1722227,0.071455731,0.108820684,0.245673378,0.147163723,0.021177982,0.133812403,0.121554683,0.002832796,0.014838789,0.079824626,0.022265751,0.028761781,0.086569529,0.057601399,0.0219522,0.047424027,0.01188958,0.02526427,0.111066483,0.075839699,0.0942636,0.004584817,0.006852064,0.025102251,0.009884681,0.002697229,0.041798625,0.043511782,0.082065984,0.108310068,0.018927517,0.015474306,0.038312331,0.007097124,0,0.0469887,0.001544834,0.000409459,0.029401746,0.018343743,0.013524264,0.003003832,0.014798865,0.000591564,0.008529843,0.008867007,0.019600194,0.0387104,0.007659419,0.018967132,0.00187169,0.003091538,0.023697,0.043606706,0.007654772,0.007452472,0.046523437,0.00145458,0.002239654,0.002062711,0.011019183,0.002715484,0.038483357,0.059549881,0.034386918,0.046004226,0.008080106,0.059759601,0.008334924,0.031738997,0.007884513
Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,0.041613373,1,0.011206281,0.01055629,0.001735026,0.097043276,0.002815202,0.379203731,0.007940036,0.177875885,0.012959545,0.024260008,0.076286609,0.011565863,0.10985522,0.332294025,0.007237189,0.09234641,0.012057423,0.011435193,0.017353999,0.01410265,0.007995483,0.018624257,0.008525306,0.005691925,0.002674659,0.012060002,0.009717241,0.004065909,0.201319175,0.012568112,0.037708315,0.263816239,0.260639394,0.09081947,0.579615664,0.007502119,0.250120158,0.052936629,0.137814531,0.036170876,0.205739329,0.085711359,0.203282388,0.012877985,0.01966699,0.008406239,0.005833582,0.274984658,0.018896328,0.009245228,0.003071376,0.155225276,0.022698791,0.004647203,0.01186327,0.012429617,0.051956364,0.006352203,0.138326168,0.043237081,0.014443018,0.090981905,0.002658846,0.0046008,0.054638772,0.007215598,0.003189666,0.178878629,0.057242235,0.017986175,0.013867301,0.007106904,0.015926708,0.048462224,0.217489045,0.033402464,0.182676409,0.191869607,0.139023407,0.347028208,0.25169491,0.600030467,0.013191377,0.137712489,0.192370915,0.076695406,0.294849269,0.352630765,0.023368812,0.122410811,0.304988268,0.171067773,0.608256322,0.332892787,0.275665523,0.063634111,0.248551233,0.098081668,0.136368226,0.113297447,0.165326422,0.157035921,0.035754965,0.016634353,0.200521226,0.054505967,0.022250464,0.28394846,0.151851574,0.045794015,0.318584556,0.21526919,0.114392604,0.15500829,0.0562551,0,0.299778432,0.012743926,0.003377782,0.150078873,0.095620888,0.074940309,0.015544052,0.133135516,0.004880039,0.070365922,0.008234854,0.035675768,0.047144885,0.009491832,0.14660038,0.004547383,0.00910773,0.351233852,0.234230186,0.051687824,0.026542851,0.203879315,0.011999384,0.01847576,0.017016088,0.047182105,0.022401062,0.161877261,0.324120881,0.07042206,0.181028469,0.053923812,0.204007068,0.052972166,0.077543245,0.045889558
Coprococcus_comes_ATCC_27758,0.092444874,0.011206281,1,0.272024787,0.154826173,0.115477151,0.251216398,0.029552138,0.266223739,0.063000564,0.709358109,0.461924039,0.146897092,0.368171346,0.074158638,0.033723992,0.318431553,0.121350478,0.34155223,0.889700495,0.456250927,0.612621101,0.659141143,0.550209195,0.199538346,0.507922769,0.238674964,0.702774056,0.459004602,0.362824159,0.055664251,0.417708441,0.297183287,0.042477601,0.023416211,0.123390733,0.019333986,0.669456611,0.04480359,0.079934462,0.08131422,0.309815032,0.054468346,0.13074441,0.041434121,0.488693859,0.569801521,0.750136343,0.404979402,0.02261226,0.204144978,0.78889227,0.274076295,0.072193661,0.493695055,0.368204261,0.710051327,0.799721938,0.215686397,0.566843114,0.023210932,0.227371495,0.537804105,0.123170438,0.237263914,0.288664163,0.205097602,0.643888711,0.196763267,0.0626474,0.195769453,0.623049705,0.49681251,0.592159178,0.309315231,0.231237446,0.021202036,0.000391379,0.00412532,0.002483114,0.002112165,0.006885753,0.025328229,0.011153031,0.619581646,0.031553393,0.01593417,0.001957796,0.038006813,0.018007043,0.000261877,0.00137177,0.010671079,0.002058355,0.012663964,0.010672253,0.007040432,0.002029368,0.004787098,0.001099131,0.002335552,0.010267527,0.009999722,0.01185292,0.000423843,0.56400091,0.00488158,0.000913788,0.000249345,0.003864069,0.004022441,0.00758658,0.016611613,0.002644248,0.00143052,0.00866236,0.000656093,0,0.005431818,0.000142812,3.79E-05,0.002718041,0.001695785,0.001250249,0.000277689,0.001491954,5.47E-05,0.00078854,0.000819709,0.091345386,0.003578578,0.000708074,0.001753414,0.114398953,0.528571876,0.023072559,0.004852937,0.000707644,0.000688943,0.004967731,0.000134468,0.000207045,0.000190687,0.001018667,0.000251033,0.011473017,0.00809252,0.003178894,0.010398839,0.000746964,0.006830025,0.000770521,0.002934108,0.000728883
Akkermansia_muciniphila_ATCC_BAA_835,0.196603431,0.01055629,0.272024787,1,0.042116557,0.350277037,0.068337087,0.026604767,0.125396594,0.171336962,0.314584058,0.369918867,0.186663382,0.271761882,0.247437243,0.076594418,0.071504268,0.3030906,0.22685789,0.277581461,0.241188703,0.342332167,0.194084871,0.223235924,0.04312146,0.138167583,0.064925506,0.292748282,0.147672377,0.098697165,0.162598148,0.265942678,0.132271621,0.1157053,0.069568751,0.278199154,0.036357931,0.182108792,0.109690627,0.286173842,0.243336998,0.215191159,0.143104301,0.300815422,0.12771548,0.31260426,0.477402704,0.204055679,0.141606191,0.066134821,0.096637657,0.224421569,0.074555546,0.204752856,0.40120963,0.112807668,0.287972756,0.301720429,0.111407042,0.154195377,0.080466288,0.790245783,0.137966409,0.246676324,0.064541666,0.086789792,0.30627646,0.17515369,0.077426958,0.170238754,0.256477658,0.301384334,0.336619234,0.172515213,0.086187079,0.410844185,0.066839983,0.001438761,0.015165236,0.009128263,0.007764607,0.018936482,0.075757709,0.01909959,0.320211626,0.106972185,0.05307874,0.007197123,0.064663001,0.04824949,0.000962697,0.005042812,0.031062788,0.003267896,0.003267521,0.029747821,0.022182542,0.007460233,0.015099565,0.002432084,0.008585807,0.036571884,0.036570235,0.042917277,0.001558104,0.294845552,0.01794535,0.003359209,0.000916626,0.008321572,0.012625882,0.027889295,0.046590769,0.009720613,0.005258786,0.031844009,0.002411886,0,0.008656868,0.000524996,0.00013915,0.006553336,0.006233936,0.004194633,0.001020822,0.005484625,0.000201037,0.002898781,0.003013363,0.332985557,0.013155338,0.002602976,0.003657093,0.000892946,0.167649295,0.002250579,0.017351046,0.002601397,0.002532647,0.018262054,0.000494324,0.000761124,0.000700991,0.003744758,0.00092283,0.041406364,0.02310952,0.011686047,0.036881991,0.002745942,0.024741046,0.00283254,0.010786177,0.002679472
Alistipes_putredinis_DSM_17216,0.014312886,0.001735026,0.154826173,0.042116557,1,0.017878885,0.543825575,0.004575444,0.213965192,0.009754136,0.133880137,0.071517931,0.022743515,0.15001263,0.011481698,0.005221357,0.239737494,0.01878823,0.143896879,0.151726836,0.09997843,0.123028336,0.21700072,0.093159455,0.194396541,0.304822273,0.622919328,0.143866111,0.178551258,0.426725092,0.008618283,0.138049823,0.046011751,0.006576644,0.003625442,0.019104115,0.002993407,0.231271408,0.006936768,0.012375947,0.012589569,0.047967476,0.008433126,0.020242657,0.006415086,0.134728032,0.088220189,0.206397376,0.297420306,0.00350097,0.091818135,0.187667152,0.564901729,0.011177468,0.076436916,0.373348349,0.146251879,0.139588018,0.033393899,0.273137609,0.00359366,0.035203058,0.120129019,0.019070007,0.465822345,0.377113903,0.031754477,0.240454865,0.543952107,0.009699457,0.030310235,0.096464401,0.125116311,0.244132422,0.108938116,0.035801609,0.00328263,6.06E-05,0.000638708,0.000384451,0.000327018,0.001066095,0.003921473,0.001726781,0.131527257,0.004885291,0.002467027,0.000303118,0.005884449,0.002787962,4.05E-05,0.000212386,0.001652162,0.000318687,0.001960713,0.001652344,0.001090043,0.000314199,0.000741168,0.000170174,0.000361605,0.001589682,0.001548219,0.001835142,6.56E-05,0.104303763,0.000755796,0.000141478,3.86E-05,0.000598259,0.000622779,0.001174601,0.002571913,0.000409399,0.000221482,0.00134116,0.00010158,0.00E+00,0.000840988,2.21E-05,5.86E-06,0.000420824,0.000262552,0.000193571,4.30E-05,0.000230994,8.47E-06,0.000122087,0.000126912,0.014142656,0.000554058,0.000109628,0.000271474,0.162623987,0.188836033,0.003572236,0.000751362,0.000109562,0.000106666,0.000769135,2.08E-05,3.21E-05,2.95E-05,0.000157716,3.89E-05,0.001776323,0.001252934,0.000492176,0.001610012,0.00011565,0.001057467,0.000119297,0.000454277,0.00011285
Anaerotruncus_colihominis_DSM_17241,0.444369228,0.097043276,0.115477151,0.350277037,0.017878885,1,0.029009754,0.166455421,0.045636678,0.530795506,0.133543973,0.249991647,0.341518284,0.10896785,0.642193173,0.292040387,0.074576926,0.785499351,0.064742188,0.117836013,0.178827426,0.145323313,0.082390904,0.191917025,0.058057983,0.058653474,0.027561505,0.124274475,0.100133069,0.0418979,0.482036924,0.129510383,0.245914303,0.367844209,0.202777872,0.707107959,0.167426938,0.077306942,0.380749617,0.656538942,0.704158518,0.372729336,0.462631715,0.751799681,0.35880796,0.130408526,0.202662062,0.086623608,0.060113197,0.195815879,0.147709714,0.095269125,0.03164955,0.613832193,0.110523923,0.047887945,0.122247218,0.128083238,0.22928593,0.065457428,0.201000215,0.28660702,0.148830694,0.617172151,0.027398561,0.023105617,0.563035111,0.074354434,0.032868492,0.52820387,0.550004906,0.185341796,0.142898118,0.073234375,0.12710515,0.499387763,0.18360373,0.003389231,0.035724124,0.021503076,0.018290765,0.059628702,0.21933542,0.096582145,0.13593293,0.273243607,0.137985481,0.016953968,0.260405384,0.155935985,0.002267786,0.011879146,0.092408576,0.017824778,0.109666402,0.092418742,0.060968186,0.017573766,0.041454933,0.009518166,0.020225233,0.088913928,0.08659481,0.102642994,0.003670361,0.077443408,0.042273124,0.007913151,0.002159258,0.033461759,0.034833222,0.065697668,0.143851949,0.02289845,0.012387907,0.075013625,0.00568158,0,0.047038032,0.001236712,0.000327791,0.023537476,0.014685026,0.010826807,0.002404708,0.012919907,0.000473575,0.00682854,0.007098455,0.271580915,0.03098949,0.006131724,0.015184078,0.006729161,0.043414376,0.108339516,0.042025081,0.006128004,0.005966053,0.043019172,0.00116446,0.001792948,0.001651297,0.008821372,0.002173872,0.099353132,0.070078971,0.02752834,0.09005105,0.006468504,0.059146113,0.006672497,0.025408556,0.006311922
Bacteroides_caccae_ATCC_43185,0.023223668,0.002815202,0.251216398,0.068337087,0.543825575,0.029009754,1,0.007423982,0.354557788,0.015826775,0.217229976,0.116042893,0.036902958,0.243406085,0.018629866,0.00847202,0.300615479,0.03048523,0.233482847,0.246187505,0.162222063,0.199622162,0.352098991,0.151157793,0.330217085,0.437726116,0.479035067,0.233432923,0.289712024,0.349128319,0.013983773,0.210755285,0.074657315,0.01067107,0.005882536,0.030997776,0.004857014,0.325504421,0.011255397,0.020080848,0.020427465,0.077830616,0.013683342,0.03284514,0.010408931,0.218605745,0.143143486,0.334894317,0.289817384,0.00568057,0.139762443,0.304503205,0.658343426,0.018136232,0.124024293,0.450371796,0.237304001,0.226491416,0.05418396,0.333011832,0.005830967,0.057119448,0.194917817,0.030942434,0.548125726,0.611893936,0.051523881,0.328141179,0.402298323,0.015738054,0.049180497,0.156520303,0.203010049,0.396122094,0.176759785,0.058090638,0.005326299,9.83E-05,0.001036348,0.000623799,0.000530611,0.001729814,0.006362867,0.002801824,0.213412262,0.00792673,0.004002925,0.00049183,0.009547935,0.004523665,6.58E-05,0.000344611,0.00268075,0.000517092,0.003181395,0.002681045,0.001768672,0.000509811,0.001202597,0.00027612,0.000586729,0.002579371,0.002512094,0.002977648,0.000106476,0.16924022,0.001226333,0.000229559,6.26E-05,0.000970717,0.001010503,0.001905873,0.00417311,0.000664278,0.00035937,0.002176127,0.000164821,0.00E+00,0.001364562,3.59E-05,9.51E-06,0.000682816,0.000426009,0.000314083,6.98E-05,0.000374803,1.37E-05,0.000198094,0.000205924,0.022947459,0.000898997,0.00017788,0.000440486,0.326587371,0.306399797,0.005796205,0.001219137,0.000177772,0.000173074,0.001247976,3.38E-05,5.20E-05,4.79E-05,0.000255906,6.31E-05,0.00288221,0.002032974,0.00079859,0.002612359,0.00018765,0.001715814,0.000193568,0.000737096,0.000183107
Bacteroides_cellulosilyticus_DSM_14838,0.059322168,0.379203731,0.029552138,0.026604767,0.004575444,0.166455421,0.007423982,1,0.020938707,0.308305657,0.034175678,0.063976186,0.201175788,0.030500395,0.147187221,0.454984577,0.019085227,0.243527167,0.03179669,0.030155802,0.045764316,0.037190168,0.021084927,0.049114118,0.022482125,0.015010204,0.007053356,0.03180349,0.025625383,0.01072223,0.261222966,0.033143429,0.099440781,0.325234267,0.2933851,0.239500466,0.529687151,0.019783874,0.401496747,0.094344437,0.219790676,0.095386392,0.341963891,0.22602984,0.240229775,0.033960597,0.051863916,0.022168133,0.015383766,0.303663331,0.045436853,0.024380636,0.008099541,0.268048979,0.059859093,0.012255162,0.031284688,0.032778203,0.137014381,0.016751426,0.206731017,0.060883504,0.038087753,0.239928823,0.007011656,0.011831763,0.14408817,0.019028288,0.008411484,0.309231782,0.150953776,0.047431429,0.036569528,0.01874165,0.0420004,0.127799967,0.265437074,0.01324367,0.139594641,0.084024849,0.071472509,0.233003533,0.285945064,0.373816188,0.034787044,0.196436531,0.222256756,0.066248874,0.665381412,0.355485673,0.008861541,0.046418636,0.325617545,0.06965163,0.428529524,0.300250729,0.238237667,0.068670781,0.161988195,0.037192935,0.079031582,0.139546285,0.239734887,0.23430496,0.014342205,0.041365438,0.16518534,0.030921218,0.008437459,0.130754283,0.136113375,0.104500151,0.334759368,0.089477374,0.048406658,0.213591419,0.022201193,0,0.183804567,0.004832544,0.001280868,0.091974417,0.057382819,0.042306545,0.009396574,0.050485484,0.001850529,0.02668302,0.027737734,0.05707893,0.11273329,0.023960161,0.059332902,0.011169465,0.021893875,0.741077252,0.164216091,0.023945625,0.023312791,0.168100576,0.004550211,0.007006077,0.006452564,0.034470161,0.008494566,0.200294802,0.27383873,0.107569013,0.231807573,0.025276154,0.203418508,0.026073274,0.099285798,0.0246643
Bacteroides_coprocola_M16_DSM_17136,0.010163474,0.007940036,0.266223739,0.125396594,0.213965192,0.045636678,0.354557788,0.020938707,1,0.044638068,0.261402311,0.205483932,0.103960106,0.100957356,0.019716802,0.023894609,0.349054794,0.057837184,0.103513544,0.302064118,0.166919596,0.216450147,0.322166125,0.208362002,0.869743195,0.264890531,0.336857259,0.29282582,0.552415206,0.2108052,0.023254342,0.164812237,0.055822995,0.028451633,0.016591192,0.057610267,0.013698794,0.223721329,0.031125215,0.040370584,0.034813976,0.175687776,0.032935096,0.063234659,0.027655137,0.148620466,0.121816321,0.232048303,0.11696508,0.016021565,0.024907114,0.3197793,0.36396397,0.036126005,0.196776618,0.505181343,0.248142099,0.179489018,0.133336019,0.192495606,0.016445745,0.134673141,0.275524086,0.066674089,0.334865753,0.49580849,0.064720018,0.226803524,0.053262392,0.036098595,0.052375029,0.250149725,0.155127397,0.439741434,0.444895989,0.084871763,0.015022372,0.000277305,0.002922931,0.001759372,0.001496542,0.004878793,0.01638102,0.007902306,0.169858125,0.015646237,0.011289908,0.001387166,0.026735812,0.01275861,0.000185549,0.000971946,0.007560827,0.001458415,0.008972854,0.007561659,0.004988389,0.001437877,0.003391823,0.000778772,0.001654819,0.007274896,0.007085147,0.008398202,0.000300307,0.189322946,0.003458767,0.00064745,0.000176669,0.002737826,0.002850038,0.005375353,0.0117699,0.001873541,0.001013573,0.00613758,0.000464864,0,0.00384863,0.000101187,2.68E-05,0.001925825,0.001201522,0.000885844,0.000196752,0.001057101,3.87E-05,0.000558708,0.000580792,0.06472135,0.002535546,0.000501695,0.001242354,0.528902367,0.440731583,0.016347702,0.003438473,0.00050139,0.00048814,0.003519809,9.53E-05,0.000146698,0.000135108,0.000721761,0.000177865,0.008129027,0.005733829,0.002252356,0.007367935,0.00052925,0.004839308,0.000545941,0.002078916,0.000516439
Bacteroides_coprophilus_DSM_18228,0.095241557,0.177875885,0.063000564,0.171336962,0.009754136,0.530795506,0.015826775,0.308305657,0.044638068,1,0.072857232,0.136387281,0.4288755,0.065022099,0.246352485,0.53529667,0.040686736,0.519162055,0.066075084,0.064287481,0.097562405,0.079283655,0.044949787,0.104703663,0.042817612,0.031999421,0.015036657,0.067800096,0.054629333,0.022858127,0.36493564,0.070656636,0.097883563,0.577337429,0.371682563,0.459184109,0.306885918,0.042176144,0.646834194,0.548494377,0.50783857,0.203348957,0.623763559,0.481860476,0.559861249,0.072398713,0.110565804,0.047259012,0.032795798,0.35892155,0.068136901,0.051975724,0.017266961,0.589013843,0.117652161,0.0261261,0.066694091,0.069878033,0.153113599,0.035711436,0.3684242,0.238592712,0.081197168,0.511490945,0.01494776,0.022753685,0.307173575,0.040565352,0.017931976,0.655336171,0.309142327,0.101116433,0.077960548,0.039954284,0.059472736,0.27244966,0.330344953,0.006212306,0.065480686,0.039414154,0.033526136,0.109296682,0.322558192,0.177030654,0.074160569,0.278823724,0.233782247,0.031075847,0.441705697,0.285823528,0.004156748,0.021773931,0.169380693,0.032672003,0.201013498,0.169399327,0.111751896,0.032211909,0.075984995,0.017446364,0.037071926,0.162975162,0.158724325,0.188139912,0.006727604,0.080202383,0.077484703,0.014504443,0.003957821,0.061333874,0.063847703,0.12042082,0.263674042,0.041971811,0.022706467,0.137496542,0.010414077,0,0.086218561,0.002266837,0.000600826,0.043143117,0.026916981,0.019845042,0.00440772,0.023681598,0.000868041,0.012516401,0.013011143,0.362118203,0.056802318,0.011239169,0.027831721,0.007405953,0.04354844,0.205241866,0.07703005,0.011232351,0.010935502,0.078852174,0.002134401,0.003286392,0.003026752,0.016169172,0.003984609,0.182109746,0.128451549,0.050458189,0.165059454,0.011856472,0.10841212,0.012230382,0.04657272,0.011569465
