"Bacteria","Degree","Strength","Betweenness","Eigen_vector"
"Actinomyces_odontolyticus_ATCC_17982",43,18.409204776,318,0.856295932195807
"Clostridium_difficile_630",43,19.838183286,237,0.966812022262255
"Candidatus_Sulcia_muelleri_GWSS",42,19.690230432,546,0.949173840953129
"Anaerostipes_caccae_DSM_14662",41,19.576425053,13,1
"Bifidobacterium_breve_DSM_20213",41,17.362029851,63,0.860308153764707
"Clostridium_hylemonae_DSM_15053",41,19.546032687,70,0.996792674019805
"Clostridium_phytofermentans_ISDg",41,19.611234432,20,0.99430641966102
"Bifidobacterium_bifidum_NCIMB_41171",40,17.62052409,1,0.875171846273133
"Megamonas_hypermegale_ART12_1",40,18.156753792,85,0.764673429483079
"Porphyromonas_gingivalis_ATCC_33277",39,18.656690091,28,0.961068965058037
"Streptococcus_infantarius_infantarius_ATCC_BAA_102",39,17.01069977,220,0.803234864670059
"Clostridiales_sp_SS3_4",38,16.618741161,99,0.0171888627791267
"Eubacterium_hallii_DSM_3353",38,17.620574312,196,0.0195946112309595
"Faecalibacterium_prausnitzii_SL3_3",38,18.38427402,157,0.0208342299031338
"Ruminococcus_torques_L2_14",38,16.495144571,134,0.0170770640837179
"Anaerofustis_stercorihominis_DSM_17244",38,17.08056021,492,0.71274770405583
"Clostridium_sp_7_2_43FAA",38,15.780792129,423,0.788400295163443
"Collinsella_stercoris_DSM_13279",38,17.123439139,890,0.849632292746271
"Streptococcus_sanguinis_SK36",38,15.420268108,686,0.759202714946226
"Bacteroides_sp_9_1_42FAA",37,16.778777989,112,0.0273650012690454
"Bacteroides_vulgatus_ATCC_8482",37,17.443675738,57,0.0218122269877407
"Dorea_formicigenerans_ATCC_27755",37,17.557168315,118,0.020114519559403
"Roseburia_intestinalis_M50_1",37,16.212833193,221,0.019553182824347
"Fusobacterium_nucleatum_nucleatum_ATCC_25586",37,16.964016725,60,0.623937527622465
"Lactobacillus_salivarius_HO66_ATCC_11741",37,16.162542422,517,0.60415159971494
