"Bacteria","Degree","Strength","Betweenness","Eigen_vector"
"Roseburia_intestinalis_M50_1",48,19.313783301,480,0.960746877668539
"Faecalibacterium_prausnitzii_SL3_3",47,20.157496215,272,1
"Bacteroides_sp_9_1_42FAA",46,19.294726014,32,0.962173274143907
"Bacteroides_vulgatus_ATCC_8482",46,18.908516644,19,0.939921815582331
"Bacteroides_sp_2_1_7",44,17.584946496,173,0.894830105214387
"Bacteroides_sp_4_3_47FAA",44,18.289441455,6,0.921489069505465
"Eubacterium_rectale_M104_1",44,18.321447174,46,0.923046140987082
"Parabacteroides_distasonis_ATCC_8503",44,17.546255267,190,0.892936704582152
"Ruminococcus_sp_SR1_5",44,17.506794132,14,0.855484354391462
"Ruminococcus_torques_L2_14",44,17.822818452,27,0.867459970286899
"Bacteroides_sp_2_2_4",43,17.809092856,2,0.906041667045378
"Bacteroides_xylanisolvens_XB1A",43,17.598235024,209,0.893843241769258
"Clostridiales_sp_SS3_4",43,17.727700185,10,0.872737140485282
"Dorea_formicigenerans_ATCC_27755",43,18.279937323,110,0.939502151134553
"Eubacterium_hallii_DSM_3353",43,17.718554979,2,0.871730648352363
"Bacteroides_sp_D1",42,17.201713691,9,0.874145420904775
"Dorea_longicatena_DSM_13814",42,15.264326264,62,0.673906657442231
"Coprococcus_comes_ATCC_27758",41,17.873482295,18,0.898250177528296
"Bacteroides_dorei_5_1_36_D4",41,16.294188178,275,0.77562039811137
"Bacteroides_dorei_DSM_17855",40,15.677290101,150,0.704275418710882
"Bacteroides_ovatus_ATCC_8483",40,15.774598604,55,0.812906773293867
"Collinsella_aerofaciens_ATCC_25986",40,16.609895349,106,0.860195174473055
"Eubacterium_siraeum_70_3",40,15.756423468,8,0.803895233933629
"Streptococcus_infantarius_infantarius_ATCC_BAA_102",40,13.9277055,499,0.00448693370694846
"Clostridium_sp_SS2_1",39,15.533476591,52,0.735783412482562
"Candidatus_Sulcia_muelleri_GWSS",39,15.764724276,870,0.00952677094022548
"Clostridium_difficile_630",39,15.662021089,175,0.0069715696825839
"Bifidobacterium_adolescentis_L2_32",38,13.018963926,27,0.602675688707919
"Bifidobacterium_longum_longum_CCUG_52486",38,13.428121905,601,0.680383716374274
"Holdemania_filiformis_VPI_J1_31B_1_DSM_12042",38,12.902578817,1145,0.40575973938822
"Ruminococcus_obeum_A2_162",38,15.114771552,93,0.712290912506001
"Anaerofustis_stercorihominis_DSM_17244",38,13.535168234,406,0.00310111244860156
"Clostridium_hylemonae_DSM_15053",37,15.27149339,378,0.00698471156064234
"Clostridium_phytofermentans_ISDg",37,14.968664618,89,0.00527644162762189
"Clostridium_sp_7_2_43FAA",37,12.450773396,184,0.00340452091532485
"Bacteroides_thetaiotaomicron_VPI_5482",36,12.781350444,8,0.580060317132025
"Pseudoflavonifractor_capillosus_ATCC_29799",36,13.137099043,524,0.391862951622391
"Ruminococcus_lactaris_ATCC_29176",36,12.021088632,45,0.532900588703017
"Eubacterium_ventriosum_ATCC_27560",35,12.851644461,8,0.667760590449668
"Collinsella_stercoris_DSM_13279",35,14.289385625,31,0.00892980594618125
