"Bacteria","Degree","Strength","Betweenness","Eigen_vector"
"Bacteroides_sp_4_3_47FAA",48,19.326928213,85,0.934880240621971
"Faecalibacterium_prausnitzii_SL3_3",47,20.260091441,97,1
"Bacteroides_sp_9_1_42FAA",46,19.485220345,66,0.978907674247953
"Bacteroides_vulgatus_ATCC_8482",46,19.004885851,103,0.941483454001061
"Dorea_formicigenerans_ATCC_27755",46,19.295497244,33,0.951422185466268
"Parabacteroides_distasonis_ATCC_8503",46,18.980485035,257,0.955155892223264
"Bacteroides_sp_2_1_7",45,19.065183896,44,0.968920297923976
"Clostridiales_sp_SS3_4",44,17.699409236,34,0.845989953941824
"Ruminococcus_torques_L2_14",44,18.118362119,54,0.865779159807971
"Coprococcus_comes_ATCC_27758",43,18.498580647,576,0.92220176978534
"Bacteroides_sp_2_2_4",43,17.750119844,17,0.902410724831852
"Bacteroides_xylanisolvens_XB1A",43,17.376292655,262,0.876818146194258
"Eubacterium_rectale_M104_1",43,18.828964549,9,0.959885885037918
"Roseburia_intestinalis_M50_1",43,18.458112384,7,0.949516139447431
"Ruminococcus_sp_SR1_5",43,16.934516841,29,0.808649787543275
"Bacteroides_ovatus_ATCC_8483",42,16.588045956,47,0.845373471850724
"Bacteroides_sp_D1",42,17.157603834,105,0.857488668728249
"Eubacterium_hallii_DSM_3353",42,16.90572531,24,0.788250964834689
"Bacteroides_dorei_DSM_17855",41,16.612912417,212,0.751638769441992
"Dorea_longicatena_DSM_13814",40,14.993766276,100,0.648627683223568
"Eubacterium_siraeum_70_3",40,15.829580883,214,0.812788285772766
"Ruminococcus_obeum_A2_162",40,15.881082377,225,0.757666869775521
"Bacteroides_dorei_5_1_36_D4",39,16.356732883,129,0.794381530210085
"Bacteroides_thetaiotaomicron_VPI_5482",38,13.78010867,58,0.617190372196812
"Pseudoflavonifractor_capillosus_ATCC_29799",38,14.047367432,423,0.453310001377201
"Clostridium_difficile_630",38,15.54861726,556,0.0071121384646932
"Clostridium_phytofermentans_ISDg",38,15.281338263,400,0.00490427683883736
"Bifidobacterium_longum_longum_CCUG_52486",37,13.952363096,46,0.708709265275123
"Eubacterium_ventriosum_ATCC_27560",37,13.215719788,293,0.671461528026038
"Bifidobacterium_adolescentis_L2_32",36,12.32049766,30,0.549449768916469
"Clostridium_sp_SS2_1",36,14.717983556,1,0.677571104884602
"Collinsella_aerofaciens_ATCC_25986",36,14.966732441,8,0.789162054828616
"Clostridium_sp_7_2_43FAA",36,13.2481379,197,0.00336959087605948
"Actinomyces_odontolyticus_ATCC_17982",35,13.809535447,309,0.00756490806838816
"Anaerofustis_stercorihominis_DSM_17244",35,13.443395283,163,0.00304033181285658
"Candidatus_Sulcia_muelleri_GWSS",35,14.878013425,290,0.00830548477802543
"Holdemania_filiformis_VPI_J1_31B_1_DSM_12042",34,12.237949199,711,0.384308371084713
"Ruminococcus_lactaris_ATCC_29176",34,11.838185475,18,0.523616099665553
"Porphyromonas_gingivalis_ATCC_33277",34,13.311307096,684,0.00442174396026807
"Clostridium_leptum_DSM_753",33,11.011782148,459,0.472374656525634
"Coprococcus_eutactus_ATCC_27759",33,11.444786892,31,0.589199732789138
"Subdoligranulum_variabile_DSM_15176",33,12.307649781,43,0.396573422401231
"Bifidobacterium_gallicum_DSM_20093",33,12.526346789,120,0.00140629662946255
"Clostridium_hylemonae_DSM_15053",33,14.403135444,432,0.00697870488264659
"Eubacterium_dolichum_DSM_3991",33,13.183396542,154,0.00920543368048091
"Fusobacterium_nucleatum_nucleatum_ATCC_25586",33,12.339899708,483,0.00141226033674208
"Clostridium_sp_M62_1",32,11.701542314,936,0.378701063212028
"Collinsella_stercoris_DSM_13279",32,13.548628022,69,0.00906383369721705
"Finegoldia_magna_ATCC_29328",32,12.012455633,245,0.00196161946866843
"Streptococcus_infantarius_infantarius_ATCC_BAA_102",32,12.278877887,195,0.00421221618647117
"Bacteroides_cellulosilyticus_DSM_14838",31,10.232948243,72,0.432054562174848
"Bryantella_formatexigens_I_52_DSM_14469",31,12.874223944,1359,0.0202738124753867
"Anaerococcus_hydrogenalis_DSM_7454",31,12.397600667,285,0.00114623292689819
"Clostridium_perfringens_ATCC_13124",31,12.350077369,97,0.00212848288921863
"Desulfovibrio_vulgaris_Miyazaki_F",31,12.399834709,40,0.00380390555412141
"Streptococcus_thermophilus_LMD_9",30,9.663403988,321,0.426986802106332
"Butyrivibrio_fibrisolvens_16_4",30,13.426590591,0,0.0104415355821824
"Streptococcus_gordonii_Challis_CH1",30,10.666906283,783,0.00703723756509394
"Streptococcus_suis_05ZYH33",30,11.234030177,13,0.00102350519659109
"Anaerostipes_caccae_DSM_14662",29,11.373572315,14,0.00759038773140995
"Bifidobacterium_dentium_ATCC_27678",29,10.35961316,51,0.00721958467990372
"Blautia_hansenii_VPI_C7_24_DSM_20583",28,11.695662091,8,0.0245067541102073
"Clostridium_methylpentosum_R2_DSM_5476",28,11.535848551,42,0.0244699993587136
"Coprobacillus_sp_D7",28,11.365675724,203,0.0197612943677185
"Citrobacter_koseri_ATCC_BAA_895",28,9.785369269,189,0.000961073398888626
"Enterococcus_sp_7L76",28,9.698706211,254,0.00254944538817103
"Streptococcus_pneumoniae_Hungary19A_6",28,11.388228187,1,0.00913951036083154
"Leuconostoc_mesenteroides_mesenteroides_ATCC_8293",27,8.477724189,681,0.000967452772919326
"Anaerotruncus_colihominis_DSM_17241",27,10.275827624,660,0.147249434123336
"Bacteroides_caccae_ATCC_43185",27,9.937458357,11,0.360296619833032
"Clostridium_nexile_DSM_1787",27,10.3785443,502,0.155154185177328
"Clostridium_scindens_ATCC_35704",27,11.09092853,710,0.0479886842792629
"Blautia_hydrogenotrophica_DSM_10507",27,9.785776908,1050,0.0204251323082815
"Streptococcus_pyogenes_M4_MGAS10750",27,10.243123524,141,0.000554893603011376
"Streptococcus_sanguinis_SK36",27,10.197604181,184,0.00467440528164784
"Lactobacillus_salivarius_HO66_ATCC_11741",26,9.345725989,10,0.000821674210290006
"Pediococcus_pentosaceus_ATCC_25745",26,9.600551453,124,0.000344429283044569
"Cronobacter_sakazakii_ATCC_BAA_894",25,9.187847535,196,0.000439219266934539
"Enterococcus_faecalis_TX1322",25,8.473730368,276,0.00166724744633914
"Bacteroides_fragilis_3_1_12",24,8.000220524,64,0.304385931518072
"Bacteroides_stercoris_ATCC_43183",24,7.38051901,53,0.315400414716144
