"Bacteria","Degree","Strength","Betweenness","Eigen_vector"
"Bacteroides_sp_9_1_42FAA",46,19.226518984,141,0.968343872247773
"Collinsella_aerofaciens_ATCC_25986",46,18.056899176,53,0.898447774864215
"Dorea_formicigenerans_ATCC_27755",46,18.655726718,425,0.943919514520659
"Clostridiales_sp_SS3_4",45,18.153604327,93,0.911909689086585
"Eubacterium_rectale_M104_1",45,17.671373196,280,0.877565878927496
"Faecalibacterium_prausnitzii_SL3_3",45,19.469670786,0,1
"Bacteroides_sp_4_3_47FAA",43,17.908264816,45,0.92600883829692
"Bacteroides_sp_D1",43,17.205608322,64,0.872117346070835
"Bacteroides_vulgatus_ATCC_8482",43,18.335364909,1,0.954541391562564
"Bacteroides_xylanisolvens_XB1A",43,17.796485934,195,0.918128561132613
"Eubacterium_hallii_DSM_3353",43,17.803264004,13,0.907145440949571
"Eubacterium_siraeum_70_3",43,16.148831317,169,0.813564626841626
"Parabacteroides_distasonis_ATCC_8503",43,16.484832084,222,0.843540883990831
"Roseburia_intestinalis_M50_1",43,18.029090788,15,0.933906627025376
"Ruminococcus_sp_SR1_5",43,17.502227349,12,0.872138290429387
"Coprococcus_comes_ATCC_27758",42,17.996800837,27,0.917376955912781
"Bacteroides_dorei_5_1_36_D4",42,16.214588621,341,0.774063583615724
"Bacteroides_sp_2_1_7",42,16.380423031,13,0.843900320290845
"Bifidobacterium_longum_longum_CCUG_52486",42,13.880539291,584,0.641657427282784
"Ruminococcus_torques_L2_14",42,16.939228979,5,0.845944115497082
"Bacteroides_sp_2_2_4",41,17.276853358,8,0.893969047120292
"Bifidobacterium_adolescentis_L2_32",41,14.501171222,60,0.704843136358151
"Dorea_longicatena_DSM_13814",41,14.933305049,36,0.680684125100637
"Clostridium_sp_SS2_1",40,16.030027269,8,0.800449221964296
"Ruminococcus_obeum_A2_162",40,15.250478553,88,0.708616226786561
"Bacteroides_dorei_DSM_17855",39,15.081464681,715,0.655956966854751
"Bacteroides_ovatus_ATCC_8483",39,15.287815469,106,0.802294414359283
"Streptococcus_infantarius_infantarius_ATCC_BAA_102",39,12.971135629,516,0.00312776017603179
"Clostridium_hylemonae_DSM_15053",38,14.858814305,690,0.0048134219233151
"Bacteroides_thetaiotaomicron_VPI_5482",37,12.573202596,74,0.584472393086074
"Eubacterium_ventriosum_ATCC_27560",37,13.161632811,26,0.672405501617633
"Anaerostipes_caccae_DSM_14662",37,13.334926713,1017,0.00622136481369684
"Streptococcus_pneumoniae_Hungary19A_6",36,11.845561772,1106,0.00895253132548734
"Holdemania_filiformis_VPI_J1_31B_1_DSM_12042",35,11.886138664,1109,0.364622151727185
"Ruminococcus_lactaris_ATCC_29176",35,11.247167623,54,0.502701540098565
"Bifidobacterium_animalis_lactis_AD011",35,12.537404046,286,0.00200357603343323
"Clostridium_difficile_630",35,14.145708871,111,0.00487815408367581
"Bifidobacterium_breve_DSM_20213",34,11.581755334,197,0.00501778562443405
"Candidatus_Sulcia_muelleri_GWSS",34,14.163710158,255,0.00606677369972823
"Clostridium_phytofermentans_ISDg",34,13.614094742,106,0.00340245872717736
"Pseudoflavonifractor_capillosus_ATCC_29799",33,12.015994881,313,0.324153115799376
"Collinsella_stercoris_DSM_13279",33,13.51471346,248,0.00588314414381868
"Bryantella_formatexigens_I_52_DSM_14469",31,12.593912181,277,0.0145593877670292
"Clostridium_methylpentosum_R2_DSM_5476",31,11.901921478,194,0.0165241836051581
"Coprococcus_eutactus_ATCC_27759",31,10.447890535,8,0.544686444067823
"Anaerofustis_stercorihominis_DSM_17244",31,11.120890304,350,0.00158458860387299
"Butyrivibrio_fibrisolvens_16_4",31,13.086859194,274,0.00860612989152821
"Collinsella_intestinalis_DSM_13280",31,12.987333297,0,0.00486589841581627
"Desulfovibrio_vulgaris_Miyazaki_F",31,11.721080922,61,0.00202185197519389
"Porphyromonas_gingivalis_ATCC_33277",31,12.030826189,253,0.00383000869597901
"Clostridium_sp_M62_1",30,10.995391371,140,0.312136026684569
"Enterococcus_faecalis_TX0104",30,10.720636285,1179,0.0435736756855554
"Subdoligranulum_variabile_DSM_15176",30,11.436659315,940,0.296141792357217
"Clostridium_symbiosum_WAL_14163",30,10.180481843,1245,0.0193142625010965
"Finegoldia_magna_ATCC_29328",30,10.558099185,192,0.00123001031126858
"Ruminococcus_bromii_L2_63",29,10.074993421,17,0.407792137729928
"Eubacterium_biforme_DSM_3989",28,9.132430659,50,0.425937870257997
"Blautia_hydrogenotrophica_DSM_10507",28,12.270791769,31,0.00890931476823762
"Bacteroides_fragilis_3_1_12",27,9.06848021,50,0.291754360791022
"Bacteroides_pectinophilus_ATCC_43243",27,10.029140242,588,0.124579481412144
"Clostridium_scindens_ATCC_35704",27,9.623895161,650,0.0426164799833821
"Coprobacillus_sp_D7",27,9.846566535,238,0.0123702428757915
"Parabacteroides_merdae_ATCC_43184",27,9.601233618,6,0.382695586990294
"Streptococcus_pyogenes_M4_MGAS10750",27,9.728009851,399,0.000648233432406324
"Alistipes_putredinis_DSM_17216",26,9.454604745,5,0.367205535512536
"Citrobacter_sp_30_2",26,9.191899782,223,0.000858527033014094
"Enterococcus_faecalis_TX1322",26,8.514470305,142,0.00151390420814817
"Streptococcus_suis_05ZYH33",26,9.482487645,60,0.000644265961947846
"Anaerotruncus_colihominis_DSM_17241",25,9.464685847,619,0.105207584146378
"Bacteroides_uniformis_ATCC_8492",25,9.30996911,8,0.363157071990994
"Clostridium_asparagiforme_DSM_15981",25,9.153685334,793,0.068667242097613
"Clostridium_leptum_DSM_753",25,7.954368501,574,0.26838320173452
"Bacteroides_cellulosilyticus_DSM_14838",24,7.956980953,8,0.348614673868716
"Bacteroides_finegoldii_DSM_17565",24,7.796867523,306,0.346629789897281
"Streptococcus_thermophilus_LMD_9",24,7.577573553,402,0.212966539336133
"Actinomyces_odontolyticus_ATCC_17982",24,8.559130352,69,0.00383320506499083
"Bifidobacterium_dentium_ATCC_27678",24,7.964641296,99,0.00405671922286851
"Clostridium_sp_7_2_43FAA",24,8.665892457,8,0.00215527455374308
"Enterococcus_sp_7L76",24,8.676509508,29,0.00187897233587485
"Bacteroides_caccae_ATCC_43185",23,7.900185907,5,0.306717343096516
"Bacteroides_eggerthii_DSM_20697",23,7.278982174,28,0.302571658448862
"Bacteroides_stercoris_ATCC_43183",23,7.184568136,20,0.325003077893646
"Eubacterium_dolichum_DSM_3991",23,8.351349594,102,0.00670129253599051
"Cronobacter_sakazakii_ATCC_BAA_894",22,8.436939131,135,0.000475414456223636
"Lactococcus_lactis_cremoris_MG1363",21,6.912568318,57,0.00180139260896756
"Butyrivibrio_crossotus_DSM_2876",20,6.669179998,14,0.231485968930073
"Anaerococcus_hydrogenalis_DSM_7454",20,7.771132669,127,0.000655093198167986
"Citrobacter_koseri_ATCC_BAA_895",20,7.711177664,16,0.00074764654161088
"Blautia_hansenii_VPI_C7_24_DSM_20583",19,7.054479161,227,0.0168728760788408
"Prevotella_copri_CB7_DSM_18205",18,5.924607077,15,0.17875299083907
"Fusobacterium_nucleatum_nucleatum_ATCC_25586",18,5.875319019,326,0.0009443904148662
"Clostridium_bartlettii_DSM_16795",17,5.857202698,62,0.173683876579882
"Clostridium_bolteae_ATCC_BAA_613",17,5.837562594,248,0.0402823854964834
"Salmonella_enterica_sv_Heidelberg_SL476_CVM30485",16,6.698754349,8,0.000303683121835601
"Clostridium_nexile_DSM_1787",15,5.912528093,152,0.0834475872721855
"Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378",15,5.56765401,183,0.0235479690728728
"Bifidobacterium_gallicum_DSM_20093",15,6.209615992,16,0.000280470986716975
"Clostridium_perfringens_ATCC_13124",15,5.588182311,7,0.00103403217311521
"Leuconostoc_mesenteroides_mesenteroides_ATCC_8293",14,5.079064212,283,0.000618749947376205
"Clostridium_spiroforme_DSM_1552",14,5.05236276,149,0.034303813223624
"Klebsiella_pneumoniae_342",14,5.805081211,21,0.00023840382212616
"Bifidobacterium_angulatum_DSM_20098",13,4.626602872,172,0.00452028261473935
"Clostridium_sp_L2_50",12,4.298618795,52,0.14865088028067
"Enterobacter_sp_638",12,5.814117668,3,0.000207943085120759
"Pasteurella_multocida_multocida_Pm70",12,5.493401276,25,0.0001407929784377
"Streptococcus_gordonii_Challis_CH1",12,5.268696816,151,0.002116019593999
"Streptococcus_mutans_UA159",12,5.059746958,33,0.00157174759084129
"Streptococcus_sanguinis_SK36",12,5.277684391,171,0.00117048647202125
"Parabacteroides_johnsonii_DSM_18315",11,4.111413627,1,0.120478698813079
"Haemophilus_parasuis_SH0165",10,5.183008113,12,0.00012145350939906
"Lactobacillus_fermentum_IFO_3956",10,5.073081562,6,0.000345364816695502
"Lactobacillus_sakei_sakei_23K",10,4.146817186,92,0.000452473977723928
"Thermoanaerobacter_sp_X514",10,4.17883009,0,0.000159109223650336
"Actinobacillus_pleuropneumoniae_sv_7_AP76",9,4.835190254,11,6.78933296501038e-05
"Escherichia_fergusonii_UMN026_ATCC_35469",9,3.735646952,29,0.000338015056923286
"Lactobacillus_acidophilus_NCFM",9,5.293445239,0,0.000265622040372338
"Lactobacillus_delbrueckii_bulgaricus_ATCC_11842",9,3.629756011,0,0.000156601629095239
"Lactobacillus_gasseri_ATCC_33323",9,3.920365306,63,0.000164470233898294
"Lactobacillus_helveticus_DPC_4571",9,5.191192638,0,0.00026838410971612
"Lactobacillus_ultunensis_DSM_16047",9,5.306514339,0,0.000260183742150502
"Tropheryma_whipplei_Twist",9,3.72561972,280,6.70670351838298e-05
"Escherichia_coli_O157_H7_EC4115",8,3.451820677,11,0.0181281597996912
"Akkermansia_muciniphila_ATCC_BAA_835",8,3.464048178,0,0.0899263136857484
"Bacteroides_intestinalis_341_DSM_17393",7,3.154690981,1,0.0338261081379629
"Catenibacterium_mitsuokai_DSM_15897",7,3.155995268,6,0.0568002630948796
"Ruminococcus_gnavus_ATCC_29149",7,3.574143797,0,0.0106897948511165
"Haemophilus_influenzae_NTHi_86_028NP",7,3.240881062,0,0.0010347808325864
"Staphylococcus_saprophyticus_saprophyticus_ATCC_15305",7,3.379214785,175,3.17634527274506e-05
"Bifidobacterium_pseudocatenulatum_DSM_20438",6,3.014143874,148,0.0173990326865479
"Campylobacter_concisus_13826",6,3.251883784,0,3.09852491049386e-05
"Lactobacillus_hilgardii_ATCC_8290",6,3.144252661,22,3.38683905410462e-05
"Lactobacillus_paracasei_ATCC_25302",6,3.461061846,44,5.11587407894463e-05
"Lactobacillus_reuteri_SD2112_ATCC_55730",6,3.117411233,13,8.45139524727608e-05
"Lactobacillus_salivarius_HO66_ATCC_11741",6,3.840668788,1,0.00391286374687952
"Enterobacter_cancerogenus_ATCC_35316",5,2.776095771,0,6.87530181824245e-05
"Lactobacillus_casei_casei_BL23",5,3.195757552,3,1.98207135499606e-05
"Pediococcus_pentosaceus_ATCC_25745",5,3.596713604,0,0.000359280886777069
"Bacteroides_coprocola_M16_DSM_17136",4,2.450032765,0,0.00101779187703241
