"Bacteria","Degree","Strength","Betweenness","Eigen_vector"
"Bacteroides_vulgatus_ATCC_8482",56,20.166580565,131,1
"Bacteroides_sp_9_1_42FAA",55,18.92503502,265,0.925336794570785
"Bacteroides_sp_4_3_47FAA",54,18.999594988,68,0.950529834639029
"Parabacteroides_distasonis_ATCC_8503",53,18.066962602,178,0.883557939665283
"Coprococcus_comes_ATCC_27758",52,18.625126102,104,0.906176782139391
"Bacteroides_sp_2_1_7",51,16.9783812,124,0.829443571225033
"Eubacterium_rectale_M104_1",51,17.365930154,593,0.825571882968911
"Bacteroides_ovatus_ATCC_8483",49,15.364944407,82,0.709069635890437
"Eubacterium_siraeum_70_3",49,16.077071909,273,0.793078476993636
"Faecalibacterium_prausnitzii_SL3_3",49,18.251391312,19,0.92067694600603
"Bacteroides_dorei_5_1_36_D4",48,17.428715008,42,0.864432008144456
"Bacteroides_sp_2_2_4",48,16.69487039,17,0.83135969860116
"Ruminococcus_obeum_A2_162",48,15.374557834,320,0.724069207714066
"Bacteroides_dorei_DSM_17855",47,16.947721921,532,0.803774281078583
"Bacteroides_xylanisolvens_XB1A",47,16.811464967,128,0.797580998838254
"Collinsella_aerofaciens_ATCC_25986",47,17.461961554,10,0.881990804809938
"Dorea_formicigenerans_ATCC_27755",47,16.974481355,26,0.863858538683659
"Bacteroides_sp_D1",46,15.867315445,370,0.729564097966872
"Roseburia_intestinalis_M50_1",46,16.720427713,64,0.865490272784399
"Ruminococcus_torques_L2_14",45,15.843339043,14,0.796782878590826
"Clostridiales_sp_SS3_4",44,15.94024412,34,0.815756769670051
"Ruminococcus_sp_SR1_5",44,15.808480446,7,0.798552566747823
"Bacteroides_eggerthii_DSM_20697",42,11.843185597,108,0.497756120334342
"Bifidobacterium_adolescentis_L2_32",41,14.004176446,70,0.661145668413701
"Eubacterium_hallii_DSM_3353",40,14.282678431,6,0.691515326451226
"Pseudoflavonifractor_capillosus_ATCC_29799",39,12.922841575,582,0.422317240287227
"Streptococcus_thermophilus_LMD_9",39,11.215189343,307,0.512221633994553
"Bifidobacterium_longum_longum_CCUG_52486",38,13.63868538,7,0.689095906610304
"Dorea_longicatena_DSM_13814",38,12.641048513,12,0.582158572064133
"Clostridium_sp_SS2_1",37,13.748516825,3,0.683920101135904
"Holdemania_filiformis_VPI_J1_31B_1_DSM_12042",37,12.222580806,297,0.386118508949126
"Bacteroides_plebeius_M12_DSM_17135",35,10.69152038,21,0.452101176472748
"Anaerotruncus_colihominis_DSM_17241",34,10.72061693,1028,0.33721821811637
"Clostridium_sp_M62_1",34,10.129917141,94,0.428275923873732
"Parabacteroides_merdae_ATCC_43184",34,10.620745226,60,0.412694942243946
"Subdoligranulum_variabile_DSM_15176",34,11.657184793,272,0.342642011416328
"Bacteroides_finegoldii_DSM_17565",33,9.78712819,113,0.427933480072343
"Bacteroides_stercoris_ATCC_43183",33,10.491445591,14,0.438634293590219
"Clostridium_bartlettii_DSM_16795",33,10.040967764,267,0.387120475404166
"Bacteroides_caccae_ATCC_43185",32,9.704724418,11,0.415698889108908
"Eubacterium_biforme_DSM_3989",32,9.634880296,94,0.458224441011072
"Eubacterium_ventriosum_ATCC_27560",32,9.537741954,276,0.43110502855293
"Bacteroides_thetaiotaomicron_VPI_5482",31,10.020805738,24,0.36978179558945
"Ruminococcus_bromii_L2_63",31,9.647725868,28,0.371573295634164
"Alistipes_putredinis_DSM_17216",30,9.521012171,19,0.386663827135659
"Bacteroides_fragilis_3_1_12",29,8.636363318,50,0.364631324502331
"Clostridium_asparagiforme_DSM_15981",29,9.643395182,1749,0.106203391336079
"Streptococcus_sanguinis_SK36",29,8.804508555,609,0.0135943850894257
"Bacteroides_coprocola_M16_DSM_17136",28,8.997827718,0,0.373123538327657
"Clostridium_nexile_DSM_1787",28,8.478005582,376,0.212529208076855
"Prevotella_copri_CB7_DSM_18205",28,8.121281023,136,0.338767365399844
"Clostridium_difficile_630",28,10.749107371,309,0.00520640500245586
"Streptococcus_suis_05ZYH33",28,9.75002699,189,0.000905117314853406
"Escherichia_coli_O157_H7_EC4115",27,8.057077422,84,0.286568547095858
"Bacteroides_uniformis_ATCC_8492",27,9.137426259,2,0.367197450858341
"Clostridium_bolteae_ATCC_BAA_613",27,9.012009238,33,0.260400995241357
"Clostridium_scindens_ATCC_35704",27,9.041231821,261,0.065392222107337
"Parabacteroides_johnsonii_DSM_18315",27,7.920414978,49,0.298230029466092
"Actinomyces_odontolyticus_ATCC_17982",27,9.32866556,716,0.0103760376190902
"Clostridium_hylemonae_DSM_15053",27,10.666622195,140,0.00234933781250324
"Porphyromonas_gingivalis_ATCC_33277",27,9.279901855,194,0.00150953992366729
"Bifidobacterium_pseudocatenulatum_DSM_20438",26,7.778525741,410,0.264420429267608
"Bryantella_formatexigens_I_52_DSM_14469",26,9.858886879,156,0.0166021464513701
"Butyrivibrio_crossotus_DSM_2876",26,8.999343003,453,0.129354031574844
"Anaerofustis_stercorihominis_DSM_17244",26,8.849006931,581,0.000755616368166511
"Bifidobacterium_bifidum_NCIMB_41171",26,8.967481168,25,0.432654103162623
"Butyrivibrio_fibrisolvens_16_4",26,10.111293759,536,0.00606669105046325
"Clostridium_phytofermentans_ISDg",26,9.958078944,170,0.00139149441404184
"Enterococcus_faecalis_TX1322",26,9.172285451,165,0.00207073794112673
"Streptococcus_pyogenes_M4_MGAS10750",26,9.454953721,58,0.000754881409353439
"Catenibacterium_mitsuokai_DSM_15897",25,8.138327639,3,0.355722512739416
"Clostridium_methylpentosum_R2_DSM_5476",25,9.545411344,75,0.0544602641314366
