"Bacteria","Degree","Strength","Betweenness","Eigen_vector"
"Bacteroides_sp_9_1_42FAA",42,22.972611231,208,0.986881651111186
"Clostridium_sp_SS2_1",42,23.175890134,22,0.994488898626971
"Bacteroides_thetaiotaomicron_VPI_5482",41,21.029920194,89,0.845950520713841
"Ruminococcus_torques_L2_14",41,21.713375265,14,0.902743391019897
"Bacteroides_sp_2_1_7",40,21.927358651,203,0.954964359575922
"Clostridiales_sp_SS3_4",40,22.128578672,0,0.964499870541495
"Dorea_formicigenerans_ATCC_27755",40,22.734881895,12,1
"Faecalibacterium_prausnitzii_SL3_3",40,20.826951399,17,0.872617855688385
"Roseburia_intestinalis_M50_1",40,21.92318768,147,0.951867838226395
"Coprococcus_comes_ATCC_27758",39,21.950252057,54,0.964683623261585
"Bacteroides_dorei_5_1_36_D4",39,21.993534335,26,0.976560392694545
"Anaerostipes_caccae_DSM_14662",38,19.035443056,297,0.00354013334869988
"Bifidobacterium_bifidum_NCIMB_41171",38,20.998851083,101,0.929122125882833
"Candidatus_Sulcia_muelleri_GWSS",38,19.381689057,57,0.00507934538678386
"Clostridium_difficile_630",38,19.073654816,285,0.00498863540495437
"Clostridium_hylemonae_DSM_15053",38,19.334369402,290,0.00396401055306399
"Bacteroides_vulgatus_ATCC_8482",37,21.444035525,17,0.970178921143712
"Coprobacillus_sp_D7",37,18.93294561,619,0.00911889743654824
"Eubacterium_rectale_M104_1",37,21.762582516,6,0.989668397472597
"Eubacterium_siraeum_70_3",37,20.560504013,161,0.891050747133151
"Clostridium_phytofermentans_ISDg",37,18.406845804,478,0.00251828613734196
"Bacteroides_ovatus_ATCC_8483",36,16.653364601,166,0.667058050911807
"Bacteroides_sp_4_3_47FAA",36,20.677021788,4,0.921514081932711
"Catenibacterium_mitsuokai_DSM_15897",36,16.96572904,287,0.00691760249998803
"Collinsella_aerofaciens_ATCC_25986",36,17.107241678,87,0.675426346542286
"Eubacterium_hallii_DSM_3353",36,17.463542001,72,0.64601145611137
"Ruminococcus_obeum_A2_162",36,18.777405428,524,0.769759283476864
"Eubacterium_dolichum_DSM_3991",36,18.903953436,456,0.00713087694874196
"Porphyromonas_gingivalis_ATCC_33277",36,18.555778718,383,0.00279753545130162
"Streptococcus_infantarius_infantarius_ATCC_BAA_102",36,18.222359428,405,0.00410246999411453
