"Bacteria","Degree","Strength","Betweenness","Eigen_vector"
"Bacteroides_vulgatus_ATCC_8482",58,21.219493545,93,1
"Bacteroides_sp_9_1_42FAA",57,20.420574062,17,0.965694850224189
"Bacteroides_sp_4_3_47FAA",56,20.157057702,52,0.952836216282015
"Bacteroides_sp_2_1_7",55,19.193264436,359,0.905098561801313
"Faecalibacterium_prausnitzii_SL3_3",55,20.145705709,25,0.947914731240173
"Roseburia_intestinalis_M50_1",55,19.161295464,237,0.909486590286383
"Parabacteroides_distasonis_ATCC_8503",54,19.354544779,58,0.921282290968833
"Coprococcus_comes_ATCC_27758",53,19.742300872,30,0.923925338141386
"Bacteroides_dorei_5_1_36_D4",53,18.967360015,284,0.883346572611785
"Eubacterium_siraeum_70_3",53,17.312070783,149,0.801897312036999
"Eubacterium_rectale_M104_1",52,18.859900028,237,0.880056157582287
"Bacteroides_xylanisolvens_XB1A",50,17.899311027,46,0.815162081663629
"Dorea_formicigenerans_ATCC_27755",50,18.657637108,30,0.89030380779082
"Ruminococcus_obeum_A2_162",50,17.005853698,39,0.776202699369454
"Ruminococcus_sp_SR1_5",49,17.128055497,13,0.791652186296417
"Ruminococcus_torques_L2_14",49,17.741621555,0,0.834749032176575
"Bacteroides_ovatus_ATCC_8483",48,16.026399082,21,0.748252008161928
"Bacteroides_sp_2_2_4",48,17.253240842,53,0.813992652344001
"Bacteroides_sp_D1",48,17.051104168,333,0.751738202221491
"Bacteroides_dorei_DSM_17855",47,17.479076905,241,0.792243889942217
"Clostridiales_sp_SS3_4",46,17.131331344,10,0.839376525710588
"Collinsella_aerofaciens_ATCC_25986",46,16.332299935,23,0.788322774331719
"Bifidobacterium_longum_longum_CCUG_52486",45,15.458263953,44,0.731328839468952
"Clostridium_sp_SS2_1",43,15.585711136,4,0.70778243242347
"Dorea_longicatena_DSM_13814",43,14.627017887,18,0.633518038424812
"Eubacterium_hallii_DSM_3353",43,15.541400094,5,0.714684580056522
"Streptococcus_thermophilus_LMD_9",43,12.693951932,119,0.583375495812343
"Bacteroides_eggerthii_DSM_20697",42,11.510926485,129,0.488664581265673
"Bacteroides_thetaiotaomicron_VPI_5482",42,13.080734982,13,0.539396179962433
"Bifidobacterium_adolescentis_L2_32",41,14.294812818,7,0.656697655776156
"Pseudoflavonifractor_capillosus_ATCC_29799",41,13.284360684,570,0.417552716332895
"Eubacterium_ventriosum_ATCC_27560",40,11.619924645,279,0.519762621880766
"Bacteroides_plebeius_M12_DSM_17135",39,11.629935701,19,0.473214661883375
"Holdemania_filiformis_VPI_J1_31B_1_DSM_12042",37,11.87831669,328,0.381196689070414
"Anaerotruncus_colihominis_DSM_17241",35,11.280650603,682,0.367824587307677
"Bacteroides_finegoldii_DSM_17565",35,9.625826675,311,0.414708497696715
"Bacteroides_stercoris_ATCC_43183",35,10.257833975,30,0.425782295770114
"Subdoligranulum_variabile_DSM_15176",35,11.493426349,798,0.327442753947807
"Bacteroides_caccae_ATCC_43185",34,10.670212011,5,0.432300228444722
"Alistipes_putredinis_DSM_17216",33,10.58428029,40,0.422823301131387
"Clostridium_sp_M62_1",33,10.175281417,73,0.41024029449011
"Parabacteroides_johnsonii_DSM_18315",33,9.032661031,130,0.366515533225492
"Parabacteroides_merdae_ATCC_43184",33,10.687401583,12,0.428317902294092
"Bacteroides_uniformis_ATCC_8492",32,10.932632337,8,0.425284905198756
"Bifidobacterium_pseudocatenulatum_DSM_20438",31,8.55704753,274,0.338616605877057
"Clostridium_leptum_DSM_753",31,8.663936856,177,0.293836450925443
"Bacteroides_coprocola_M16_DSM_17136",30,9.48465132,3,0.385603966865492
"Ruminococcus_bromii_L2_63",30,9.465106448,6,0.368231929815964
"Clostridium_nexile_DSM_1787",29,8.745931604,1022,0.165712834374911
"Bifidobacterium_bifidum_NCIMB_41171",29,9.363113972,17,0.453552918719158
