"Bacteria","Degree","Strength","Betweenness","Eigen_vector"
"Bacteroides_vulgatus_ATCC_8482",55,20.536133386,54,0.994169100163917
"Bacteroides_sp_9_1_42FAA",52,19.981082773,19,0.982564316290429
"Faecalibacterium_prausnitzii_SL3_3",52,20.559015034,246,1
"Bacteroides_sp_2_1_7",51,18.723197095,39,0.926131487727553
"Dorea_formicigenerans_ATCC_27755",51,19.396712892,117,0.947649557999534
"Roseburia_intestinalis_M50_1",51,19.418318562,26,0.967013834323654
"Coprococcus_comes_ATCC_27758",50,19.3356438,348,0.934978514332925
"Bacteroides_xylanisolvens_XB1A",50,18.41357414,226,0.906784456087263
"Eubacterium_siraeum_70_3",50,17.356332961,272,0.841590292316838
"Parabacteroides_distasonis_ATCC_8503",50,18.586732889,21,0.926682623388602
"Bacteroides_sp_4_3_47FAA",49,19.011082015,10,0.945161007871195
"Ruminococcus_torques_L2_14",49,18.363405533,14,0.87555640935779
"Bacteroides_ovatus_ATCC_8483",48,16.680600719,270,0.821957031062361
"Collinsella_aerofaciens_ATCC_25986",48,17.553406599,151,0.867928565984465
"Eubacterium_rectale_M104_1",47,18.449017557,8,0.92379111360587
"Bacteroides_sp_2_2_4",46,17.78176004,11,0.895308281416459
"Ruminococcus_obeum_A2_162",46,16.33548506,288,0.752481662874296
"Bacteroides_dorei_5_1_36_D4",45,17.069153409,67,0.816924264559577
"Bacteroides_dorei_DSM_17855",45,16.638084365,209,0.737190462842991
"Bacteroides_sp_D1",45,17.192148625,86,0.858059976858558
"Clostridiales_sp_SS3_4",45,17.544489018,1,0.869580892211028
"Eubacterium_hallii_DSM_3353",45,17.096744404,36,0.831871711475004
"Ruminococcus_sp_SR1_5",45,17.13156709,9,0.843710863598231
"Dorea_longicatena_DSM_13814",43,15.034653875,18,0.671717623503032
"Bifidobacterium_adolescentis_L2_32",42,13.690499977,63,0.637856264949438
"Bifidobacterium_longum_longum_CCUG_52486",42,14.216483837,113,0.687834175055123
"Clostridium_sp_SS2_1",41,15.52661292,2,0.744755695076952
"Eubacterium_ventriosum_ATCC_27560",40,13.084695013,246,0.65630491498523
"Holdemania_filiformis_VPI_J1_31B_1_DSM_12042",40,12.600566062,395,0.439613403053767
"Pseudoflavonifractor_capillosus_ATCC_29799",40,13.359501189,652,0.426039050283257
"Subdoligranulum_variabile_DSM_15176",39,12.687589571,179,0.408243385216117
"Bacteroides_thetaiotaomicron_VPI_5482",38,12.747722678,13,0.587876082839414
