,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaccard Similarity,Escherichia_coli_O157_H7_EC4115,Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,Coprococcus_comes_ATCC_27758,Akkermansia_muciniphila_ATCC_BAA_835,Alistipes_putredinis_DSM_17216,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_5_1_36_D4,Bacteroides_dorei_DSM_17855,Bacteroides_eggerthii_DSM_20697,Bacteroides_finegoldii_DSM_17565,Bacteroides_fragilis_3_1_12,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_ovatus_ATCC_8483,Bacteroides_pectinophilus_ATCC_43243,Bacteroides_plebeius_M12_DSM_17135,Bacteroides_sp_2_1_7,Bacteroides_sp_2_2_4,Bacteroides_sp_4_3_47FAA,Bacteroides_sp_9_1_42FAA,Bacteroides_sp_D1,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_vulgatus_ATCC_8482,Bacteroides_xylanisolvens_XB1A,Bifidobacterium_adolescentis_L2_32,Bifidobacterium_catenulatum_DSM_16992,Bifidobacterium_longum_longum_CCUG_52486,Bifidobacterium_pseudocatenulatum_DSM_20438,Blautia_hansenii_VPI_C7_24_DSM_20583,Bryantella_formatexigens_I_52_DSM_14469,Butyrivibrio_crossotus_DSM_2876,Catenibacterium_mitsuokai_DSM_15897,Clostridiales_sp_SS3_4,Clostridium_asparagiforme_DSM_15981,Clostridium_bartlettii_DSM_16795,Clostridium_bolteae_ATCC_BAA_613,Clostridium_leptum_DSM_753,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_nexile_DSM_1787,Clostridium_scindens_ATCC_35704,Clostridium_sp_L2_50,Clostridium_sp_M62_1,Clostridium_sp_SS2_1,Collinsella_aerofaciens_ATCC_25986,Coprobacillus_sp_D7,Coprococcus_eutactus_ATCC_27759,Dorea_formicigenerans_ATCC_27755,Dorea_longicatena_DSM_13814,Enterococcus_faecalis_TX0104,Eubacterium_biforme_DSM_3989,Eubacterium_hallii_DSM_3353,Eubacterium_rectale_M104_1,Eubacterium_siraeum_70_3,Eubacterium_ventriosum_ATCC_27560,Faecalibacterium_prausnitzii_SL3_3,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,Holdemania_filiformis_VPI_J1_31B_1_DSM_12042,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_merdae_ATCC_43184,Prevotella_copri_CB7_DSM_18205,Pseudoflavonifractor_capillosus_ATCC_29799,Roseburia_intestinalis_M50_1,Ruminococcus_bromii_L2_63,Ruminococcus_gnavus_ATCC_29149,Ruminococcus_lactaris_ATCC_29176,Ruminococcus_obeum_A2_162,Ruminococcus_sp_SR1_5,Ruminococcus_torques_L2_14,Streptococcus_thermophilus_LMD_9,Subdoligranulum_variabile_DSM_15176,Clostridium_symbiosum_WAL_14163,Actinobacillus_pleuropneumoniae_sv_7_AP76,Actinomyces_odontolyticus_ATCC_17982,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Bifidobacterium_angulatum_DSM_20098,Bifidobacterium_animalis_lactis_AD011,Bifidobacterium_bifidum_NCIMB_41171,Bifidobacterium_breve_DSM_20213,Bifidobacterium_dentium_ATCC_27678,Bifidobacterium_gallicum_DSM_20093,Blautia_hydrogenotrophica_DSM_10507,Butyrivibrio_fibrisolvens_16_4,Campylobacter_concisus_13826,Campylobacter_hominis_ATCC_BAA_381,Candidatus_Sulcia_muelleri_GWSS,Citrobacter_koseri_ATCC_BAA_895,Citrobacter_sp_30_2,Clostridium_difficile_630,Clostridium_hylemonae_DSM_15053,Clostridium_perfringens_ATCC_13124,Clostridium_phytofermentans_ISDg,Clostridium_ramosum_VPI_0427_DSM_1402,Clostridium_sp_7_2_43FAA,Clostridium_spiroforme_DSM_1552,Collinsella_intestinalis_DSM_13280,Collinsella_stercoris_DSM_13279,Cronobacter_sakazakii_ATCC_BAA_894,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_vulgaris_Miyazaki_F,Enterobacter_cancerogenus_ATCC_35316,Enterobacter_sp_638,Enterococcus_faecalis_TX1322,Enterococcus_sp_7L76,Escherichia_fergusonii_UMN026_ATCC_35469,Eubacterium_dolichum_DSM_3991,Finegoldia_magna_ATCC_29328,Fusobacterium_nucleatum_nucleatum_ATCC_25586,Haemophilus_influenzae_NTHi_86_028NP,Haemophilus_parasuis_SH0165,Helicobacter_pullorum_MIT_98_5489,Klebsiella_pneumoniae_342,Lactobacillus_acidophilus_NCFM,Lactobacillus_casei_casei_BL23,Lactobacillus_delbrueckii_bulgaricus_ATCC_11842,Lactobacillus_fermentum_IFO_3956,Lactobacillus_gasseri_ATCC_33323,Lactobacillus_helveticus_DPC_4571,Lactobacillus_hilgardii_ATCC_8290,Lactobacillus_johnsonii_NCC_533,Lactobacillus_paracasei_ATCC_25302,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_sakei_sakei_23K,Lactobacillus_salivarius_HO66_ATCC_11741,Lactobacillus_ultunensis_DSM_16047,Lactococcus_lactis_cremoris_MG1363,Megamonas_hypermegale_ART12_1,Methanobrevibacter_smithii_DSM_2375,Methanosphaera_stadtmanae_DSM_3091,Mitsuokella_multacida_DSM_20544,Pasteurella_multocida_multocida_Pm70,Pediococcus_pentosaceus_ATCC_25745,Porphyromonas_gingivalis_ATCC_33277,Proteus_mirabilis_HI4320,Proteus_penneri_ATCC_35198,Pseudomonas_aeruginosa_LESB58,Salmonella_enterica_sv_Heidelberg_SL476_CVM30485,Staphylococcus_saprophyticus_saprophyticus_ATCC_15305,Streptococcus_gordonii_Challis_CH1,Streptococcus_infantarius_infantarius_ATCC_BAA_102,Streptococcus_mutans_UA159,Streptococcus_pneumoniae_Hungary19A_6,Streptococcus_pyogenes_M4_MGAS10750,Streptococcus_sanguinis_SK36,Streptococcus_suis_05ZYH33,Thermoanaerobacter_sp_X514,Tropheryma_whipplei_Twist
Escherichia_coli_O157_H7_EC4115,1,0.014090783,0.202358816,0.050631617,0.046711791,0.205047504,0.042673696,0.070240945,0.074312644,0.138027529,0.212559145,0.227132365,0.109819758,0.090980809,0.216442388,0.0603063,0.171308835,0.101929002,0.126240122,0.148377842,0.150832551,0.175718158,0.174261381,0.165838443,0.062210183,0.071380456,0.036763784,0.144364437,0.143052301,0.066055654,0.087759764,0.107043246,0.092320477,0.117488336,0.099688969,0.057349896,0.069256228,0.081909875,0.1912494,0.140240986,0.15991207,0.203928177,0.135085444,0.215371851,0.146994964,0.048311191,0.196002026,0.063544768,0.128367009,0.122107543,0.101498339,0.113191749,0.068803409,0.151468852,0.0786921,0.072959879,0.19285501,0.176581338,0.100338499,0.134724954,0.160830273,0.240268092,0.14460003,0.062773777,0.043940803,0.066136169,0.259965952,0.153374392,0.046369004,0.227974069,0.047071089,0.168820025,0.086136985,0.092493755,0.154753075,0.215823478,0.135833279,0.007458406,0.060011247,0.010852973,0.022900288,0.078959614,0.05819802,0.033586547,0.06366582,0.065606285,0.056096151,0.012796172,0.142748216,0.065621124,0.011081081,0.058817088,0.052195588,0.013309707,0.019226715,0.04576482,0.045590064,0.017826838,0.032269346,0.070146604,0.027185254,0.125955143,0.05759707,0.053122981,0.007985559,0.085750603,0.031394901,0.024264558,0.008972046,0.023608304,0.024857112,0.064943281,0.066138524,0.016308078,0.013883374,0.040485741,0.008477778,0.001279551,0.050729557,0.028598572,0.002671735,0.071387753,0.004408843,0.009229819,0.004540859,0.005599042,0.002177542,0.004736873,0.00112868,0.024502669,0.014513081,0.003879879,0.056129651,0.011855879,0.184035194,0.033317908,0.057371595,0.009579146,0.00491683,0.031773468,0.001592936,0.002172197,0.005503834,0.00818567,0.005145337,0.061822054,0.037535165,0.025706312,0.072803372,0.008764926,0.053188154,0.011517832,0.011433617,0.008967514
Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,0.014090783,1,0.005037608,0.001374495,0.000850934,0.020461844,0.001241161,0.00217747,0.005023663,0.005770073,0.00679359,0.007806676,0.003677223,0.006000785,0.010195429,0.003344421,0.004020265,0.004391828,0.004767861,0.003651723,0.00403641,0.004477008,0.004158417,0.005004528,0.003374718,0.001457183,0.000671002,0.003084977,0.00352932,0.001845061,0.014506901,0.002900459,0.008351373,0.066524494,0.087596884,0.001931737,0.011268381,0.002044323,0.025945873,0.01281609,0.011977347,0.007716766,0.065651972,0.022336625,0.05195912,0.003020169,0.012012832,0.00124598,0.00322475,0.078502258,0.004330933,0.002819556,0.001272436,0.048612349,0.004933663,0.001694543,0.00465925,0.003211511,0.003498647,0.002660771,0.021261785,0.011936883,0.003730423,0.007548922,0.001205228,0.00349538,0.012297017,0.003332714,0.001354051,0.018574287,0.001480387,0.006077829,0.001900444,0.0020039,0.006926326,0.01421754,0.024400254,0.179375114,0.186035369,0.276508417,0.324972415,0.126363837,0.03544137,0.026471411,0.013658193,0.051542885,0.086116935,0.233336623,0.058755699,0.130884397,0.225255723,0.075498997,0.193077878,0.258261418,0.220043154,0.224949598,0.208743749,0.300822365,0.251784813,0.097542605,0.284778032,0.016881917,0.098652023,0.15779559,0.235991949,0.005406944,0.239032675,0.120382013,0.261968861,0.344606443,0.374655695,0.132052451,0.135083482,0.239551414,0.260129235,0.110512695,0.177061693,0.077733578,0.02197363,0.102574269,0.087201099,0.12082588,0.151600365,0.178234061,0.226183235,0.137412173,0.135785635,0.135539774,0.063955234,0.182569987,0.250014631,0.132855861,0.17022228,0.016994191,0.013333961,0.025563175,0.01537105,0.187198658,0.215522225,0.220562576,0.091512438,0.098626536,0.178616173,0.234570285,0.145245104,0.138582876,0.241333179,0.11324678,0.113013792,0.258297011,0.165760518,0.269891903,0.220222539,0.178004856
Coprococcus_comes_ATCC_27758,0.202358816,0.005037608,1,0.174962841,0.13815846,0.209676564,0.160274582,0.208404494,0.159083982,0.119350298,0.57331837,0.582995664,0.18512687,0.203959651,0.322554227,0.18079625,0.463154691,0.15981307,0.172414031,0.575407146,0.529301206,0.568349572,0.55789175,0.519726313,0.199643534,0.219888504,0.129549836,0.464443456,0.485322461,0.220804959,0.123181833,0.38206081,0.161675766,0.075725616,0.05678795,0.139885678,0.150045717,0.349555766,0.174727686,0.249841672,0.172102427,0.341178895,0.076732018,0.224557536,0.095242098,0.175550498,0.334655045,0.241466849,0.447726671,0.060755446,0.341728133,0.49762,0.234605743,0.10362816,0.22199844,0.318074817,0.677425303,0.442982619,0.371386731,0.507309341,0.179868214,0.382999188,0.54474723,0.237797955,0.14575707,0.133380322,0.386733792,0.522008786,0.152662367,0.229527795,0.206807502,0.550064215,0.343011091,0.36508153,0.317094873,0.352181502,0.120475168,0.002553503,0.023902007,0.003757088,0.008373828,0.03000007,0.069139132,0.038018507,0.076956575,0.049920313,0.034655915,0.004239038,0.076598265,0.03308917,0.004090017,0.01871643,0.021977552,0.004560354,0.010076519,0.018351303,0.018514087,0.006164673,0.012812076,0.031216504,0.010266125,0.183332736,0.037503382,0.025166879,0.002782527,0.189800095,0.011005946,0.01616833,0.002869528,0.008244273,0.009160445,0.019885495,0.031770051,0.006360399,0.004941345,0.025591195,0.002898056,0.000391796,0.048921092,0.00918158,0.000864194,0.023532261,0.001356369,0.002905954,0.001421387,0.001773417,0.00070873,0.001702654,0.00034935,0.008406432,0.004879,0.001218462,0.020664302,0.019072923,0.197174018,0.022658577,0.081143993,0.003241353,0.001635621,0.012973385,0.000487753,0.000668155,0.001791333,0.002707238,0.004008449,0.032275418,0.014374596,0.020477131,0.038501496,0.002836051,0.023884721,0.003765912,0.003914081,0.005877691
Akkermansia_muciniphila_ATCC_BAA_835,0.050631617,0.001374495,0.174962841,1,0.360403047,0.052409053,0.311365306,0.263719847,0.110916834,0.116735198,0.147448536,0.127320135,0.135292939,0.116919327,0.080498064,0.129447909,0.181641294,0.097345712,0.102789874,0.210238936,0.180684971,0.185916195,0.205374754,0.168689556,0.174783249,0.280379249,0.343678683,0.251424175,0.201554954,0.321635762,0.04035508,0.18753629,0.04510048,0.018927689,0.014384625,0.174077281,0.058004602,0.239820982,0.036825245,0.065050965,0.044052329,0.139034777,0.01907816,0.04915531,0.023701764,0.125559255,0.065365155,0.363810119,0.212450685,0.014104582,0.160745038,0.248661976,0.338082357,0.024335726,0.115815783,0.310762144,0.187675657,0.233139833,0.190467123,0.244196982,0.046333362,0.090562976,0.215175962,0.119229564,0.308764113,0.102840992,0.083876827,0.207353849,0.238865116,0.055511946,0.346713697,0.161304753,0.296836699,0.287993604,0.139247542,0.073399583,0.031256522,0.000578967,0.006003869,0.000995642,0.002255516,0.007327122,0.023013509,0.004575807,0.025609591,0.011634369,0.008871931,0.001108233,0.017946218,0.008337705,0.001068867,0.002090229,0.00573843,0.001086556,0.001952544,0.004789648,0.004734372,0.001624339,0.003287853,0.005711943,0.002676594,0.053733652,0.009509277,0.006060701,0.000678736,0.090943731,0.002788058,0.002765133,0.0007434,0.002249423,0.002499398,0.004570927,0.007512475,0.001449773,0.001325813,0.005789693,0.000661986,0.0001069,0.013305962,0.002304267,0.000235792,0.006420702,0.000370081,0.000727216,0.000387821,0.000483871,0.000193375,0.000464564,9.53E-05,0.002293668,0.001123923,0.000332453,0.005638188,0.006088803,0.060096376,0.00618232,0.047690456,0.00075757,0.000446274,0.003353625,0.000133082,0.000182304,0.00048876,0.000647807,0.001093692,0.008336305,0.00357332,0.005460278,0.009719454,0.000766205,0.006269443,0.000997626,0.001067944,0.001603709
Alistipes_putredinis_DSM_17216,0.046711791,0.000850934,0.13815846,0.360403047,1,0.039124245,0.533668443,0.316123497,0.131872241,0.110674701,0.116394174,0.10166709,0.185973253,0.091451401,0.069740187,0.146788794,0.190283837,0.147037074,0.147168491,0.201869324,0.167913023,0.171018655,0.183315124,0.143356223,0.204379768,0.454864169,0.644805795,0.245415225,0.204553927,0.320659852,0.040747074,0.181627967,0.064034646,0.012791285,0.009592406,0.253171104,0.06308914,0.315093143,0.024784573,0.056484755,0.032896331,0.099694824,0.012961283,0.034476674,0.016340726,0.226786957,0.059810945,0.482329679,0.190659151,0.009672073,0.151832387,0.252317823,0.502297919,0.017504477,0.141697806,0.392476237,0.158386553,0.228206713,0.211410303,0.267912775,0.037550964,0.056366526,0.199937027,0.086646402,0.48365953,0.157235814,0.062027706,0.213413752,0.436723003,0.029861666,0.359638477,0.124259271,0.314360183,0.32684231,0.11424628,0.057709186,0.014098972,0.000431328,0.004037437,0.000634633,0.001414475,0.005067498,0.01547785,0.016693451,0.040756983,0.005907457,0.004801828,0.000716042,0.012072236,0.005589298,0.00069087,0.003161509,0.003712365,0.000770318,0.001702087,0.003099833,0.00312733,0.001041313,0.002164167,0.004123459,0.001734115,0.037243991,0.00633493,0.004251094,0.000470014,0.105069671,0.001859083,0.002731093,0.00048471,0.001392592,0.001547348,0.003358983,0.005366477,0.001074375,0.000834673,0.004322768,0.000489529,6.62E-05,0.015413183,0.001550918,0.000145976,0.003974981,0.000229113,0.000490863,0.000240095,0.000299559,0.000119716,0.000287606,5.90E-05,0.001419983,0.000824142,0.000205818,0.003490536,0.01721711,0.047001948,0.003816744,0.033608955,0.000547517,0.000276283,0.002191415,8.24E-05,0.000112862,0.000302585,0.000457296,0.000512018,0.005451842,0.002428102,0.00280502,0.006503527,0.000479055,0.004034517,0.000636124,0.000661152,0.000992837
Anaerotruncus_colihominis_DSM_17241,0.205047504,0.020461844,0.209676564,0.052409053,0.039124245,1,0.050547915,0.071212044,0.098315896,0.083025686,0.267593565,0.313226776,0.092677025,0.176952685,0.217008784,0.11635858,0.183060922,0.119675147,0.0879584,0.168480632,0.181554573,0.193109195,0.181069991,0.20589412,0.099986283,0.068598923,0.032388733,0.131288665,0.157565369,0.059029503,0.193697168,0.125147751,0.124893478,0.307583616,0.230662277,0.056126825,0.083509724,0.085043538,0.435764026,0.233253311,0.307052341,0.28757622,0.311671435,0.546889797,0.393806598,0.086989355,0.445548294,0.060892843,0.110086702,0.24677752,0.114359135,0.126163358,0.058983899,0.363054096,0.065377414,0.082183764,0.191380788,0.122734988,0.150912806,0.114857074,0.39570306,0.412898306,0.16189302,0.22974239,0.038500562,0.045069206,0.457159682,0.138204085,0.055699173,0.413681707,0.055082539,0.23717918,0.08658462,0.081938706,0.218054096,0.423609801,0.257046795,0.010371861,0.095822242,0.015260604,0.034012957,0.121854802,0.128376634,0.058673336,0.105137404,0.149885488,0.13498663,0.017218197,0.305814329,0.134402161,0.016612901,0.038996089,0.0892688,0.018523323,0.040928978,0.074539639,0.075200836,0.025039777,0.052040311,0.119933886,0.041699123,0.216802817,0.107949545,0.102223265,0.011302117,0.074641976,0.04470414,0.044373844,0.011655499,0.033486732,0.037208054,0.077583351,0.117223027,0.02583478,0.02007084,0.091185869,0.011771373,0.001591403,0.061560978,0.032039546,0.003510196,0.048425772,0.005509325,0.011803453,0.005773413,0.007203296,0.002878733,0.006915871,0.001418996,0.031585769,0.019817606,0.00494917,0.058041543,0.023371657,0.234478406,0.062006768,0.056133537,0.013165783,0.006643594,0.052695517,0.001981166,0.002713924,0.007276069,0.010996306,0.016281586,0.122199421,0.058386981,0.083174363,0.156386043,0.01151952,0.088570327,0.015296448,0.015898282,0.023874108
Bacteroides_caccae_ATCC_43185,0.042673696,0.001241161,0.160274582,0.311365306,0.533668443,0.050547915,1,0.276400144,0.151176892,0.101773941,0.141901348,0.11903752,0.222542724,0.086926813,0.081216513,0.186530551,0.183349658,0.169185436,0.148851113,0.224038476,0.173653617,0.200211274,0.198568051,0.172751174,0.185523436,0.35520055,0.473417304,0.272538487,0.216121446,0.299438056,0.058870213,0.211464808,0.073533899,0.01761845,0.013671802,0.288102815,0.063723172,0.302284955,0.03298636,0.05664668,0.041757627,0.089231638,0.017046619,0.045329018,0.021785675,0.18665198,0.060909073,0.401386156,0.211340669,0.012375923,0.157022459,0.257519512,0.387685661,0.022519089,0.181916883,0.368589005,0.187917403,0.235256487,0.24139212,0.275031692,0.039078832,0.07063386,0.230837021,0.109143127,0.483546374,0.134347467,0.070915985,0.222547458,0.300342146,0.038549842,0.357476769,0.154233146,0.302823914,0.314026782,0.112561889,0.06969503,0.019460268,0.000629129,0.005700368,0.000925668,0.002063135,0.00613149,0.018048474,0.017333694,0.02411264,0.008704084,0.006964628,0.00104441,0.015953667,0.008150807,0.001007694,0.004611336,0.005414807,0.001123575,0.002482643,0.004521376,0.004561482,0.001518846,0.003156627,0.004441041,0.002529358,0.042119847,0.009222903,0.006116522,0.000685556,0.111714766,0.002711634,0.003983537,0.000706991,0.002031216,0.002256941,0.004556718,0.007827474,0.001567069,0.001217444,0.006305133,0.00071402,9.65E-05,0.021536761,0.002262149,0.000212919,0.005797855,0.000334181,0.000715966,0.0003502,0.000436933,0.000174616,0.000419498,8.61E-05,0.002071168,0.001202083,0.000300203,0.00509125,0.032413689,0.066440766,0.005582598,0.031838809,0.000798601,0.000402983,0.00319637,0.000120172,0.000164619,0.000441347,0.000667007,0.000908457,0.007077342,0.003541599,0.003368634,0.009392237,0.000698743,0.005574989,0.000927842,0.000964347,0.00144814
Bacteroides_cellulosilyticus_DSM_14838,0.070240945,0.00217747,0.208404494,0.263719847,0.316123497,0.071212044,0.276400144,1,0.085223746,0.091194785,0.173379381,0.157006788,0.108620144,0.064422838,0.094091819,0.091669429,0.253035326,0.104173418,0.126399096,0.235641334,0.25422404,0.182650465,0.254347611,0.176117493,0.165664215,0.247812224,0.269246993,0.247554352,0.215806162,0.370647754,0.064767366,0.305292158,0.073263784,0.028869162,0.023122232,0.156675902,0.06286233,0.311737249,0.060831197,0.083023295,0.054116655,0.145558242,0.030066618,0.080070249,0.035527544,0.150157644,0.096712822,0.400445389,0.236864045,0.026309582,0.247647685,0.278175894,0.278710907,0.038287774,0.103222809,0.365489981,0.204799152,0.280074862,0.220214362,0.269195558,0.083766389,0.111277526,0.246455063,0.119554638,0.300990616,0.061163728,0.1142947,0.248617084,0.26098274,0.08608563,0.367358982,0.188029602,0.315090585,0.310851961,0.177326583,0.096430103,0.035106413,0.001126628,0.010622363,0.001701706,0.003792776,0.013069682,0.025879153,0.007828545,0.055519934,0.01773923,0.014447814,0.001919997,0.030804685,0.013951595,0.0018525,0.008425563,0.009832778,0.002065531,0.004395544,0.008257145,0.008208103,0.002792179,0.005692608,0.01413896,0.004649859,0.082973547,0.016804522,0.011138068,0.001260296,0.156853988,0.004977722,0.006095205,0.001183927,0.003573434,0.004009656,0.007526785,0.012078514,0.00288083,0.002238094,0.009388555,0.001245915,0.000177457,0.032694204,0.003938268,0.000391421,0.004393083,0.000614343,0.0013162,0.000643792,0.000803238,0.000321007,0.000771187,0.000158232,0.003807544,0.002132641,0.000551881,0.005703183,0.042741864,0.067597594,0.007926118,0.017881657,0.001369759,0.000740825,0.005765575,0.000220919,0.000302629,0.000811353,0.001226195,0.001815555,0.012705092,0.006492312,0.00640112,0.016923006,0.001284539,0.009666082,0.001705703,0.001772813,0.002007521
Bacteroides_coprocola_M16_DSM_17136,0.074312644,0.005023663,0.159083982,0.110916834,0.131872241,0.098315896,0.151176892,0.085223746,1,0.112972446,0.14985672,0.146042089,0.289129401,0.228639094,0.053823651,0.044893249,0.122623289,0.073610257,0.232018174,0.162498305,0.113408884,0.192570961,0.137323397,0.108698715,0.092408741,0.108516566,0.112587439,0.178687282,0.112109922,0.159360669,0.111604715,0.153900003,0.129348434,0.057012919,0.047292228,0.123242866,0.13544617,0.164737177,0.063645806,0.123367014,0.062745613,0.123534964,0.054952952,0.08771042,0.059219663,0.122723809,0.090739404,0.156315307,0.172736081,0.043883683,0.126778195,0.188658736,0.154721203,0.069116709,0.059300695,0.154640686,0.160217576,0.130634389,0.129721516,0.181840889,0.081605652,0.103497524,0.171377481,0.178551263,0.15508802,0.215879829,0.106184976,0.136848048,0.099062424,0.084991698,0.125945691,0.165901986,0.191536756,0.217762138,0.10860977,0.109423852,0.095456745,0.002546434,0.020194011,0.003746687,0.008242725,0.023572479,0.040809514,0.096488456,0.026155781,0.055565302,0.028969732,0.004227303,0.047463057,0.030534251,0.004078695,0.018664618,0.021664467,0.004547729,0.008456091,0.018169445,0.018310504,0.006147608,0.012776608,0.013553225,0.010237705,0.044823681,0.020355537,0.023125359,0.002774824,0.174916173,0.010845181,0.009803768,0.002861584,0.007556196,0.009125132,0.014487973,0.028176826,0.005929794,0.004927666,0.01963527,0.002890033,0.000390711,0.022956675,0.006470659,0.000861801,0.009767756,0.001352615,0.002897909,0.001417452,0.001768508,0.000706768,0.001697941,0.000348383,0.007704291,0.004865494,0.001215089,0.018426985,0.005781451,0.134184656,0.01330784,0.068171811,0.00323238,0.001631093,0.012931162,0.000486403,0.000666305,0.001786375,0.002699744,0.003997352,0.025300232,0.013543233,0.013130442,0.030582023,0.0028282,0.017840759,0.003755487,0.003903246,0.004635149
Bacteroides_coprophilus_DSM_18228,0.138027529,0.005770073,0.119350298,0.116735198,0.110674701,0.083025686,0.101773941,0.091194785,0.112972446,1,0.111512458,0.115964113,0.108917945,0.061446134,0.064932695,0.081770203,0.100333603,0.104858426,0.265648202,0.153345451,0.095299763,0.14846296,0.13772247,0.101160167,0.077458242,0.086018822,0.09148597,0.147701773,0.088233074,0.109328682,0.05448989,0.076968893,0.046612397,0.065341629,0.054934139,0.117321965,0.211175658,0.129948279,0.067996216,0.120188674,0.055710562,0.147746015,0.063271042,0.088344333,0.065885596,0.106174277,0.097879256,0.082841906,0.125372034,0.051147845,0.15140803,0.093495798,0.141929702,0.079485444,0.14115997,0.105165959,0.137302845,0.140080285,0.101586865,0.137213226,0.076342357,0.087507222,0.146940236,0.155833422,0.10132713,0.239599559,0.101128323,0.126719709,0.114999659,0.071568523,0.068525325,0.101258505,0.090245655,0.086573067,0.114006029,0.112005626,0.036881535,0.002742819,0.023641704,0.004303365,0.009591376,0.02488179,0.035883993,0.022146649,0.089315715,0.034403813,0.028820825,0.00485539,0.044905763,0.035946501,0.004684702,0.021437785,0.02511827,0.004872887,0.008727324,0.020694575,0.020970188,0.007061012,0.014471181,0.01483292,0.011547765,0.055431947,0.024688763,0.027350843,0.003162007,0.114813002,0.012606202,0.010857967,0.003286755,0.009362977,0.010352058,0.018439035,0.031032744,0.006394713,0.005659813,0.019112841,0.003091194,0.000448763,0.025678886,0.006837555,0.000989847,0.011111847,0.001553585,0.003328477,0.001628055,0.002031271,0.000811779,0.001950219,0.000400145,0.00783589,0.005588403,0.001395625,0.020872348,0.006555293,0.141833567,0.013686388,0.184442606,0.003492434,0.001873439,0.014859704,0.000558672,0.000765304,0.002051792,0.003032057,0.004393692,0.029211086,0.01623374,0.011951331,0.035944647,0.00324841,0.021998169,0.004313473,0.004003956,0.004360877
