,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaccard Similarity,Escherichia_coli_O157_H7_EC4115,Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,Coprococcus_comes_ATCC_27758,Akkermansia_muciniphila_ATCC_BAA_835,Alistipes_putredinis_DSM_17216,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_5_1_36_D4,Bacteroides_dorei_DSM_17855,Bacteroides_eggerthii_DSM_20697,Bacteroides_finegoldii_DSM_17565,Bacteroides_fragilis_3_1_12,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_ovatus_ATCC_8483,Bacteroides_pectinophilus_ATCC_43243,Bacteroides_plebeius_M12_DSM_17135,Bacteroides_sp_2_1_7,Bacteroides_sp_2_2_4,Bacteroides_sp_4_3_47FAA,Bacteroides_sp_9_1_42FAA,Bacteroides_sp_D1,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_vulgatus_ATCC_8482,Bacteroides_xylanisolvens_XB1A,Bifidobacterium_adolescentis_L2_32,Bifidobacterium_catenulatum_DSM_16992,Bifidobacterium_longum_longum_CCUG_52486,Bifidobacterium_pseudocatenulatum_DSM_20438,Blautia_hansenii_VPI_C7_24_DSM_20583,Bryantella_formatexigens_I_52_DSM_14469,Butyrivibrio_crossotus_DSM_2876,Catenibacterium_mitsuokai_DSM_15897,Clostridiales_sp_SS3_4,Clostridium_asparagiforme_DSM_15981,Clostridium_bartlettii_DSM_16795,Clostridium_bolteae_ATCC_BAA_613,Clostridium_leptum_DSM_753,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_nexile_DSM_1787,Clostridium_scindens_ATCC_35704,Clostridium_sp_L2_50,Clostridium_sp_M62_1,Clostridium_sp_SS2_1,Collinsella_aerofaciens_ATCC_25986,Coprobacillus_sp_D7,Coprococcus_eutactus_ATCC_27759,Dorea_formicigenerans_ATCC_27755,Dorea_longicatena_DSM_13814,Enterococcus_faecalis_TX0104,Eubacterium_biforme_DSM_3989,Eubacterium_hallii_DSM_3353,Eubacterium_rectale_M104_1,Eubacterium_siraeum_70_3,Eubacterium_ventriosum_ATCC_27560,Faecalibacterium_prausnitzii_SL3_3,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,Holdemania_filiformis_VPI_J1_31B_1_DSM_12042,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_merdae_ATCC_43184,Prevotella_copri_CB7_DSM_18205,Pseudoflavonifractor_capillosus_ATCC_29799,Roseburia_intestinalis_M50_1,Ruminococcus_bromii_L2_63,Ruminococcus_gnavus_ATCC_29149,Ruminococcus_lactaris_ATCC_29176,Ruminococcus_obeum_A2_162,Ruminococcus_sp_SR1_5,Ruminococcus_torques_L2_14,Streptococcus_thermophilus_LMD_9,Subdoligranulum_variabile_DSM_15176,Clostridium_symbiosum_WAL_14163,Actinobacillus_pleuropneumoniae_sv_7_AP76,Actinomyces_odontolyticus_ATCC_17982,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Bifidobacterium_angulatum_DSM_20098,Bifidobacterium_animalis_lactis_AD011,Bifidobacterium_bifidum_NCIMB_41171,Bifidobacterium_breve_DSM_20213,Bifidobacterium_dentium_ATCC_27678,Bifidobacterium_gallicum_DSM_20093,Blautia_hydrogenotrophica_DSM_10507,Butyrivibrio_fibrisolvens_16_4,Campylobacter_concisus_13826,Campylobacter_hominis_ATCC_BAA_381,Candidatus_Sulcia_muelleri_GWSS,Citrobacter_koseri_ATCC_BAA_895,Citrobacter_sp_30_2,Clostridium_difficile_630,Clostridium_hylemonae_DSM_15053,Clostridium_perfringens_ATCC_13124,Clostridium_phytofermentans_ISDg,Clostridium_ramosum_VPI_0427_DSM_1402,Clostridium_sp_7_2_43FAA,Clostridium_spiroforme_DSM_1552,Collinsella_intestinalis_DSM_13280,Collinsella_stercoris_DSM_13279,Cronobacter_sakazakii_ATCC_BAA_894,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_vulgaris_Miyazaki_F,Enterobacter_cancerogenus_ATCC_35316,Enterobacter_sp_638,Enterococcus_faecalis_TX1322,Enterococcus_sp_7L76,Escherichia_fergusonii_UMN026_ATCC_35469,Eubacterium_dolichum_DSM_3991,Finegoldia_magna_ATCC_29328,Fusobacterium_nucleatum_nucleatum_ATCC_25586,Haemophilus_influenzae_NTHi_86_028NP,Haemophilus_parasuis_SH0165,Helicobacter_pullorum_MIT_98_5489,Klebsiella_pneumoniae_342,Lactobacillus_acidophilus_NCFM,Lactobacillus_casei_casei_BL23,Lactobacillus_delbrueckii_bulgaricus_ATCC_11842,Lactobacillus_fermentum_IFO_3956,Lactobacillus_gasseri_ATCC_33323,Lactobacillus_helveticus_DPC_4571,Lactobacillus_hilgardii_ATCC_8290,Lactobacillus_johnsonii_NCC_533,Lactobacillus_paracasei_ATCC_25302,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_sakei_sakei_23K,Lactobacillus_salivarius_HO66_ATCC_11741,Lactobacillus_ultunensis_DSM_16047,Lactococcus_lactis_cremoris_MG1363,Megamonas_hypermegale_ART12_1,Methanobrevibacter_smithii_DSM_2375,Methanosphaera_stadtmanae_DSM_3091,Mitsuokella_multacida_DSM_20544,Pasteurella_multocida_multocida_Pm70,Pediococcus_pentosaceus_ATCC_25745,Porphyromonas_gingivalis_ATCC_33277,Proteus_mirabilis_HI4320,Proteus_penneri_ATCC_35198,Pseudomonas_aeruginosa_LESB58,Salmonella_enterica_sv_Heidelberg_SL476_CVM30485,Staphylococcus_saprophyticus_saprophyticus_ATCC_15305,Streptococcus_gordonii_Challis_CH1,Streptococcus_infantarius_infantarius_ATCC_BAA_102,Streptococcus_mutans_UA159,Streptococcus_pneumoniae_Hungary19A_6,Streptococcus_pyogenes_M4_MGAS10750,Streptococcus_sanguinis_SK36,Streptococcus_suis_05ZYH33,Thermoanaerobacter_sp_X514,Tropheryma_whipplei_Twist
Escherichia_coli_O157_H7_EC4115,1,0.012604783,0.18310306,0.152956379,0.067564997,0.131459565,0.071816459,0.116619765,0.181284302,0.148719503,0.181700407,0.205156113,0.091297976,0.16989905,0.218447469,0.115516883,0.138371688,0.152917549,0.043937372,0.150260729,0.167386074,0.127808798,0.198876318,0.181512388,0.123811352,0.11263284,0.057851139,0.144976565,0.167621021,0.117048422,0.060006943,0.157393685,0.119837309,0.276473414,0.059530565,0.059337416,0.094446042,0.112055566,0.168299137,0.20447074,0.234920365,0.144462614,0.078331932,0.112169865,0.18098305,0.109148119,0.197117947,0.13840214,0.132090329,0.056895315,0.085776566,0.153698693,0.065131219,0.115424034,0.086222972,0.17085036,0.155554547,0.112501974,0.089236924,0.132486279,0.068764891,0.223316652,0.15357488,0.177525494,0.048055175,0.014953061,0.215360571,0.111594442,0.087316261,0.283302206,0.053093264,0.155711289,0.144326496,0.067979923,0.189489127,0.18897844,0.086063939,0.008235913,0.04422995,0.00622776,0.00935002,0.042283521,0.05950009,0.012504818,0.145067775,0.042279479,0.055047238,0.004993549,0.050012058,0.041799841,0.017389136,0.015045936,0.029641008,0.014484313,0.013956537,0.028518507,0.023434867,0.017356575,0.018392374,0.022935316,0.022683183,0.082418619,0.030837641,0.036271921,0.008222448,0.038149777,0.012765606,0.026417291,0.011683907,0.016499814,0.015727882,0.098891734,0.049528518,0.008352531,0.031441267,0.07105749,0.009547023,0.000627339,0.017042992,0.029923901,0.002450993,0.005432594,0.054300919,0.017429975,0.028922904,0.004233846,0.198848257,0.00386172,0.019618975,0.0223044,0.020586714,0.031462711,0.027001919,0.009075816,0.154628207,0.004788346,0.065956265,0.011405717,0.012434347,0.022812359,0.00225105,0.002475902,0.024867523,0.010089935,0.001848249,0.09152816,0.02788541,0.071486408,0.083739638,0.008640645,0.047519717,0.010025173,0.00577134,0.006550151
Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,0.012604783,1,0.012795365,0.009435848,0.00264303,0.060799604,0.003012564,0.007558562,0.013014269,0.013254722,0.015204734,0.022013125,0.007021086,0.01352628,0.015997536,0.015424809,0.008293616,0.045904872,0.007243465,0.007193873,0.010374761,0.010993109,0.010927277,0.012577742,0.007171535,0.003511131,0.001883191,0.007592262,0.010310675,0.006434654,0.034597524,0.013733842,0.042529977,0.04512642,0.134999674,0.004371314,0.008367659,0.004501682,0.055180773,0.015376233,0.022539512,0.018429163,0.114757408,0.024113695,0.061332763,0.004214227,0.025392011,0.004571972,0.007255683,0.104274701,0.006153472,0.006467763,0.00325649,0.077977615,0.004596758,0.005309547,0.010425783,0.007547282,0.00848637,0.006360222,0.089761705,0.030789037,0.009765556,0.009124258,0.002756707,0.003514911,0.030682619,0.007028259,0.001874134,0.014427617,0.003102395,0.017898155,0.004926942,0.004939778,0.030409649,0.03952898,0.142044376,0.08808004,0.149097879,0.191047321,0.204713364,0.207371534,0.102930449,0.244541677,0.031871762,0.2299629,0.136974732,0.127551508,0.172639172,0.150706052,0.088146706,0.152430802,0.198672201,0.147294283,0.148916168,0.215130982,0.210903006,0.113449374,0.221331803,0.080512725,0.133054936,0.076783662,0.259296652,0.248177612,0.149498715,0.034824603,0.202082577,0.065363586,0.124183052,0.178971,0.181370834,0.076548286,0.108600023,0.238129101,0.146797007,0.075653863,0.091403055,0.025440638,0.11960135,0.067901478,0.345939321,0.092995723,0.046224175,0.079171174,0.045406101,0.142083652,0.005410331,0.324160482,0.032086981,0.152728523,0.02157062,0.036995894,0.232390223,0.309100453,0.077154436,0.066581595,0.011290848,0.09196543,0.013424873,0.167083776,0.038633894,0.032671355,0.057672722,0.129909883,0.068225326,0.058208394,0.165894056,0.122161829,0.10517432,0.182026893,0.074763589,0.159716554,0.180482249,0.087266287
Coprococcus_comes_ATCC_27758,0.18310306,0.012795365,1,0.185711811,0.15247042,0.193965979,0.144953748,0.219747823,0.146305407,0.114501056,0.542267512,0.498711928,0.175281176,0.250215854,0.323320074,0.175708992,0.435684759,0.188077468,0.129650241,0.439451938,0.532285224,0.627338786,0.635520182,0.546159079,0.198169904,0.208776652,0.129288497,0.517528814,0.542810788,0.336750347,0.160025941,0.403401773,0.143904434,0.08802795,0.04623944,0.148189805,0.181574372,0.375194373,0.115544008,0.216982957,0.166610784,0.301555135,0.060310317,0.160664257,0.106716412,0.174629787,0.309864627,0.326206871,0.452891641,0.053770819,0.345549108,0.457778496,0.229001508,0.091330974,0.234833061,0.383600254,0.613645819,0.413253382,0.341546835,0.484855906,0.089436793,0.337617815,0.51969121,0.205268428,0.152522872,0.134134268,0.291371598,0.438444386,0.166370794,0.147253345,0.201763675,0.565753413,0.364579676,0.339487878,0.280673019,0.312450336,0.072447448,0.003877753,0.035310092,0.003679886,0.005695739,0.027099804,0.062727962,0.00727243,0.11284035,0.023733321,0.03814853,0.002499658,0.035724908,0.030756499,0.008142908,0.014664095,0.020834069,0.0066723,0.006266508,0.017416716,0.01575018,0.013055189,0.012035986,0.022198544,0.013702751,0.147284344,0.019431818,0.02231026,0.003844673,0.184668869,0.007429443,0.028116877,0.006347571,0.009082258,0.009969269,0.044333312,0.053971288,0.004696343,0.015484129,0.041599354,0.004518975,0.000328475,0.00909533,0.013470136,0.004791296,0.006418821,0.024755369,0.010266962,0.013141596,0.002895748,0.02374643,0.005274242,0.010505563,0.018465907,0.028965869,0.014151084,0.015581711,0.026821155,0.143314342,0.006964562,0.150631547,0.005412286,0.019759344,0.015280065,0.001207318,0.007083997,0.011223481,0.004550491,0.000964616,0.062988404,0.015156349,0.036485273,0.050845056,0.004270249,0.040001584,0.004925818,0.003135448,0.005393656
Akkermansia_muciniphila_ATCC_BAA_835,0.152956379,0.009435848,0.185711811,1,0.165930811,0.080609617,0.158880078,0.194047407,0.035069068,0.055766445,0.126945845,0.112633567,0.186282554,0.087275247,0.047359324,0.141119954,0.162810521,0.067368995,0.026811533,0.195477052,0.17274414,0.161114032,0.179671753,0.136970124,0.100163465,0.128704627,0.149247719,0.16808322,0.145168735,0.253934685,0.058345088,0.242897473,0.091762797,0.028089685,0.023323134,0.181845751,0.098361846,0.11532618,0.038734643,0.074649529,0.042382409,0.159548478,0.023643688,0.059463016,0.03204351,0.085032315,0.090752573,0.189660809,0.247881167,0.020657031,0.130221574,0.193417008,0.217296489,0.042292561,0.135021056,0.233443691,0.13232033,0.158624936,0.138308962,0.181964943,0.085768687,0.158666228,0.132017756,0.153723176,0.142420299,0.050994259,0.089789978,0.129665959,0.168703374,0.06126985,0.102407464,0.19619511,0.268594673,0.133389106,0.05538776,0.095878712,0.024511234,0.0018538,0.010803192,0.00280701,0.004097593,0.010903442,0.022103143,0.004723617,0.027180014,0.012049594,0.012755366,0.001980892,0.016913589,0.0160916,0.003938903,0.011769483,0.010937498,0.00395238,0.003190924,0.009990752,0.009089201,0.00759638,0.007484333,0.005444314,0.009685403,0.061287233,0.01138792,0.012668711,0.00254362,0.035217914,0.004725561,0.005332428,0.002988561,0.005945807,0.005452083,0.023426238,0.015618116,0.003455502,0.004924245,0.009042477,0.00206992,0.000276644,0.003369529,0.001367988,0.003961829,0.00196921,0.001589129,0.004275154,0.001206823,0.001680571,0.000582044,0.004204536,0.000549352,0.004422981,0.008150887,0.000808616,0.007529423,0.017421927,0.065449585,0.001127277,0.124918607,0.002309704,0.00136815,0.007812208,0.001016811,0.005966191,0.009452493,0.003027815,0.000812406,0.010046912,0.005846283,0.006708756,0.012207821,0.002387089,0.006678919,0.002466166,0.002357325,0.004214186
Alistipes_putredinis_DSM_17216,0.067564997,0.00264303,0.15247042,0.165930811,1,0.040179723,0.350012892,0.205950969,0.081514851,0.110396298,0.125757328,0.103105595,0.34756473,0.135758533,0.057501194,0.066418358,0.190198676,0.038122493,0.148927286,0.293668256,0.155069189,0.17212254,0.178555535,0.136266758,0.211792248,0.383037794,0.547436107,0.246719288,0.175803115,0.275985174,0.04686895,0.137827083,0.046109325,0.017767258,0.009551289,0.261606816,0.083679718,0.264575337,0.024480242,0.060017568,0.048758283,0.122602993,0.01245779,0.081647008,0.021530753,0.214989998,0.063310007,0.340121339,0.239372898,0.011797319,0.163643777,0.247038377,0.370203013,0.018865464,0.148050584,0.311492494,0.177991643,0.265224648,0.152658205,0.257682956,0.02875821,0.075697367,0.20525282,0.097190612,0.486223063,0.149926769,0.062485702,0.247527329,0.423460377,0.097475274,0.220811738,0.116687454,0.328734158,0.319323715,0.05135735,0.060440046,0.01435893,0.000800995,0.004967469,0.000760123,0.001176521,0.005597776,0.012090177,0.001502204,0.02602035,0.004902391,0.007666144,0.000516333,0.007379391,0.006353109,0.001682011,0.003029038,0.004303517,0.00137824,0.001294419,0.003597623,0.003253381,0.0026967,0.002486171,0.008199769,0.002830461,0.024544524,0.004013866,0.004608441,0.000794161,0.048340596,0.001534637,0.005807865,0.001311164,0.001876045,0.002059267,0.009157556,0.01080003,0.000970084,0.003198425,0.008592826,0.000933446,6.79E-05,0.001878745,0.002782412,0.000989697,0.001325881,0.005113507,0.002120759,0.002714548,0.00059815,0.003925806,0.001089455,0.001722807,0.002808463,0.003300886,0.002923069,0.003218582,0.005540218,0.02747496,0.00143861,0.07833076,0.00111797,0.001305018,0.003156273,0.000249385,0.001463281,0.002318339,0.000939956,0.000199253,0.01015568,0.003130718,0.006623299,0.009726415,0.000882069,0.005379849,0.001017484,0.000647663,0.001114122
Anaerotruncus_colihominis_DSM_17241,0.131459565,0.060799604,0.193965979,0.080609617,0.040179723,1,0.042881164,0.090667146,0.126489383,0.129926414,0.198885136,0.283469153,0.082838887,0.148072383,0.25242831,0.173552023,0.128486968,0.490577065,0.073447835,0.0998563,0.146676633,0.162531705,0.169596613,0.190182162,0.081613467,0.053734412,0.028380566,0.118835054,0.159268634,0.071929608,0.169003036,0.152137639,0.191623832,0.258230292,0.219715473,0.052707559,0.060296104,0.075711396,0.418068047,0.159011249,0.238508117,0.2258076,0.269584841,0.306864304,0.348846129,0.066239767,0.388975394,0.0751974,0.11278432,0.218990336,0.095565522,0.106378375,0.05094342,0.39966009,0.045516439,0.087328649,0.142325336,0.118629162,0.120889424,0.102137653,0.389176553,0.465409105,0.136755388,0.161778898,0.03651321,0.039284142,0.44948153,0.112432545,0.037305027,0.188150232,0.055531504,0.281858933,0.07950247,0.080419306,0.256829036,0.458399359,0.325736051,0.018425881,0.116283578,0.017485677,0.027064386,0.128769859,0.149295926,0.034556329,0.09556886,0.112773377,0.154606191,0.011877598,0.169753678,0.146145341,0.030597284,0.053004928,0.098997032,0.031704701,0.029776504,0.082758829,0.07483997,0.044770334,0.057191271,0.072878342,0.065111223,0.309047366,0.092333972,0.106011432,0.018268692,0.125843597,0.03530241,0.071047749,0.03016169,0.043156074,0.047370874,0.121148022,0.167755359,0.022315566,0.071110428,0.127079078,0.021472765,0.001560814,0.043218184,0.044775921,0.022766754,0.030202851,0.064225793,0.048785416,0.046676504,0.013759696,0.026932994,0.025061561,0.046614881,0.07065558,0.05121966,0.041817615,0.073139755,0.074545101,0.191269437,0.018700058,0.049540217,0.025614001,0.027352864,0.072606131,0.0057368,0.017685555,0.053330501,0.021622523,0.004583557,0.168611321,0.072018268,0.094689537,0.209022763,0.0202909,0.112947964,0.023405958,0.014898677,0.025628982
Bacteroides_caccae_ATCC_43185,0.071816459,0.003012564,0.144953748,0.158880078,0.350012892,0.042881164,1,0.166219705,0.062244866,0.060980138,0.143880711,0.104250713,0.308878212,0.133951881,0.069183473,0.036063397,0.200610076,0.040842471,0.11556998,0.221313365,0.195992513,0.193352931,0.200009284,0.156399599,0.178425691,0.266079186,0.410915199,0.248146833,0.179550554,0.204601153,0.057375977,0.119535989,0.048569196,0.016016125,0.010675851,0.169272435,0.025989691,0.275811911,0.033201319,0.074083819,0.041265357,0.096171968,0.013984402,0.085612292,0.020258921,0.163025278,0.066278593,0.328514764,0.237101742,0.013426457,0.139240523,0.234440506,0.313830083,0.019781992,0.146799255,0.275140573,0.14930056,0.176563076,0.209798106,0.250735576,0.033342762,0.07982401,0.180659594,0.110201494,0.321725429,0.215651524,0.068328202,0.243725429,0.241352534,0.103811132,0.358773614,0.131821498,0.289007357,0.299231072,0.043888198,0.062589321,0.015677786,0.000912985,0.005206316,0.000866399,0.001341015,0.006058756,0.013544357,0.001712234,0.010542043,0.005587816,0.008241749,0.000588524,0.008351296,0.007152085,0.001917181,0.003452541,0.0048479,0.001570939,0.001475398,0.004100623,0.003708251,0.003073738,0.002833774,0.009346216,0.003226201,0.036151662,0.004575063,0.005252768,0.000905197,0.029012524,0.001749202,0.005012022,0.001494484,0.002131612,0.002347183,0.008597542,0.012245695,0.001105716,0.003645612,0.009322115,0.001063956,7.73E-05,0.002141421,0.0011499,0.001128072,0.000941782,0.001920425,0.002002653,0.001238106,0.00068178,0.000908441,0.001241777,0.001602725,0.002839629,0.003398866,0.001013023,0.003020535,0.006314821,0.024490698,0.001639749,0.053491671,0.001274279,0.001129954,0.003597566,0.000284253,0.001667869,0.002642477,0.001071376,0.000227111,0.008192156,0.003568438,0.003903543,0.00865644,0.001005395,0.005540104,0.001159743,0.000738216,0.001269892
Bacteroides_cellulosilyticus_DSM_14838,0.116619765,0.007558562,0.219747823,0.194047407,0.205950969,0.090667146,0.166219705,1,0.067697546,0.048613568,0.167528482,0.135783237,0.124329567,0.081637307,0.150682358,0.196913839,0.253465541,0.068896264,0.082074615,0.24002874,0.20498082,0.162247848,0.220288562,0.199467137,0.085013298,0.383440672,0.177904377,0.19931941,0.184107328,0.275977892,0.052539086,0.296358747,0.071004462,0.048295558,0.024902169,0.153210637,0.056717758,0.216249242,0.052024,0.087038133,0.144098014,0.207592888,0.029136508,0.065103561,0.053410384,0.157118457,0.117914038,0.360736804,0.311254423,0.027166496,0.111048059,0.250003662,0.247166754,0.042464516,0.166333499,0.273541243,0.177541439,0.250003382,0.258092845,0.244908572,0.070117578,0.146607245,0.242716411,0.264468636,0.199303611,0.058395211,0.103107285,0.206456671,0.261303938,0.071376088,0.313815321,0.180132967,0.324056209,0.249355534,0.129096554,0.099431572,0.03533827,0.002314677,0.021630852,0.002271979,0.003516577,0.016561616,0.021905622,0.004490033,0.081631068,0.014359931,0.019357154,0.001543301,0.020631761,0.01758274,0.003653218,0.008329424,0.012699119,0.004119511,0.00386224,0.010407135,0.009492571,0.006173067,0.007349054,0.011211599,0.008363624,0.068364644,0.011253524,0.012965773,0.00237372,0.052849627,0.004586975,0.016453825,0.003822103,0.005526834,0.006120254,0.019404287,0.024653435,0.002899545,0.008795413,0.013294251,0.002648546,0.000202802,0.004858512,0.008316528,0.00295817,0.003963011,0.015284085,0.005521087,0.008113685,0.001787849,0.016164226,0.003256343,0.006486186,0.011214482,0.057038832,0.008736948,0.007085019,0.0165481,0.06232374,0.003965933,0.055786163,0.003122541,0.053725362,0.009091665,0.000745404,0.001303297,0.005383478,0.002809495,0.000595559,0.045047157,0.008983843,0.022083872,0.027460097,0.002593219,0.037095011,0.002990394,0.001935841,0.002519595
Bacteroides_coprocola_M16_DSM_17136,0.181284302,0.013014269,0.146305407,0.035069068,0.081514851,0.126489383,0.062244866,0.067697546,1,0.090499714,0.137721469,0.168353265,0.172549976,0.11703527,0.125385966,0.140966007,0.146409207,0.136568095,0.104627281,0.184555387,0.140444453,0.132179555,0.147120484,0.165448809,0.117378737,0.099028204,0.095996387,0.128339402,0.166424595,0.066268756,0.114481356,0.173293512,0.137449932,0.217684278,0.063530337,0.079350694,0.073012388,0.131657307,0.105419733,0.099824662,0.232348487,0.1148235,0.073260669,0.117565011,0.130881776,0.103488072,0.135295054,0.134567415,0.122951589,0.064148167,0.099985691,0.158050899,0.114363756,0.091734668,0.171531111,0.15810336,0.152565544,0.125855357,0.178094557,0.125718321,0.072919921,0.107685814,0.135124336,0.085441944,0.083129337,0.084338122,0.149782114,0.130699196,0.138744198,0.175539652,0.069557562,0.148507578,0.142884514,0.143414696,0.206784444,0.169110195,0.065452956,0.005734082,0.04772673,0.005441493,0.008422361,0.037355461,0.039258831,0.010753832,0.072828018,0.031124769,0.042049687,0.003696275,0.049631398,0.043848914,0.010176501,0.01668208,0.030807597,0.009866414,0.009266364,0.025754314,0.023289988,0.015610347,0.017797762,0.02278825,0.019196042,0.06080047,0.028319382,0.032253167,0.005685165,0.035306872,0.010986011,0.020470631,0.008600066,0.013430049,0.014741683,0.037599292,0.04704238,0.006944541,0.018313803,0.039797356,0.006682264,0.000485721,0.011688831,0.019918459,0.005857704,0.007104197,0.036606073,0.012678272,0.019432642,0.004281979,0.177443294,0.007407721,0.015534707,0.025802189,0.032934826,0.020925384,0.02190488,0.031919694,0.06500354,0.003371181,0.048452186,0.008003215,0.026465325,0.022594823,0.001785276,0.002111293,0.013497884,0.006728868,0.00142639,0.083783747,0.022411882,0.053951228,0.071516223,0.006314471,0.055089623,0.007283868,0.004636426,0.005022551
Bacteroides_coprophilus_DSM_18228,0.148719503,0.013254722,0.114501056,0.055766445,0.110396298,0.129926414,0.060980138,0.048613568,0.090499714,1,0.114958528,0.132421768,0.104914551,0.399321421,0.082227966,0.07632607,0.130396871,0.147266056,0.201635327,0.081550826,0.119575878,0.127181199,0.099467678,0.124926966,0.112602449,0.096175099,0.078560745,0.132750242,0.116427587,0.069474258,0.051954127,0.072081848,0.054199679,0.09737026,0.08176111,0.110551308,0.037850158,0.080414807,0.119057905,0.089379608,0.076811217,0.07918921,0.093093034,0.118713134,0.105291159,0.184092859,0.127379211,0.056085616,0.0628423,0.079606053,0.105929805,0.074110592,0.083154803,0.111454194,0.073198225,0.069512643,0.142626701,0.079917808,0.076771164,0.098069246,0.0857695,0.138126735,0.125416677,0.078467592,0.093610088,0.068243057,0.133501046,0.091611774,0.08408231,0.208162518,0.054368989,0.099580184,0.079584024,0.066987132,0.106016113,0.146153966,0.068602939,0.007255629,0.035492113,0.006885401,0.010657246,0.042553655,0.048041026,0.013607377,0.026669996,0.035417571,0.0509891,0.004677087,0.061961987,0.056644181,0.014982974,0.017079135,0.038982438,0.012484481,0.011725207,0.032588259,0.02947002,0.020238971,0.022520424,0.029261558,0.025105017,0.072874705,0.036358699,0.041744525,0.007193732,0.147781024,0.013901164,0.026057055,0.011175918,0.016993732,0.018653409,0.05249375,0.060269045,0.008787285,0.023448578,0.040070398,0.008455412,0.000614608,0.015080507,0.008426662,0.003655427,0.012010197,0.014331166,0.012964313,0.009127778,0.005418208,0.005606239,0.005606918,0.012298966,0.018554223,0.016660558,0.007339826,0.028401362,0.036463562,0.050066327,0.004549842,0.033857949,0.010016597,0.007979501,0.028590392,0.002259002,0.003500397,0.015372581,0.008514383,0.001804885,0.055442305,0.028358908,0.026653975,0.065726415,0.007990025,0.040880257,0.009216653,0.005866709,0.007193863
