,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaccard Similarity,Escherichia_coli_O157_H7_EC4115,Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,Coprococcus_comes_ATCC_27758,Akkermansia_muciniphila_ATCC_BAA_835,Alistipes_putredinis_DSM_17216,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_5_1_36_D4,Bacteroides_dorei_DSM_17855,Bacteroides_eggerthii_DSM_20697,Bacteroides_finegoldii_DSM_17565,Bacteroides_fragilis_3_1_12,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_ovatus_ATCC_8483,Bacteroides_pectinophilus_ATCC_43243,Bacteroides_plebeius_M12_DSM_17135,Bacteroides_sp_2_1_7,Bacteroides_sp_2_2_4,Bacteroides_sp_4_3_47FAA,Bacteroides_sp_9_1_42FAA,Bacteroides_sp_D1,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_vulgatus_ATCC_8482,Bacteroides_xylanisolvens_XB1A,Bifidobacterium_adolescentis_L2_32,Bifidobacterium_catenulatum_DSM_16992,Bifidobacterium_longum_longum_CCUG_52486,Bifidobacterium_pseudocatenulatum_DSM_20438,Blautia_hansenii_VPI_C7_24_DSM_20583,Bryantella_formatexigens_I_52_DSM_14469,Butyrivibrio_crossotus_DSM_2876,Catenibacterium_mitsuokai_DSM_15897,Clostridiales_sp_SS3_4,Clostridium_asparagiforme_DSM_15981,Clostridium_bartlettii_DSM_16795,Clostridium_bolteae_ATCC_BAA_613,Clostridium_leptum_DSM_753,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_nexile_DSM_1787,Clostridium_scindens_ATCC_35704,Clostridium_sp_L2_50,Clostridium_sp_M62_1,Clostridium_sp_SS2_1,Collinsella_aerofaciens_ATCC_25986,Coprobacillus_sp_D7,Coprococcus_eutactus_ATCC_27759,Dorea_formicigenerans_ATCC_27755,Dorea_longicatena_DSM_13814,Enterococcus_faecalis_TX0104,Eubacterium_biforme_DSM_3989,Eubacterium_hallii_DSM_3353,Eubacterium_rectale_M104_1,Eubacterium_siraeum_70_3,Eubacterium_ventriosum_ATCC_27560,Faecalibacterium_prausnitzii_SL3_3,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,Holdemania_filiformis_VPI_J1_31B_1_DSM_12042,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_merdae_ATCC_43184,Prevotella_copri_CB7_DSM_18205,Pseudoflavonifractor_capillosus_ATCC_29799,Roseburia_intestinalis_M50_1,Ruminococcus_bromii_L2_63,Ruminococcus_gnavus_ATCC_29149,Ruminococcus_lactaris_ATCC_29176,Ruminococcus_obeum_A2_162,Ruminococcus_sp_SR1_5,Ruminococcus_torques_L2_14,Streptococcus_thermophilus_LMD_9,Subdoligranulum_variabile_DSM_15176,Clostridium_symbiosum_WAL_14163,Actinobacillus_pleuropneumoniae_sv_7_AP76,Actinomyces_odontolyticus_ATCC_17982,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Bifidobacterium_angulatum_DSM_20098,Bifidobacterium_animalis_lactis_AD011,Bifidobacterium_bifidum_NCIMB_41171,Bifidobacterium_breve_DSM_20213,Bifidobacterium_dentium_ATCC_27678,Bifidobacterium_gallicum_DSM_20093,Blautia_hydrogenotrophica_DSM_10507,Butyrivibrio_fibrisolvens_16_4,Campylobacter_concisus_13826,Campylobacter_hominis_ATCC_BAA_381,Candidatus_Sulcia_muelleri_GWSS,Citrobacter_koseri_ATCC_BAA_895,Citrobacter_sp_30_2,Clostridium_difficile_630,Clostridium_hylemonae_DSM_15053,Clostridium_perfringens_ATCC_13124,Clostridium_phytofermentans_ISDg,Clostridium_ramosum_VPI_0427_DSM_1402,Clostridium_sp_7_2_43FAA,Clostridium_spiroforme_DSM_1552,Collinsella_intestinalis_DSM_13280,Collinsella_stercoris_DSM_13279,Cronobacter_sakazakii_ATCC_BAA_894,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_vulgaris_Miyazaki_F,Enterobacter_cancerogenus_ATCC_35316,Enterobacter_sp_638,Enterococcus_faecalis_TX1322,Enterococcus_sp_7L76,Escherichia_fergusonii_UMN026_ATCC_35469,Eubacterium_dolichum_DSM_3991,Finegoldia_magna_ATCC_29328,Fusobacterium_nucleatum_nucleatum_ATCC_25586,Haemophilus_influenzae_NTHi_86_028NP,Haemophilus_parasuis_SH0165,Helicobacter_pullorum_MIT_98_5489,Klebsiella_pneumoniae_342,Lactobacillus_acidophilus_NCFM,Lactobacillus_casei_casei_BL23,Lactobacillus_delbrueckii_bulgaricus_ATCC_11842,Lactobacillus_fermentum_IFO_3956,Lactobacillus_gasseri_ATCC_33323,Lactobacillus_helveticus_DPC_4571,Lactobacillus_hilgardii_ATCC_8290,Lactobacillus_johnsonii_NCC_533,Lactobacillus_paracasei_ATCC_25302,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_sakei_sakei_23K,Lactobacillus_salivarius_HO66_ATCC_11741,Lactobacillus_ultunensis_DSM_16047,Lactococcus_lactis_cremoris_MG1363,Megamonas_hypermegale_ART12_1,Methanobrevibacter_smithii_DSM_2375,Methanosphaera_stadtmanae_DSM_3091,Mitsuokella_multacida_DSM_20544,Pasteurella_multocida_multocida_Pm70,Pediococcus_pentosaceus_ATCC_25745,Porphyromonas_gingivalis_ATCC_33277,Proteus_mirabilis_HI4320,Proteus_penneri_ATCC_35198,Pseudomonas_aeruginosa_LESB58,Salmonella_enterica_sv_Heidelberg_SL476_CVM30485,Staphylococcus_saprophyticus_saprophyticus_ATCC_15305,Streptococcus_gordonii_Challis_CH1,Streptococcus_infantarius_infantarius_ATCC_BAA_102,Streptococcus_mutans_UA159,Streptococcus_pneumoniae_Hungary19A_6,Streptococcus_pyogenes_M4_MGAS10750,Streptococcus_sanguinis_SK36,Streptococcus_suis_05ZYH33,Thermoanaerobacter_sp_X514,Tropheryma_whipplei_Twist
Escherichia_coli_O157_H7_EC4115,1,0.009693971,0.230886658,0.078987494,0.087546112,0.155029769,0.081082143,0.17453226,0.074989832,0.122345724,0.231220587,0.239393576,0.186279054,0.115818835,0.293741116,0.118227465,0.219286903,0.047075573,0.105434746,0.144478613,0.262971186,0.18759973,0.219106247,0.255590516,0.102607366,0.142484212,0.048633337,0.209004689,0.291346143,0.06203034,0.087963496,0.131742172,0.085038009,0.16712016,0.039519449,0.099760484,0.048255056,0.11735763,0.119475154,0.191611412,0.307549947,0.192853973,0.088052133,0.434246428,0.090142465,0.046518418,0.158339839,0.096802552,0.154526318,0.173795616,0.036945811,0.144159614,0.117969616,0.086757811,0.115543028,0.084807915,0.219355679,0.20293895,0.181069631,0.151490323,0.135234825,0.169548891,0.214679206,0.197345197,0.125041977,0.080419492,0.297710249,0.187249793,0.085115412,0.230670548,0.181806926,0.239461696,0.131380312,0.147644367,0.207429371,0.154296953,0.258396337,0.003573039,0.029172311,0.006710905,0.005641591,0.1246376,0.04024207,0.100118752,0.084545239,0.104693594,0.032872338,0.009138821,0.166433756,0.021296249,0.005551219,0.003833307,0.018453658,0.019366128,0.020611106,0.023025726,0.013772159,0.014952704,0.00928816,0.222681078,0.010654666,0.065776224,0.034974572,0.036139908,0.006954075,0.111768436,0.007444011,0.010163776,0.00686642,0.024971292,0.019163558,0.08197385,0.085099045,0.008139977,0.101339732,0.023955659,0.004113188,0.029007401,0.017181363,0.011190676,0.054368143,0.117266562,0.008804462,0.014780897,0.016885279,0.002590758,0.007939983,0.00647157,0.004151711,0.014950258,0.002331222,0.01962854,0.037173212,0.082803175,0.066885009,0.009886089,0.047385813,0.005263658,0.001684129,0.013565842,0.060952055,0.003494911,0.000941824,0.013228267,0.000682466,0.050208346,0.042458551,0.014228972,0.090942804,0.008749254,0.033996655,0.010018751,0.007843196,0.001694856
Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,0.009693971,1,0.009575755,0.002499222,0.002197953,0.026337024,0.002953421,0.007935974,0.003036051,0.01839441,0.010057738,0.011900472,0.004525138,0.009108395,0.011004442,0.070340473,0.00414512,0.009410412,0.005346188,0.004844802,0.007853642,0.007396196,0.005288684,0.012908445,0.003239396,0.002116497,0.001262406,0.005697106,0.011013368,0.002655411,0.01375966,0.003901627,0.019289207,0.012119103,0.188825102,0.057808109,0.006445457,0.003926004,0.059333787,0.018499674,0.005189772,0.007993826,0.09953445,0.015593552,0.065554728,0.005973034,0.009892624,0.002752472,0.004174469,0.058372252,0.015119991,0.003581294,0.002268348,0.087258703,0.008723015,0.00286145,0.010842616,0.007449931,0.011645696,0.004554611,0.02643636,0.025443695,0.008171526,0.008813894,0.002267978,0.004878789,0.023289309,0.006763621,0.003125847,0.004841412,0.005449479,0.009971238,0.003884093,0.004682256,0.006878294,0.03061376,0.005192726,0.078834957,0.199926325,0.113086052,0.197372502,0.027846465,0.146263721,0.010313013,0.003000861,0.069616013,0.020272033,0.19551057,0.030611551,0.232259947,0.07633143,0.158462575,0.248634206,0.060689324,0.057213131,0.259959489,0.241743167,0.070142309,0.217260982,0.022172731,0.222687336,0.047384145,0.162086334,0.03747436,0.054659432,0.009760808,0.174083002,0.017762487,0.029933554,0.145229049,0.335639612,0.059670514,0.036395223,0.143282418,0.018921641,0.088284515,0.092333586,0.000853729,0.065942324,0.001321797,0.021880056,0.056909286,0.037683472,0.036364393,0.03588227,0.095751765,0.081138359,0.129267121,0.05614842,0.072256146,0.0095449,0.022102969,0.118980356,0.005760811,0.016776869,0.006791375,0.022910112,0.111976508,0.056070031,0.14264369,0.032444389,0.052427046,0.064562356,0.060298676,0.051315558,0.044156174,0.033253385,0.046669824,0.049061576,0.122802049,0.120860461,0.114287791,0.150953908,0.114035223
Coprococcus_comes_ATCC_27758,0.230886658,0.009575755,1,0.065982995,0.157160497,0.282546904,0.163793597,0.138233301,0.152622724,0.175852255,0.538705874,0.523588824,0.241731134,0.257532948,0.264394908,0.107544742,0.24306475,0.110961033,0.194434771,0.354602047,0.430334645,0.555904783,0.403598443,0.457137308,0.146617808,0.116892937,0.117953988,0.537904217,0.49271601,0.230747081,0.190001192,0.305803471,0.296221994,0.095341567,0.04434383,0.165647256,0.230729108,0.326860915,0.137455196,0.341131453,0.158832725,0.164072753,0.090976133,0.190251939,0.127067961,0.167584288,0.262325959,0.237898771,0.408371354,0.076209963,0.09135303,0.356448189,0.205459942,0.109739824,0.274975418,0.247430472,0.624758467,0.422500343,0.323733071,0.463062024,0.172947791,0.313319252,0.514907156,0.189629371,0.157199533,0.196157595,0.342537505,0.45806402,0.173305635,0.120384976,0.117886846,0.492860432,0.351512401,0.340065316,0.28825284,0.308036436,0.082063995,0.002852769,0.03187142,0.005289935,0.004974041,0.10753207,0.052331272,0.194667995,0.199968076,0.106919937,0.036732716,0.00817663,0.245819651,0.02334242,0.004309226,0.002982402,0.017187918,0.02928825,0.01584487,0.022582979,0.012533051,0.023118528,0.008185581,0.051573475,0.01126427,0.075665871,0.023349612,0.02433651,0.008097834,0.176552183,0.006718402,0.039681384,0.018937121,0.019775631,0.017985904,0.055646389,0.102928907,0.006398991,0.056965278,0.055922208,0.003309268,0.074012779,0.015989782,0.044252785,0.049898441,0.089965134,0.030204271,0.046506518,0.012854038,0.006027534,0.010495025,0.005082355,0.00316242,0.077571186,0.027606584,0.017267979,0.027843052,0.031086504,0.184360838,0.007509042,0.241532669,0.004173491,0.001307216,0.010718467,0.045701793,0.002654582,0.000727163,0.010349869,0.000528237,0.127288247,0.0831122,0.075428902,0.115062975,0.007477947,0.054898699,0.009088247,0.006366063,0.001344715
Akkermansia_muciniphila_ATCC_BAA_835,0.078987494,0.002499222,0.065982995,1,0.019430927,0.064677713,0.072505896,0.116256228,0.079694703,0.047280415,0.05425232,0.051847965,0.027528116,0.035781311,0.063067905,0.032605682,0.054540482,0.235347427,0.04534813,0.049384181,0.072474816,0.060444462,0.055503086,0.059781401,0.12002529,0.106254184,0.105313148,0.070478724,0.060046286,0.008170478,0.007201796,0.142479658,0.033692082,0.009740713,0.012568868,0.032326203,0.023600984,0.037881926,0.024907236,0.044807329,0.025824511,0.019144865,0.019036358,0.024244361,0.01715459,0.192728358,0.025132855,0.096500293,0.115900085,0.011175789,0.033198924,0.098513515,0.119652016,0.025788367,0.004513114,0.107323275,0.047740581,0.075250851,0.110952561,0.109513837,0.061171124,0.032290621,0.045862964,0.051128366,0.147563245,0.011999642,0.053205114,0.04737138,0.09383742,0.024775676,0.22983643,0.174074723,0.06306544,0.083275375,0.044834699,0.052845455,0.023319415,0.001862635,0.008601499,0.003137487,0.004015385,0.007201797,0.006511823,0.005706982,0.015488571,0.012423851,0.007363034,0.003195124,0.08604201,0.00818186,0.002504441,0.00163704,0.007930607,0.003295354,0.004088673,0.008660429,0.005903899,0.005528059,0.004883158,0.004215485,0.00467845,0.010197129,0.006734646,0.006973608,0.001715253,0.134631668,0.004783971,0.002782179,0.001640446,0.006323759,0.006403323,0.013247422,0.008781082,0.002929393,0.076532186,0.025704319,0.002045096,0.000388841,0.002905123,0.000518912,0.001080165,0.047747275,0.004345552,0.006553714,0.001496384,0.005450595,0.002097513,0.001466898,0.0015895,0.004710255,0.006682146,0.00124204,0.003249639,0.002613047,0.041024808,0.000225661,0.003442445,0.002298667,0.001113329,0.005734387,0.002401218,0.000853896,0.000731119,0.002819061,0.000531111,0.011983887,0.006859466,0.010786661,0.01290397,0.003463027,0.012992521,0.004211308,0.00241236,0.001237562
Alistipes_putredinis_DSM_17216,0.087546112,0.002197953,0.157160497,0.019430927,1,0.064087654,0.388906124,0.176186396,0.343927558,0.035009593,0.170853656,0.143636396,0.266401259,0.233349993,0.08163629,0.0271081,0.315213869,0.036971942,0.301809709,0.202048758,0.157946357,0.215393308,0.269460092,0.132439729,0.33702329,0.418458186,0.391403153,0.24536102,0.156164956,0.220386248,0.107560849,0.163331636,0.068456029,0.106763962,0.010178377,0.037696454,0.1479357,0.212069437,0.036497402,0.077192959,0.151844665,0.087699647,0.021541362,0.070466615,0.031652121,0.151814644,0.071164286,0.231584438,0.204413163,0.022712872,0.027034606,0.188359876,0.293023622,0.025048461,0.15492739,0.2445456,0.14799405,0.210195428,0.091787132,0.20912951,0.070097469,0.074641724,0.192397813,0.235644979,0.375337094,0.14922776,0.077858166,0.181662534,0.308678327,0.138321122,0.083126108,0.122598815,0.24879587,0.217694447,0.184185931,0.065902981,0.160929234,0.000654805,0.007315546,0.001214215,0.001141707,0.020492705,0.011849381,0.102070101,0.124159624,0.021410228,0.084381025,0.001876807,0.045860712,0.005357858,0.00098911,0.00068456,0.003945196,0.006722623,0.003636922,0.005183541,0.00287675,0.005306468,0.001878862,0.015610809,0.002585523,0.018626469,0.007148906,0.038180173,0.001858721,0.072849916,0.001542096,0.013067963,0.004346696,0.004539162,0.00412836,0.013331143,0.013472503,0.00146878,0.00569398,0.012835998,0.000759587,0.012887342,0.003670184,0.051617387,0.003342872,0.009882478,0.00693288,0.026530924,0.002950427,0.001383519,0.002408956,0.001166569,0.00072588,0.017805155,0.006873464,0.003963573,0.003531441,0.081559892,0.041058383,0.001723574,0.051557267,0.000957954,0.000300049,0.002460243,0.010626584,0.000609314,0.000166908,0.002375638,0.000121248,0.031605495,0.010927616,0.01731343,0.035918564,0.001716437,0.012601069,0.002086054,0.001461222,0.000308657
Anaerotruncus_colihominis_DSM_17241,0.155029769,0.026337024,0.282546904,0.064677713,0.064087654,1,0.067016785,0.054421442,0.050062474,0.180070394,0.298594463,0.341737486,0.080624918,0.161501374,0.23450335,0.191247548,0.145116733,0.14092993,0.086396125,0.165609766,0.294583467,0.215409192,0.18715447,0.381211804,0.070488333,0.068652267,0.047509817,0.188806822,0.357565952,0.073257553,0.188906613,0.122119009,0.160523121,0.078314557,0.120283001,0.283035717,0.060683172,0.117183552,0.386309164,0.18515486,0.099653795,0.128751061,0.239789662,0.205378979,0.222156644,0.064332345,0.201296434,0.091803173,0.14390764,0.134310567,0.14151685,0.129563512,0.079583129,0.286517777,0.059996035,0.095700175,0.313937483,0.193366454,0.210989336,0.162276773,0.363666969,0.38623448,0.218038956,0.105773297,0.058290125,0.069815566,0.365996528,0.225605518,0.091814995,0.083510244,0.122691398,0.275552315,0.138264927,0.16035348,0.173290771,0.437526487,0.079237156,0.007846216,0.087447642,0.014549365,0.013680533,0.092737598,0.13387266,0.140826123,0.085351802,0.148120776,0.102645872,0.02248889,0.30527717,0.064200672,0.011852037,0.008202757,0.047273415,0.040059596,0.027338968,0.061343062,0.03447073,0.036610686,0.02251351,0.073867437,0.030981094,0.1949144,0.085661952,0.101883977,0.017721362,0.215309581,0.0184782,0.023078806,0.017230987,0.0396655,0.04882398,0.106136111,0.108915568,0.017599696,0.119405747,0.107469139,0.009101766,0.017067417,0.025132743,0.12314365,0.020358256,0.149685787,0.02515325,0.045715958,0.021855337,0.016578047,0.019726686,0.01397844,0.008697875,0.04580982,0.129287183,0.027382438,0.03190946,0.023732198,0.08530899,0.020652765,0.045149319,0.011478712,0.003595348,0.029479923,0.065830136,0.007170735,0.00199998,0.025770281,0.001452856,0.214603275,0.077183511,0.057378479,0.152510489,0.01909499,0.117098431,0.022694305,0.017509133,0.003698485
Bacteroides_caccae_ATCC_43185,0.081082143,0.002953421,0.163793597,0.072505896,0.388906124,0.067016785,1,0.179315009,0.221937787,0.081790078,0.172392734,0.15644455,0.260582211,0.21543605,0.141000955,0.035620928,0.354382367,0.101360723,0.211441358,0.202496924,0.230595215,0.218730446,0.269021406,0.175966726,0.286453344,0.298902849,0.398765191,0.240877872,0.19048949,0.231385151,0.117503606,0.147258613,0.111722114,0.101659022,0.013189227,0.044729329,0.149741683,0.191570713,0.045804356,0.0879686,0.128431647,0.165706693,0.028482747,0.058591959,0.035559755,0.101819773,0.066839719,0.176715321,0.249297138,0.028244289,0.03008693,0.205154191,0.238646546,0.03234617,0.124589706,0.236876439,0.138056963,0.259174594,0.142526923,0.294647147,0.081954585,0.090493324,0.204867455,0.13753881,0.393203093,0.232581924,0.085653215,0.149475046,0.296916886,0.115985228,0.143767608,0.188042678,0.282941511,0.210400318,0.161446219,0.069274103,0.044979511,0.000879871,0.009830004,0.001631558,0.001534128,0.039778162,0.014106388,0.128071214,0.141965619,0.017517479,0.111273138,0.002521893,0.031781546,0.007199431,0.001329081,0.000919853,0.005301217,0.009033285,0.004886984,0.006965199,0.00386553,0.007130377,0.002524654,0.020760285,0.003474204,0.012141261,0.009606088,0.051303246,0.00249759,0.04363073,0.002072136,0.017559609,0.005840718,0.006099337,0.005547337,0.018059795,0.058425141,0.001973621,0.003440849,0.014753078,0.001020667,0.057427309,0.004931679,0.067634738,0.015390023,0.015466763,0.00931581,0.034889099,0.001948734,0.001223506,0.003236948,0.001567535,0.000975375,0.009950575,0.001334276,0.002593126,0.008911969,0.109593196,0.041634877,0.002315991,0.031085636,0.001287217,0.00040318,0.003305864,0.013591917,0.000818745,0.000224277,0.003192178,0.000162923,0.034114905,0.046901013,0.012938864,0.034546941,0.0023064,0.013398521,0.00280306,0.001963465,0.000414746
Bacteroides_cellulosilyticus_DSM_14838,0.17453226,0.007935974,0.138233301,0.116256228,0.176186396,0.054421442,0.179315009,1,0.069284629,0.044361668,0.170571138,0.139797863,0.169919092,0.087460358,0.084268021,0.0955829,0.204774984,0.154387257,0.089775396,0.134616623,0.178231954,0.149698745,0.256578484,0.170001994,0.066606845,0.179662303,0.086985059,0.191409475,0.219862497,0.070030314,0.031614388,0.106316368,0.067898805,0.258411617,0.034071402,0.092489132,0.060208378,0.174823308,0.052536973,0.100150471,0.212115,0.034360058,0.050773642,0.122302838,0.050715768,0.159979699,0.053277822,0.122565763,0.137728719,0.064679429,0.053499527,0.102687,0.174113572,0.056022985,0.164452539,0.092777374,0.182762211,0.205794841,0.1477449,0.176010745,0.044858801,0.097413168,0.186318854,0.379472668,0.117538072,0.148845713,0.105017315,0.164287221,0.089508113,0.155254468,0.109644216,0.16955881,0.120011936,0.108576162,0.243650659,0.097232226,0.174310809,0.002840776,0.023555139,0.005267696,0.00495313,0.054573043,0.02444561,0.063296831,0.029593074,0.028383664,0.018473421,0.008003647,0.055038485,0.021172538,0.00429111,0.002969864,0.016706761,0.027613865,0.015778257,0.020487239,0.01237861,0.020751504,0.008151169,0.044391567,0.010328603,0.017839834,0.019859167,0.020147536,0.008063791,0.07456789,0.006690158,0.056693455,0.018857509,0.019692494,0.015848898,0.034907016,0.028630594,0.006372089,0.005808584,0.033266523,0.003295356,0.003579887,0.01592256,0.002648726,0.002519139,0.011670991,0.029299066,0.104183946,0.00284507,0.002685082,0.010450903,0.00310155,0.003149125,0.011417233,0.002861287,0.00380269,0.016263298,0.14454415,0.077039869,0.003599909,0.092626263,0.004155946,0.00130172,0.010673406,0.037804072,0.002643422,0.000724106,0.010306358,0.000526016,0.078740691,0.021944721,0.021331243,0.108648851,0.007441554,0.034189853,0.008401462,0.00566206,0.001339062
Bacteroides_coprocola_M16_DSM_17136,0.074989832,0.003036051,0.152622724,0.079694703,0.343927558,0.050062474,0.221937787,0.069284629,1,0.124967414,0.161473959,0.131195961,0.16482166,0.147487803,0.034725232,0.024773899,0.206302875,0.029916069,0.346741594,0.205420405,0.098462953,0.231115806,0.206072774,0.082428538,0.417763676,0.244757759,0.320721328,0.23948925,0.091981087,0.375213858,0.120245673,0.32184178,0.073291391,0.027002138,0.013793263,0.037527244,0.166319515,0.255577268,0.028657475,0.091244871,0.074429002,0.063780897,0.026554655,0.040945845,0.035562403,0.163554578,0.12977668,0.372521822,0.237521296,0.020255804,0.021758143,0.294601851,0.226952017,0.028797772,0.160163774,0.27376586,0.131744355,0.211201774,0.121619307,0.249215132,0.037356247,0.071032469,0.153606549,0.137863605,0.217480948,0.214127771,0.064783809,0.172363641,0.261489503,0.091205167,0.064613302,0.136738895,0.14837628,0.284463904,0.146773271,0.058006517,0.016497851,0.000904488,0.010069617,0.001677206,0.00157705,0.013761644,0.015016548,0.009074783,0.217602122,0.018542439,0.012964036,0.00259245,0.071440209,0.007400856,0.001366266,0.000945589,0.005449534,0.009286018,0.003798577,0.007160071,0.00397368,0.00732987,0.002595288,0.011716797,0.003571405,0.011163968,0.006898451,0.007818725,0.002567468,0.04924872,0.00213011,0.018050891,0.00600413,0.005233724,0.00570254,0.014480907,0.024386284,0.002028839,0.024646958,0.013387561,0.001049224,0.073441175,0.004091845,0.00290282,0.000804437,0.017852331,0.009576448,0.0350181,0.00250323,0.001517304,0.003327511,0.000965511,0.001002664,0.023887356,0.001620402,0.003165525,0.00801379,0.00814734,0.042980236,0.002380787,0.050303667,0.001323231,0.000414461,0.003398355,0.011703931,0.000841651,0.000230552,0.003281489,0.000167481,0.02961398,0.00990659,0.02297177,0.029231967,0.002370929,0.01216014,0.002881484,0.002018399,0.00042635
Bacteroides_coprophilus_DSM_18228,0.122345724,0.01839441,0.175852255,0.047280415,0.035009593,0.180070394,0.081790078,0.044361668,0.124967414,1,0.123180344,0.122831341,0.085014684,0.070608185,0.078486135,0.125279151,0.051861798,0.066022278,0.276576754,0.063849295,0.097110296,0.121720846,0.089172802,0.110703322,0.046118666,0.033120102,0.038083564,0.111007046,0.110825044,0.111250808,0.067316758,0.095743879,0.070791115,0.052053463,0.080951492,0.162789202,0.28194623,0.05872668,0.126968973,0.088852383,0.039850317,0.058243813,0.137359646,0.097378014,0.106885701,0.04733065,0.087780182,0.04557122,0.108003551,0.089485187,0.060394467,0.074700315,0.122674093,0.143130928,0.049268312,0.040751549,0.147752398,0.133369328,0.238493148,0.13527054,0.148140807,0.134821351,0.074984671,0.06420578,0.055195174,0.206351687,0.167490722,0.085353554,0.157261794,0.04072981,0.068557222,0.14026487,0.107664156,0.070541062,0.071508344,0.174639458,0.029742441,0.005479986,0.057962202,0.010161626,0.009554813,0.052552867,0.073073347,0.024428355,0.067130684,0.085993875,0.042709203,0.015706781,0.151011124,0.04483929,0.008277747,0.005729002,0.033016887,0.02961906,0.024178654,0.043380451,0.024075185,0.026214742,0.015723976,0.044223469,0.021451939,0.042943599,0.042840606,0.040674456,0.012842343,0.088022594,0.012905618,0.017114381,0.012595436,0.032863014,0.034549767,0.068763028,0.06310505,0.01229205,0.110837457,0.046565586,0.006356892,0.444955279,0.023078462,0.007849985,0.00683554,0.105358286,0.018290925,0.02472942,0.009220182,0.006909851,0.014262505,0.008334615,0.006074805,0.027634541,0.006435495,0.012097822,0.028967408,0.011634942,0.101678071,0.014424387,0.030536092,0.008017008,0.002511077,0.020589486,0.030320001,0.005099281,0.001396834,0.019881433,0.00101471,0.070855609,0.041106937,0.030514637,0.069001401,0.014364657,0.059730576,0.017457939,0.012228798,0.002583111
