,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaccard Similarity,Escherichia_coli_O157_H7_EC4115,Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,Coprococcus_comes_ATCC_27758,Akkermansia_muciniphila_ATCC_BAA_835,Alistipes_putredinis_DSM_17216,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_5_1_36_D4,Bacteroides_dorei_DSM_17855,Bacteroides_eggerthii_DSM_20697,Bacteroides_finegoldii_DSM_17565,Bacteroides_fragilis_3_1_12,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_ovatus_ATCC_8483,Bacteroides_pectinophilus_ATCC_43243,Bacteroides_plebeius_M12_DSM_17135,Bacteroides_sp_2_1_7,Bacteroides_sp_2_2_4,Bacteroides_sp_4_3_47FAA,Bacteroides_sp_9_1_42FAA,Bacteroides_sp_D1,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_vulgatus_ATCC_8482,Bacteroides_xylanisolvens_XB1A,Bifidobacterium_adolescentis_L2_32,Bifidobacterium_catenulatum_DSM_16992,Bifidobacterium_longum_longum_CCUG_52486,Bifidobacterium_pseudocatenulatum_DSM_20438,Blautia_hansenii_VPI_C7_24_DSM_20583,Bryantella_formatexigens_I_52_DSM_14469,Butyrivibrio_crossotus_DSM_2876,Catenibacterium_mitsuokai_DSM_15897,Clostridiales_sp_SS3_4,Clostridium_asparagiforme_DSM_15981,Clostridium_bartlettii_DSM_16795,Clostridium_bolteae_ATCC_BAA_613,Clostridium_leptum_DSM_753,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_nexile_DSM_1787,Clostridium_scindens_ATCC_35704,Clostridium_sp_L2_50,Clostridium_sp_M62_1,Clostridium_sp_SS2_1,Collinsella_aerofaciens_ATCC_25986,Coprobacillus_sp_D7,Coprococcus_eutactus_ATCC_27759,Dorea_formicigenerans_ATCC_27755,Dorea_longicatena_DSM_13814,Enterococcus_faecalis_TX0104,Eubacterium_biforme_DSM_3989,Eubacterium_hallii_DSM_3353,Eubacterium_rectale_M104_1,Eubacterium_siraeum_70_3,Eubacterium_ventriosum_ATCC_27560,Faecalibacterium_prausnitzii_SL3_3,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,Holdemania_filiformis_VPI_J1_31B_1_DSM_12042,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_merdae_ATCC_43184,Prevotella_copri_CB7_DSM_18205,Pseudoflavonifractor_capillosus_ATCC_29799,Roseburia_intestinalis_M50_1,Ruminococcus_bromii_L2_63,Ruminococcus_gnavus_ATCC_29149,Ruminococcus_lactaris_ATCC_29176,Ruminococcus_obeum_A2_162,Ruminococcus_sp_SR1_5,Ruminococcus_torques_L2_14,Streptococcus_thermophilus_LMD_9,Subdoligranulum_variabile_DSM_15176,Clostridium_symbiosum_WAL_14163,Actinobacillus_pleuropneumoniae_sv_7_AP76,Actinomyces_odontolyticus_ATCC_17982,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Bifidobacterium_angulatum_DSM_20098,Bifidobacterium_animalis_lactis_AD011,Bifidobacterium_bifidum_NCIMB_41171,Bifidobacterium_breve_DSM_20213,Bifidobacterium_dentium_ATCC_27678,Bifidobacterium_gallicum_DSM_20093,Blautia_hydrogenotrophica_DSM_10507,Butyrivibrio_fibrisolvens_16_4,Campylobacter_concisus_13826,Campylobacter_hominis_ATCC_BAA_381,Candidatus_Sulcia_muelleri_GWSS,Citrobacter_koseri_ATCC_BAA_895,Citrobacter_sp_30_2,Clostridium_difficile_630,Clostridium_hylemonae_DSM_15053,Clostridium_perfringens_ATCC_13124,Clostridium_phytofermentans_ISDg,Clostridium_ramosum_VPI_0427_DSM_1402,Clostridium_sp_7_2_43FAA,Clostridium_spiroforme_DSM_1552,Collinsella_intestinalis_DSM_13280,Collinsella_stercoris_DSM_13279,Cronobacter_sakazakii_ATCC_BAA_894,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_vulgaris_Miyazaki_F,Enterobacter_cancerogenus_ATCC_35316,Enterobacter_sp_638,Enterococcus_faecalis_TX1322,Enterococcus_sp_7L76,Escherichia_fergusonii_UMN026_ATCC_35469,Eubacterium_dolichum_DSM_3991,Finegoldia_magna_ATCC_29328,Fusobacterium_nucleatum_nucleatum_ATCC_25586,Haemophilus_influenzae_NTHi_86_028NP,Haemophilus_parasuis_SH0165,Helicobacter_pullorum_MIT_98_5489,Klebsiella_pneumoniae_342,Lactobacillus_acidophilus_NCFM,Lactobacillus_casei_casei_BL23,Lactobacillus_delbrueckii_bulgaricus_ATCC_11842,Lactobacillus_fermentum_IFO_3956,Lactobacillus_gasseri_ATCC_33323,Lactobacillus_helveticus_DPC_4571,Lactobacillus_hilgardii_ATCC_8290,Lactobacillus_johnsonii_NCC_533,Lactobacillus_paracasei_ATCC_25302,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_sakei_sakei_23K,Lactobacillus_salivarius_HO66_ATCC_11741,Lactobacillus_ultunensis_DSM_16047,Lactococcus_lactis_cremoris_MG1363,Megamonas_hypermegale_ART12_1,Methanobrevibacter_smithii_DSM_2375,Methanosphaera_stadtmanae_DSM_3091,Mitsuokella_multacida_DSM_20544,Pasteurella_multocida_multocida_Pm70,Pediococcus_pentosaceus_ATCC_25745,Porphyromonas_gingivalis_ATCC_33277,Proteus_mirabilis_HI4320,Proteus_penneri_ATCC_35198,Pseudomonas_aeruginosa_LESB58,Salmonella_enterica_sv_Heidelberg_SL476_CVM30485,Staphylococcus_saprophyticus_saprophyticus_ATCC_15305,Streptococcus_gordonii_Challis_CH1,Streptococcus_infantarius_infantarius_ATCC_BAA_102,Streptococcus_mutans_UA159,Streptococcus_pneumoniae_Hungary19A_6,Streptococcus_pyogenes_M4_MGAS10750,Streptococcus_sanguinis_SK36,Streptococcus_suis_05ZYH33,Thermoanaerobacter_sp_X514,Tropheryma_whipplei_Twist
Escherichia_coli_O157_H7_EC4115,1,0.013672949,0.197934474,0.081354916,0.057721413,0.173409179,0.057833138,0.084716379,0.098077773,0.160241307,0.200439011,0.226182335,0.111915505,0.132797369,0.21490874,0.077101441,0.150327453,0.112641063,0.109056537,0.149242135,0.151478045,0.158814274,0.191746559,0.165932282,0.066441428,0.082618603,0.042597027,0.145447431,0.146319291,0.094017299,0.079392288,0.12926205,0.112307024,0.104428347,0.080993076,0.058038285,0.061531582,0.08945623,0.186000279,0.19143055,0.145739364,0.191336229,0.108475189,0.161611353,0.131005215,0.083334629,0.20567147,0.087799444,0.14240575,0.091050143,0.095453464,0.126513405,0.074921856,0.139549578,0.085033169,0.109929456,0.177120664,0.153496997,0.101181375,0.139105272,0.118607974,0.249202852,0.147788266,0.129531697,0.044566355,0.036960167,0.260953966,0.137105723,0.060173921,0.201898935,0.051060515,0.178905893,0.109536817,0.08816759,0.185686829,0.215719275,0.125120445,0.008467101,0.052285988,0.009330801,0.01686171,0.056387812,0.058958928,0.027470778,0.073286574,0.05403346,0.052576767,0.008891593,0.095139396,0.054706261,0.015411815,0.037121399,0.042151743,0.013515264,0.014723474,0.037517408,0.035136435,0.019205701,0.026637479,0.049924193,0.026415045,0.115944445,0.045931307,0.045479597,0.008436316,0.068555163,0.023263904,0.024793037,0.01053067,0.020914799,0.019734197,0.078248476,0.059015535,0.012946332,0.021054141,0.05588859,0.009655726,0.001090213,0.038716595,0.017418174,0.00180341,0.041055172,0.009155199,0.007906809,0.004809932,0.004310193,0.001957895,0.003415281,0.007943918,0.025438694,0.019025734,0.002752902,0.046581673,0.010858592,0.221828644,0.019665481,0.068176908,0.011109412,0.010154233,0.029745779,0.002152529,0.002615824,0.017637183,0.008773795,0.003127595,0.061788121,0.028672215,0.023937433,0.06557768,0.008537025,0.045351171,0.010359053,0.009616258,0.007019469
Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,0.013672949,1,0.00565128,0.001989032,0.001031409,0.030926033,0.001350865,0.002579445,0.009128853,0.008402125,0.007190803,0.009351722,0.00374667,0.006425111,0.010922512,0.004789622,0.004352108,0.006643031,0.006666215,0.003607465,0.004386167,0.005035993,0.004767178,0.005440062,0.003464722,0.00156946,0.000777381,0.003341355,0.003968525,0.002341368,0.018236231,0.004420845,0.015766313,0.074788834,0.104530694,0.001839894,0.008896484,0.002244015,0.032080745,0.014577972,0.015351572,0.008954366,0.080912918,0.018155501,0.062473664,0.00324665,0.014263187,0.001686932,0.003443966,0.08357248,0.004497359,0.003221523,0.001476184,0.055273592,0.004266133,0.002248349,0.004825045,0.003335957,0.003963008,0.00283943,0.040017859,0.013611853,0.004278829,0.009197339,0.00129344,0.002970108,0.014703039,0.003340554,0.001383724,0.014975791,0.001682897,0.007655511,0.002306368,0.002252299,0.013467175,0.016247968,0.049375057,0.173569157,0.166429993,0.321541216,0.326900929,0.179798802,0.05259932,0.231983899,0.053324047,0.152936333,0.143270534,0.247498567,0.099065452,0.144404971,0.191631032,0.121931702,0.212955816,0.257540083,0.224408565,0.252149513,0.234636716,0.21538847,0.277006201,0.090951645,0.222957533,0.025735919,0.147799518,0.207918946,0.269248641,0.007721378,0.261533795,0.094967745,0.240745543,0.311407587,0.331555738,0.118031175,0.115113887,0.3278526,0.259097057,0.104481968,0.174947668,0.072261945,0.033932035,0.156456219,0.101930299,0.109100349,0.13202868,0.166249289,0.194230434,0.153161279,0.127397222,0.162828215,0.055716445,0.136815401,0.044421032,0.149308661,0.231500111,0.024998208,0.023720612,0.053172734,0.013214525,0.177908489,0.029081735,0.221513369,0.08733462,0.069042163,0.116044169,0.24428042,0.187516879,0.103864599,0.243319605,0.226461754,0.130137512,0.303434648,0.107332491,0.284850716,0.283407093,0.190348207
Coprococcus_comes_ATCC_27758,0.197934474,0.00565128,1,0.179375144,0.143007424,0.179688291,0.152000576,0.203309671,0.137075055,0.117723861,0.547172009,0.530722165,0.168156595,0.218052504,0.34171287,0.183701275,0.449106577,0.168282368,0.144105032,0.497746086,0.528108585,0.587321071,0.573229472,0.5289823,0.196251732,0.20685511,0.127205695,0.468276888,0.493158253,0.26883695,0.134837519,0.392208691,0.129665398,0.07556315,0.053642248,0.142193295,0.16513658,0.358013259,0.15184842,0.223915662,0.16387588,0.323225235,0.069843976,0.196668702,0.088364671,0.17191442,0.327032881,0.282079286,0.471282481,0.05925543,0.336790408,0.500779329,0.239274495,0.102241951,0.240552471,0.370679429,0.632677171,0.426309936,0.367460535,0.486597212,0.112709409,0.370592566,0.52441788,0.215936217,0.145344574,0.136956667,0.351474351,0.48029296,0.159166533,0.187381033,0.205858851,0.551036624,0.371984174,0.35911539,0.290976951,0.346350971,0.09623845,0.003284767,0.028244727,0.004013134,0.007574143,0.02624786,0.070925624,0.011527037,0.058432227,0.027489002,0.029913634,0.00347895,0.052071982,0.033649975,0.005808729,0.017452312,0.022447197,0.005225566,0.007109443,0.018310065,0.017941494,0.009761024,0.013179902,0.029525115,0.012358076,0.168863528,0.03206458,0.024710097,0.00330753,0.187248827,0.009968542,0.022389474,0.004347627,0.008605032,0.009011956,0.027845275,0.043270681,0.005969121,0.008398424,0.033255648,0.003754934,0.00040995,0.036228886,0.006255693,0.000697202,0.016922373,0.003306276,0.003908036,0.001795587,0.001677969,0.000762881,0.00145001,0.003614491,0.012252139,0.016575553,0.001019961,0.019195489,0.02109635,0.153001406,0.014220371,0.116063272,0.004304393,0.010498018,0.015153138,0.000858261,0.003715475,0.006377713,0.003272707,0.001230448,0.035427772,0.013098521,0.009926687,0.036202195,0.003305987,0.027905061,0.004022185,0.003955854,0.004907346
Akkermansia_muciniphila_ATCC_BAA_835,0.081354916,0.001989032,0.179375144,1,0.271760305,0.046507499,0.234074788,0.241730129,0.042957288,0.097684628,0.142087563,0.119074858,0.117333162,0.105296056,0.083737652,0.148539607,0.176428641,0.103562509,0.051727081,0.203914137,0.18843754,0.172586105,0.200731569,0.170559478,0.15360772,0.237201135,0.246865081,0.227739826,0.198041497,0.309873999,0.027563923,0.18987834,0.037895305,0.022641721,0.017223686,0.182193939,0.080517239,0.203669224,0.03700206,0.072223168,0.039064017,0.124939852,0.020574024,0.053163213,0.024812292,0.110671925,0.070663511,0.294727572,0.209815178,0.016158159,0.1598206,0.215747976,0.277646924,0.029841458,0.142052303,0.272377776,0.176840334,0.219935967,0.1528557,0.228862583,0.033391932,0.10373889,0.180302832,0.115510476,0.201422358,0.085853028,0.085481826,0.178846574,0.236664965,0.059561702,0.230364986,0.164150199,0.256555182,0.21866104,0.086917214,0.082588828,0.02830688,0.000947057,0.006749961,0.001526833,0.002882331,0.007944908,0.026015318,0.003368572,0.012443584,0.008454328,0.007902627,0.001329167,0.014127631,0.010790472,0.001679782,0.003853265,0.007378414,0.001776154,0.001777901,0.006187245,0.006057456,0.003130249,0.004547793,0.006285201,0.004455651,0.04884635,0.011111138,0.007805086,0.001178941,0.08656967,0.0034881,0.003574768,0.001285984,0.003146572,0.003029759,0.009395992,0.009721273,0.002010526,0.002078252,0.007272265,0.001069087,0.000165694,0.013616075,0.002314763,0.000275095,0.006116054,0.000514202,0.001473568,0.000609347,0.000513538,0.000308342,0.000540883,0.000192007,0.002548234,0.002938925,0.000386173,0.006582004,0.00829932,0.044381526,0.004684835,0.077696765,0.001205671,0.000725068,0.004808324,0.000346893,0.001501723,0.002577748,0.001215513,0.000497323,0.007182597,0.003738858,0.002883454,0.009031302,0.001136308,0.005738903,0.001326222,0.001535599,0.001910229
Alistipes_putredinis_DSM_17216,0.057721413,0.001031409,0.143007424,0.271760305,1,0.030836075,0.454579909,0.275363898,0.095391085,0.102036691,0.119182658,0.100157265,0.24488849,0.11234995,0.071655235,0.11842253,0.18969182,0.121179011,0.126117915,0.241705691,0.166736972,0.168899314,0.178573372,0.143957473,0.208484229,0.434720184,0.604276316,0.25170795,0.204833878,0.289584601,0.037232662,0.155279103,0.053766806,0.013790944,0.009790185,0.276421493,0.075916753,0.302227056,0.023995829,0.055417921,0.034075756,0.099803785,0.012747144,0.053960022,0.016390302,0.212999014,0.059625145,0.413416945,0.207908897,0.010661909,0.163849428,0.235239418,0.417822201,0.018660061,0.159652996,0.337849924,0.169294931,0.248473332,0.172939369,0.267111445,0.024418044,0.062474751,0.200385596,0.080386084,0.491611503,0.156716674,0.062798104,0.227620214,0.437322647,0.055810115,0.297670138,0.113169343,0.298300209,0.318429326,0.062353628,0.060812615,0.013204239,0.000599499,0.004198445,0.000732432,0.001382348,0.004790467,0.015408256,0.002103786,0.012033177,0.005016986,0.005371698,0.000634939,0.008365488,0.006141418,0.001060144,0.003185201,0.004096812,0.000953712,0.001297536,0.003341749,0.003274481,0.001781473,0.002405449,0.006032564,0.002255458,0.028959482,0.00585207,0.004509811,0.000603653,0.089477455,0.001819347,0.004086277,0.00079348,0.001570494,0.001644762,0.005082009,0.007754371,0.001089417,0.001532787,0.00606945,0.000685309,7.48E-05,0.011849135,0.001141719,0.000127245,0.003088483,0.000603425,0.000713251,0.000327711,0.000306244,0.000139233,0.00026464,0.000475876,0.00182263,0.00186151,0.000186152,0.003503347,0.014275106,0.032532243,0.002587451,0.051466991,0.00078559,0.000725557,0.002765582,0.00015664,0.000678107,0.001163989,0.000597298,0.000224568,0.005261873,0.002390596,0.001811708,0.006288911,0.000603372,0.003888677,0.000734084,0.000721978,0.000895634
Anaerotruncus_colihominis_DSM_17241,0.173409179,0.030926033,0.179688291,0.046507499,0.030836075,1,0.036772383,0.065012297,0.121694306,0.102523063,0.212419765,0.270707175,0.076633487,0.154543063,0.236510299,0.109835173,0.136880217,0.158723345,0.080057636,0.110446172,0.137819252,0.14834014,0.153810168,0.166288844,0.079934783,0.048149697,0.023729174,0.10179134,0.127520094,0.053687111,0.164852397,0.104376512,0.128438278,0.411914831,0.293551544,0.046186578,0.070329981,0.072459291,0.473927812,0.211231095,0.272693412,0.235344647,0.372362992,0.450395653,0.460885111,0.0790354,0.41784545,0.054547297,0.104405313,0.302798515,0.100566777,0.101025408,0.044714156,0.481859699,0.056694443,0.072700845,0.145576332,0.101556224,0.113905727,0.09181357,0.370912946,0.413255321,0.123625379,0.195286548,0.030276301,0.038965825,0.453463822,0.108017531,0.039878316,0.313220274,0.051318885,0.234796288,0.073824057,0.071421981,0.292410006,0.454130669,0.341973165,0.017975539,0.125516932,0.021961452,0.041448697,0.143638649,0.16037037,0.062358231,0.11054538,0.150430668,0.149461955,0.019038189,0.271739166,0.18414594,0.027459018,0.051913116,0.12283992,0.028596361,0.038905675,0.100199898,0.098182932,0.044162186,0.072125626,0.134419457,0.067628267,0.268309102,0.133489992,0.135223402,0.018100108,0.074504198,0.054551797,0.068886411,0.023791928,0.04709013,0.04931698,0.110418101,0.177314207,0.032665384,0.044669854,0.131735431,0.020548479,0.002243409,0.067843224,0.029388136,0.003815362,0.048826486,0.01809325,0.021386314,0.009826162,0.009182511,0.004174787,0.007935024,0.018056042,0.055590495,0.043815733,0.005581628,0.080120342,0.033735729,0.186859301,0.044075898,0.058750175,0.023499938,0.021404667,0.082923952,0.004696745,0.011813667,0.034901362,0.017909545,0.006733496,0.14153829,0.071680275,0.054322748,0.189163877,0.018091665,0.107243445,0.022010985,0.021647992,0.026854935
Bacteroides_caccae_ATCC_43185,0.057833138,0.001350865,0.152000576,0.234074788,0.454579909,0.036772383,1,0.238129128,0.077312924,0.07363904,0.144037211,0.110485173,0.238637069,0.104352102,0.084102779,0.121631824,0.198935756,0.128825908,0.108136853,0.222607025,0.192191494,0.187470092,0.200586018,0.169099695,0.192281644,0.332617557,0.449910709,0.262161322,0.208600447,0.255019535,0.050242723,0.168121272,0.05320041,0.01710002,0.012510094,0.246057608,0.047937954,0.297500491,0.03201131,0.063282062,0.036834349,0.082764393,0.015358073,0.064387048,0.019831431,0.177775758,0.059495353,0.365187508,0.20990978,0.012801537,0.149354022,0.239313912,0.338722823,0.021620718,0.180716538,0.323726694,0.173399283,0.209228077,0.216046549,0.26622183,0.024075064,0.071078732,0.203113345,0.099137492,0.410732675,0.166833601,0.069110757,0.230123629,0.276796008,0.068078573,0.365162515,0.134055617,0.294100316,0.305803993,0.062427691,0.067619872,0.01645167,0.000785181,0.005156991,0.000959288,0.0018105,0.005435959,0.017057152,0.002755388,0.008498785,0.006570889,0.006863966,0.000831598,0.009836628,0.008000228,0.001388501,0.004171748,0.0053386,0.001249104,0.00169942,0.004376783,0.004288681,0.002333246,0.003150484,0.006850405,0.002954037,0.040830309,0.007653225,0.00585067,0.000790622,0.077551405,0.002382851,0.004591999,0.001039244,0.002053739,0.002154191,0.006427492,0.01012559,0.001426841,0.002007534,0.007866709,0.000897568,9.80E-05,0.014894258,0.001495342,0.000166657,0.003775051,0.000645127,0.000934165,0.000429212,0.000401097,0.000182357,0.000346606,0.000452774,0.002216137,0.00226364,0.000243808,0.004281635,0.02355724,0.032041114,0.003399195,0.039175068,0.001028909,0.000779245,0.003622161,0.000205156,0.000888136,0.001524509,0.000782298,0.000294123,0.006358208,0.003131031,0.002372846,0.007920205,0.000790253,0.004712502,0.000961451,0.000945595,0.001173037
Bacteroides_cellulosilyticus_DSM_14838,0.084716379,0.002579445,0.203309671,0.241730129,0.275363898,0.065012297,0.238129128,1,0.073285288,0.075629776,0.161210185,0.138004959,0.104738052,0.069627046,0.113026242,0.12469826,0.245184909,0.097205666,0.082407377,0.23067546,0.238519105,0.163034969,0.228356856,0.184307846,0.115161821,0.298277606,0.234577977,0.220425092,0.204066244,0.350123204,0.047054102,0.28352426,0.058058135,0.030714546,0.023586318,0.15430607,0.060102559,0.2727348,0.057007836,0.077271421,0.083673532,0.144756492,0.029092582,0.073270919,0.035071216,0.137053881,0.105785639,0.405381011,0.263935987,0.026395749,0.203499679,0.257776611,0.264000748,0.039598629,0.137628838,0.330548109,0.190018531,0.254072,0.238830562,0.255002969,0.054380107,0.114947396,0.227936198,0.161665423,0.257619188,0.064222424,0.108743571,0.222670357,0.276694955,0.078181785,0.357322699,0.167744786,0.323093783,0.281602956,0.116812826,0.096511788,0.032491027,0.001566009,0.013731335,0.001976605,0.003730523,0.012612015,0.024827889,0.005677458,0.029472733,0.013430463,0.01297766,0.001713501,0.023658311,0.015340342,0.002351099,0.008288209,0.010919833,0.002573769,0.003373576,0.008859934,0.008618273,0.00410792,0.00637867,0.013632537,0.006050996,0.063732721,0.015379841,0.011675763,0.001629071,0.131034565,0.004904455,0.009773612,0.002018943,0.004088415,0.004321719,0.009735286,0.016412356,0.002939995,0.003853852,0.010224505,0.001747108,0.000201914,0.025732531,0.002987879,0.000343395,0.003662699,0.001628454,0.001622197,0.000884388,0.000826457,0.000375745,0.000714179,0.00178026,0.005965682,0.022499774,0.000502365,0.005785023,0.03603409,0.053178652,0.005939163,0.034444477,0.00196534,0.020458141,0.007253916,0.000422723,0.000689987,0.002568498,0.00161192,0.000606037,0.019472189,0.006312976,0.004727694,0.016290297,0.001612257,0.018278197,0.001962198,0.001948392,0.00211605
Bacteroides_coprocola_M16_DSM_17136,0.098077773,0.009128853,0.137075055,0.042957288,0.095391085,0.121694306,0.077312924,0.073285288,1,0.143332049,0.144044753,0.158048783,0.180665508,0.146412911,0.080679427,0.066959645,0.109148845,0.097457733,0.148442754,0.156744313,0.11791178,0.150079507,0.1304498,0.122569573,0.081404455,0.080840171,0.070373204,0.136479055,0.12173228,0.080297949,0.103786032,0.117846415,0.086122536,0.094633839,0.075730347,0.113078304,0.123665763,0.119730184,0.096531662,0.133667576,0.071852141,0.141491695,0.083118733,0.119210837,0.092611752,0.115694419,0.122880675,0.090546568,0.117331234,0.070686233,0.116650116,0.120396246,0.104080977,0.107148917,0.12698999,0.113802631,0.14959907,0.121433032,0.129455958,0.140263108,0.077651147,0.113506038,0.137763447,0.09093063,0.095846087,0.15807003,0.137561331,0.126104101,0.093058978,0.08918838,0.075431269,0.131508718,0.116361832,0.134560056,0.10875768,0.156864747,0.055260017,0.005445787,0.040264068,0.006653341,0.012433471,0.034783179,0.056279299,0.019110578,0.031543407,0.037857919,0.03605462,0.005767723,0.056146959,0.052060603,0.008658167,0.02629765,0.036922941,0.008663423,0.009967082,0.030204815,0.02956934,0.014256234,0.021850849,0.023541138,0.019931145,0.063284032,0.03325118,0.038296446,0.005483526,0.165112165,0.016377296,0.018841916,0.006798138,0.013502758,0.014929425,0.025574494,0.050487706,0.009423339,0.011546731,0.03699747,0.006225273,0.000679653,0.029558547,0.007304898,0.001155885,0.011153195,0.005481448,0.005181542,0.002976889,0.002781891,0.001264774,0.002403959,0.005992435,0.018750042,0.022275267,0.001690984,0.029627675,0.018186821,0.085696738,0.009381692,0.086030596,0.007136217,0.016037622,0.025114977,0.001422904,0.001794112,0.008962989,0.005425794,0.002039949,0.048921661,0.020806374,0.014898474,0.051760346,0.005480968,0.038182983,0.006668347,0.006558376,0.005193846
Bacteroides_coprophilus_DSM_18228,0.160241307,0.008402125,0.117723861,0.097684628,0.102036691,0.102523063,0.07363904,0.075629776,0.143332049,1,0.113791765,0.123414713,0.121372704,0.191901998,0.073911192,0.087436099,0.116816759,0.116587557,0.212837708,0.118843689,0.103787418,0.133030061,0.123111311,0.104045014,0.074536196,0.089648098,0.075163564,0.139874695,0.094733752,0.086922044,0.056881452,0.075341456,0.040981307,0.086443457,0.06920717,0.118294453,0.134484644,0.10028914,0.087003401,0.12313587,0.068794335,0.13424493,0.076638821,0.1016544,0.085034442,0.125282905,0.101668558,0.078399341,0.092995612,0.064250458,0.123738097,0.084720765,0.115143797,0.097494371,0.105831317,0.094769047,0.139393109,0.118553352,0.06771048,0.117021968,0.082164068,0.106175782,0.137405578,0.155936067,0.09369304,0.130368663,0.116216149,0.099282415,0.101984594,0.138083186,0.063344014,0.107693571,0.086383193,0.080006709,0.096445217,0.128240858,0.048412274,0.004721271,0.028037791,0.005966587,0.01126097,0.029694929,0.041426982,0.017009978,0.024053202,0.034232064,0.034205588,0.005172382,0.051586157,0.047937297,0.008543132,0.022095325,0.033324502,0.007456139,0.008569272,0.026931501,0.026463584,0.012973437,0.01941303,0.02083106,0.017988101,0.064223152,0.03129545,0.035413665,0.004895125,0.127486058,0.01482088,0.016688224,0.006205781,0.012722155,0.013398661,0.032193892,0.044702969,0.00808014,0.010468379,0.027588987,0.005378936,0.0006095,0.026454372,0.006026242,0.001036575,0.011097177,0.004028724,0.00495957,0.002669616,0.002494746,0.001134225,0.002155823,0.002829284,0.011840332,0.010551667,0.001516442,0.027321042,0.016574346,0.13924941,0.007554233,0.112306586,0.00616229,0.004646098,0.022529156,0.001276033,0.001920093,0.007415989,0.004804344,0.001829387,0.034918299,0.019268121,0.013772871,0.044918581,0.004915226,0.02527914,0.005980044,0.005453927,0.00500529
