,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaccard Similarity,Escherichia_coli_O157_H7_EC4115,Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,Coprococcus_comes_ATCC_27758,Akkermansia_muciniphila_ATCC_BAA_835,Alistipes_putredinis_DSM_17216,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_5_1_36_D4,Bacteroides_dorei_DSM_17855,Bacteroides_eggerthii_DSM_20697,Bacteroides_finegoldii_DSM_17565,Bacteroides_fragilis_3_1_12,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_ovatus_ATCC_8483,Bacteroides_pectinophilus_ATCC_43243,Bacteroides_plebeius_M12_DSM_17135,Bacteroides_sp_2_1_7,Bacteroides_sp_2_2_4,Bacteroides_sp_4_3_47FAA,Bacteroides_sp_9_1_42FAA,Bacteroides_sp_D1,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_vulgatus_ATCC_8482,Bacteroides_xylanisolvens_XB1A,Bifidobacterium_adolescentis_L2_32,Bifidobacterium_catenulatum_DSM_16992,Bifidobacterium_longum_longum_CCUG_52486,Bifidobacterium_pseudocatenulatum_DSM_20438,Blautia_hansenii_VPI_C7_24_DSM_20583,Bryantella_formatexigens_I_52_DSM_14469,Butyrivibrio_crossotus_DSM_2876,Catenibacterium_mitsuokai_DSM_15897,Clostridiales_sp_SS3_4,Clostridium_asparagiforme_DSM_15981,Clostridium_bartlettii_DSM_16795,Clostridium_bolteae_ATCC_BAA_613,Clostridium_leptum_DSM_753,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_nexile_DSM_1787,Clostridium_scindens_ATCC_35704,Clostridium_sp_L2_50,Clostridium_sp_M62_1,Clostridium_sp_SS2_1,Collinsella_aerofaciens_ATCC_25986,Coprobacillus_sp_D7,Coprococcus_eutactus_ATCC_27759,Dorea_formicigenerans_ATCC_27755,Dorea_longicatena_DSM_13814,Enterococcus_faecalis_TX0104,Eubacterium_biforme_DSM_3989,Eubacterium_hallii_DSM_3353,Eubacterium_rectale_M104_1,Eubacterium_siraeum_70_3,Eubacterium_ventriosum_ATCC_27560,Faecalibacterium_prausnitzii_SL3_3,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,Holdemania_filiformis_VPI_J1_31B_1_DSM_12042,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_merdae_ATCC_43184,Prevotella_copri_CB7_DSM_18205,Pseudoflavonifractor_capillosus_ATCC_29799,Roseburia_intestinalis_M50_1,Ruminococcus_bromii_L2_63,Ruminococcus_gnavus_ATCC_29149,Ruminococcus_lactaris_ATCC_29176,Ruminococcus_obeum_A2_162,Ruminococcus_sp_SR1_5,Ruminococcus_torques_L2_14,Streptococcus_thermophilus_LMD_9,Subdoligranulum_variabile_DSM_15176,Clostridium_symbiosum_WAL_14163,Actinobacillus_pleuropneumoniae_sv_7_AP76,Actinomyces_odontolyticus_ATCC_17982,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Bifidobacterium_angulatum_DSM_20098,Bifidobacterium_animalis_lactis_AD011,Bifidobacterium_bifidum_NCIMB_41171,Bifidobacterium_breve_DSM_20213,Bifidobacterium_dentium_ATCC_27678,Bifidobacterium_gallicum_DSM_20093,Blautia_hydrogenotrophica_DSM_10507,Butyrivibrio_fibrisolvens_16_4,Campylobacter_concisus_13826,Campylobacter_hominis_ATCC_BAA_381,Candidatus_Sulcia_muelleri_GWSS,Citrobacter_koseri_ATCC_BAA_895,Citrobacter_sp_30_2,Clostridium_difficile_630,Clostridium_hylemonae_DSM_15053,Clostridium_perfringens_ATCC_13124,Clostridium_phytofermentans_ISDg,Clostridium_ramosum_VPI_0427_DSM_1402,Clostridium_sp_7_2_43FAA,Clostridium_spiroforme_DSM_1552,Collinsella_intestinalis_DSM_13280,Collinsella_stercoris_DSM_13279,Cronobacter_sakazakii_ATCC_BAA_894,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_vulgaris_Miyazaki_F,Enterobacter_cancerogenus_ATCC_35316,Enterobacter_sp_638,Enterococcus_faecalis_TX1322,Enterococcus_sp_7L76,Escherichia_fergusonii_UMN026_ATCC_35469,Eubacterium_dolichum_DSM_3991,Finegoldia_magna_ATCC_29328,Fusobacterium_nucleatum_nucleatum_ATCC_25586,Haemophilus_influenzae_NTHi_86_028NP,Haemophilus_parasuis_SH0165,Helicobacter_pullorum_MIT_98_5489,Klebsiella_pneumoniae_342,Lactobacillus_acidophilus_NCFM,Lactobacillus_casei_casei_BL23,Lactobacillus_delbrueckii_bulgaricus_ATCC_11842,Lactobacillus_fermentum_IFO_3956,Lactobacillus_gasseri_ATCC_33323,Lactobacillus_helveticus_DPC_4571,Lactobacillus_hilgardii_ATCC_8290,Lactobacillus_johnsonii_NCC_533,Lactobacillus_paracasei_ATCC_25302,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_sakei_sakei_23K,Lactobacillus_salivarius_HO66_ATCC_11741,Lactobacillus_ultunensis_DSM_16047,Lactococcus_lactis_cremoris_MG1363,Megamonas_hypermegale_ART12_1,Methanobrevibacter_smithii_DSM_2375,Methanosphaera_stadtmanae_DSM_3091,Mitsuokella_multacida_DSM_20544,Pasteurella_multocida_multocida_Pm70,Pediococcus_pentosaceus_ATCC_25745,Porphyromonas_gingivalis_ATCC_33277,Proteus_mirabilis_HI4320,Proteus_penneri_ATCC_35198,Pseudomonas_aeruginosa_LESB58,Salmonella_enterica_sv_Heidelberg_SL476_CVM30485,Staphylococcus_saprophyticus_saprophyticus_ATCC_15305,Streptococcus_gordonii_Challis_CH1,Streptococcus_infantarius_infantarius_ATCC_BAA_102,Streptococcus_mutans_UA159,Streptococcus_pneumoniae_Hungary19A_6,Streptococcus_pyogenes_M4_MGAS10750,Streptococcus_sanguinis_SK36,Streptococcus_suis_05ZYH33,Thermoanaerobacter_sp_X514,Tropheryma_whipplei_Twist
Escherichia_coli_O157_H7_EC4115,1,0.010860702,0.198265613,0.050444487,0.055669663,0.163501488,0.056313248,0.140349991,0.09156778,0.097463355,0.206875384,0.215831554,0.132204927,0.10005441,0.286702252,0.086485552,0.198865473,0.064173568,0.078135593,0.142920012,0.240067881,0.163415151,0.182837833,0.238028885,0.135724602,0.134317866,0.050792629,0.179157637,0.242322376,0.051419712,0.079520279,0.120412588,0.087196336,0.267534181,0.050572375,0.090473363,0.091658094,0.118111308,0.128791051,0.148222402,0.332314177,0.166476934,0.094070047,0.354686145,0.159543027,0.040453811,0.155078216,0.091235639,0.114935446,0.147792037,0.06004222,0.142684219,0.074244562,0.095656658,0.094877149,0.086300061,0.190695352,0.161440743,0.123377701,0.12488338,0.130228374,0.15835417,0.184999884,0.140896604,0.087599352,0.061476771,0.246174728,0.148222808,0.082737685,0.291602782,0.113536203,0.179617943,0.120340932,0.098542775,0.168946674,0.156085799,0.216222317,0.003787465,0.035062571,0.006307826,0.007686096,0.113323891,0.04757348,0.076207339,0.099593231,0.092319687,0.042930338,0.009336041,0.151807596,0.030554275,0.006024899,0.012332229,0.023818382,0.018554776,0.022539364,0.02750729,0.019254283,0.013377963,0.012345028,0.165951245,0.012488992,0.066215808,0.036232406,0.038263924,0.006716173,0.090503666,0.009945656,0.014799221,0.007385039,0.022729691,0.020783603,0.08732923,0.07728214,0.008566798,0.081227384,0.031839139,0.004501675,0.022155048,0.017578538,0.029682211,0.040612935,0.090734671,0.043612139,0.021788807,0.034272232,0.004341681,0.178812864,0.007236031,0.009490388,0.014385961,0.004805474,0.040981381,0.030645713,0.04895245,0.044923426,0.012232473,0.038223759,0.00576462,0.001773032,0.014156178,0.043871881,0.002724343,0.001013747,0.012642371,0.002045239,0.077555428,0.0459333,0.056933742,0.104596236,0.008971305,0.046282248,0.010803003,0.007010528,0.004547946
Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,0.010860702,1,0.015171537,0.005363019,0.003025496,0.037706089,0.004294524,0.013106357,0.004049469,0.012923535,0.017396068,0.020669086,0.00847761,0.015346291,0.015698353,0.02728571,0.00730396,0.017720869,0.004819565,0.009223401,0.014424065,0.012382627,0.009685951,0.020072319,0.006780653,0.004085539,0.002186084,0.010139184,0.016750499,0.004753574,0.026615789,0.007213583,0.022761816,0.017208437,0.159077731,0.051965892,0.009874607,0.006048916,0.066718773,0.016380221,0.009523944,0.015230554,0.10670214,0.028697542,0.057367193,0.006093897,0.015686874,0.004112922,0.007500101,0.079176335,0.014288469,0.006137074,0.003500169,0.095547403,0.011800196,0.004255045,0.016726777,0.01279487,0.014082498,0.008024643,0.036617083,0.039075048,0.012490448,0.008439105,0.003556179,0.005916933,0.034063114,0.010985435,0.003137585,0.008389726,0.006009394,0.015769717,0.005521088,0.006738561,0.010383501,0.051046531,0.013113481,0.045468467,0.183187386,0.085629293,0.145516774,0.048768608,0.140092564,0.011177793,0.003861342,0.05444291,0.024861119,0.110856867,0.04422421,0.185233892,0.042091813,0.090096476,0.19080764,0.066585773,0.120661745,0.196544718,0.179569105,0.068894104,0.159817612,0.029524218,0.162972487,0.062438241,0.158303735,0.054089317,0.042872315,0.027472842,0.141080605,0.028858731,0.033755826,0.137713646,0.221328105,0.0500576,0.055756167,0.099665105,0.024907704,0.070294145,0.051316281,0.000993545,0.064252326,0.002392844,0.120254923,0.071920417,0.031473918,0.037538729,0.021905602,0.111369253,0.006583865,0.260707065,0.026751857,0.09655436,0.013758231,0.013313178,0.099879476,0.022054686,0.024394144,0.038583656,0.020473009,0.060066522,0.035884487,0.115971899,0.026633034,0.026938329,0.033726483,0.051590047,0.027974148,0.046324158,0.050915175,0.054288107,0.055445382,0.0858858,0.11469559,0.084884215,0.084555519,0.049810903
Coprococcus_comes_ATCC_27758,0.198265613,0.015171537,1,0.134534666,0.152281905,0.285618145,0.175766729,0.191598309,0.179082192,0.139796327,0.594120181,0.564961618,0.243031268,0.26859232,0.224108398,0.118392246,0.309150672,0.123541194,0.208338453,0.468821511,0.470723294,0.584166444,0.508884968,0.496652746,0.169733809,0.1865188,0.135961805,0.581702396,0.534917223,0.238743745,0.167781269,0.336481566,0.290363439,0.095409744,0.042185325,0.160876002,0.195163165,0.368228403,0.128686294,0.306263475,0.165671211,0.227732676,0.079889112,0.184257082,0.133989802,0.200028889,0.303330643,0.245365929,0.380481432,0.06086776,0.201597957,0.392622903,0.208154622,0.093014816,0.238667399,0.248414025,0.691384806,0.468961576,0.310022055,0.512894286,0.210041474,0.308250407,0.549936439,0.212686893,0.170877132,0.184291563,0.320220902,0.500091789,0.169069751,0.137125193,0.156856518,0.538383836,0.316555184,0.354380524,0.313756677,0.285149717,0.090387134,0.002190258,0.028061056,0.003733067,0.004800816,0.074548894,0.043925345,0.147344489,0.229387799,0.100903907,0.046772252,0.005931806,0.17477345,0.022329348,0.004152592,0.006930794,0.015783228,0.018053645,0.016212657,0.018762382,0.012344905,0.013715407,0.007726462,0.033495224,0.008714343,0.104051438,0.019867042,0.021345345,0.005238697,0.224018181,0.006557979,0.025372319,0.011368213,0.013882198,0.014442619,0.045357124,0.066648198,0.005047991,0.035588476,0.039116479,0.002613869,0.041571825,0.013585243,0.03865195,0.031298143,0.052949582,0.037548441,0.031892557,0.019214637,0.005430586,0.03012128,0.007861866,0.005315666,0.056551597,0.017019981,0.024182288,0.020139564,0.05027323,0.2808845,0.017360376,0.152254922,0.003314729,0.001029748,0.008260244,0.024215147,0.001522782,0.000589396,0.007225812,0.004917146,0.107018814,0.054690808,0.089570639,0.094820502,0.005502976,0.046691947,0.006886715,0.004146184,0.004627872
Akkermansia_muciniphila_ATCC_BAA_835,0.050444487,0.005363019,0.134534666,1,0.192051043,0.095836184,0.219157231,0.208354569,0.175732026,0.103467479,0.116447662,0.116804132,0.173250333,0.099057383,0.044247148,0.048118032,0.112464592,0.11475663,0.145927077,0.139571953,0.111062721,0.154122637,0.129851642,0.099625627,0.129273945,0.139032915,0.230964728,0.160623566,0.107353414,0.123402624,0.076538466,0.194147479,0.092013157,0.013255138,0.012365667,0.105019561,0.016388801,0.117344593,0.035323615,0.048467343,0.047002477,0.137325,0.019812142,0.040526557,0.025912212,0.158313092,0.062517704,0.251482897,0.196296427,0.012448143,0.087263231,0.205107127,0.238536244,0.023649047,0.016646574,0.22828663,0.120444098,0.13667542,0.227215922,0.162386561,0.11313405,0.092433792,0.166871973,0.128035754,0.308542619,0.051341567,0.07783876,0.142229324,0.09414744,0.03652065,0.384917691,0.187678262,0.264541376,0.223190196,0.162259696,0.062977758,0.031054959,0.000692635,0.007878769,0.001331235,0.002180959,0.008013459,0.009774786,0.008106023,0.05175225,0.022779073,0.014057788,0.001695235,0.049623397,0.006853984,0.001549593,0.003193459,0.005345607,0.001585758,0.003894057,0.005567543,0.004305637,0.002287733,0.002959609,0.003389508,0.002689509,0.060345998,0.005692209,0.006164098,0.000726649,0.084837778,0.002781408,0.002106289,0.000872925,0.003250266,0.004114551,0.005709005,0.007497508,0.001650381,0.021819547,0.009484556,0.000789862,0.00013499,0.00286337,0.001106289,0.002799573,0.015846022,0.00193502,0.002613287,0.000589279,0.002612601,0.000623641,0.00303305,0.000561728,0.008951809,0.002478368,0.000773816,0.003414824,0.005064386,0.108205609,0.005580316,0.005302558,0.000904251,0.000474463,0.002888963,0.000721693,0.000293491,0.000302826,0.001181325,0.002526382,0.014376934,0.005846134,0.015316099,0.014687302,0.001505089,0.010282963,0.001896703,0.001056873,0.002346873
Alistipes_putredinis_DSM_17216,0.055669663,0.003025496,0.152281905,0.192051043,1,0.069624802,0.444493624,0.188908348,0.276496959,0.081686736,0.14726911,0.122034664,0.220116041,0.156747443,0.049917783,0.061934841,0.259413251,0.031252124,0.271041278,0.192125753,0.142616161,0.191395318,0.236382526,0.121641714,0.267778386,0.388745474,0.493852434,0.216673261,0.146303329,0.306252122,0.082658427,0.185493947,0.070361423,0.058381145,0.008412564,0.057810007,0.085795973,0.229617893,0.029172178,0.066093968,0.101830339,0.108973723,0.016229223,0.049163085,0.027180293,0.199132641,0.073353245,0.340077473,0.219378337,0.014463466,0.065175717,0.244697091,0.454294299,0.018484995,0.098062138,0.357420751,0.144957536,0.194430166,0.162469465,0.230257073,0.071670272,0.066262571,0.189410358,0.169628671,0.411193181,0.175212316,0.063319113,0.202689355,0.369739145,0.087312143,0.17856546,0.139268936,0.311879249,0.27558007,0.20875739,0.053129638,0.085803169,0.000436779,0.005595914,0.000744445,0.000957375,0.012850163,0.008684734,0.075655269,0.146362099,0.014018707,0.042397194,0.001182916,0.031297467,0.004452901,0.000828107,0.001382134,0.003147479,0.003600244,0.003233115,0.003741579,0.002461811,0.002735116,0.001540805,0.008271728,0.001737807,0.031112844,0.004778968,0.019147457,0.001044697,0.06986647,0.001307787,0.006849095,0.00226704,0.002768377,0.002880136,0.009295931,0.008351516,0.001006666,0.003681861,0.007800578,0.000521256,0.006035289,0.002709159,0.026602678,0.002528309,0.005646271,0.007487881,0.0135237,0.003831768,0.001082963,0.005081372,0.001567807,0.001060046,0.011277475,0.00356693,0.004822413,0.002706371,0.065990747,0.081623985,0.003461993,0.038534492,0.000661021,0.000205352,0.001647251,0.004890228,0.000303672,0.000117537,0.001440966,0.00066755,0.022383664,0.007023235,0.015637069,0.02318635,0.001097399,0.009311271,0.001373343,0.000826829,0.000922887
Anaerotruncus_colihominis_DSM_17241,0.163501488,0.037706089,0.285618145,0.095836184,0.069624802,1,0.083411634,0.11261144,0.061960325,0.127038579,0.309143403,0.375311331,0.107815449,0.175975015,0.228409157,0.240026717,0.178006885,0.178614762,0.086523523,0.209749774,0.324715761,0.263980268,0.212208465,0.388647385,0.094601893,0.098304559,0.057730778,0.225399502,0.354968481,0.08237755,0.212528757,0.164467499,0.176545851,0.089419667,0.104055075,0.279635254,0.066543762,0.124511743,0.345055883,0.186697825,0.156626354,0.216306021,0.193701304,0.255722115,0.220369619,0.071455629,0.26675569,0.102590501,0.136988404,0.116135923,0.147628146,0.150692318,0.088433295,0.223941609,0.058944814,0.105518469,0.304650652,0.221873398,0.241905638,0.177638668,0.395890241,0.435996532,0.254460659,0.160219725,0.064644327,0.062698859,0.412161202,0.222920787,0.089052051,0.115243561,0.106713472,0.290658717,0.131934451,0.143004044,0.154290433,0.409389071,0.102805486,0.005443486,0.069641696,0.009277857,0.011931553,0.087447593,0.104529126,0.100568972,0.090001977,0.133693741,0.111984518,0.014742423,0.269491338,0.055495524,0.010320511,0.017225226,0.039226335,0.02583509,0.032515066,0.046269282,0.030681011,0.021420774,0.019202712,0.05200187,0.021657911,0.189057727,0.059559231,0.073523541,0.010865716,0.185775227,0.016298661,0.021813145,0.011733752,0.027565982,0.035591371,0.082030638,0.083208661,0.01254586,0.072039962,0.075766093,0.006496294,0.010198327,0.024785813,0.090823047,0.021995658,0.087530162,0.035801516,0.039588279,0.032389632,0.013496731,0.024021131,0.019539235,0.013211119,0.046313237,0.071663012,0.036023878,0.028823032,0.024897027,0.1697351,0.038720792,0.036827788,0.008238155,0.002559251,0.02052933,0.032551228,0.00372267,0.001464835,0.016685089,0.012220671,0.177149864,0.063459296,0.102832528,0.148539664,0.012979241,0.095976789,0.016025848,0.010304585,0.011501733
Bacteroides_caccae_ATCC_43185,0.056313248,0.004294524,0.175766729,0.219157231,0.444493624,0.083411634,1,0.159967948,0.274394574,0.107206734,0.163159152,0.141363777,0.285859242,0.180974951,0.080777123,0.0823999,0.264972928,0.07140829,0.251448228,0.215146835,0.177763927,0.235370209,0.248882864,0.15996481,0.229665439,0.278573619,0.419252798,0.248268178,0.185095783,0.266878503,0.103988441,0.176600029,0.114688768,0.058200265,0.011705506,0.074531123,0.093439768,0.224924888,0.039340908,0.071760084,0.09743896,0.152793038,0.022813877,0.05044566,0.030303147,0.139593945,0.083930315,0.284132237,0.276435868,0.019441905,0.087397609,0.249940007,0.36289269,0.025606407,0.098392045,0.308070207,0.157251957,0.238997218,0.199029183,0.284495171,0.089451653,0.089334199,0.223747172,0.140332775,0.416649838,0.263903309,0.077288502,0.203744848,0.293173877,0.083153429,0.198616321,0.197382812,0.288778836,0.272933257,0.185286284,0.064466878,0.034794892,0.000619984,0.007943089,0.001056699,0.001358941,0.023722878,0.011450774,0.089737448,0.127389056,0.014647513,0.058907957,0.001679084,0.029854456,0.006320646,0.001175452,0.001961862,0.004467672,0.005110346,0.004589228,0.005310965,0.003494404,0.003882345,0.002187087,0.011663224,0.002466721,0.018538741,0.006783481,0.027178753,0.001482889,0.071577109,0.001856331,0.009721911,0.003217938,0.003929558,0.004088193,0.010850582,0.031332652,0.001428907,0.0031752,0.009481843,0.000739893,0.027992434,0.0038455,0.034216253,0.008859393,0.009081372,0.005892106,0.018281668,0.002029406,0.001229589,0.002518086,0.002225415,0.001504676,0.009248588,0.00119414,0.002479881,0.005856644,0.103595464,0.126259804,0.004914106,0.035964698,0.000938282,0.000291485,0.002338182,0.006611094,0.000431045,0.000166837,0.002045371,0.001245798,0.023113574,0.025503989,0.011064122,0.023821968,0.001557697,0.011209577,0.001949385,0.001173638,0.001309986
Bacteroides_cellulosilyticus_DSM_14838,0.140349991,0.013106357,0.191598309,0.208354569,0.188908348,0.11261144,0.159967948,1,0.08078841,0.06841174,0.197182986,0.182047111,0.177817511,0.080247963,0.093578026,0.084908088,0.227414977,0.121428106,0.165918413,0.185218534,0.187775018,0.194450197,0.272886128,0.171376645,0.130460631,0.204726403,0.130221288,0.227894456,0.199585847,0.125758722,0.090816239,0.21100311,0.119645781,0.173372743,0.030470818,0.135813664,0.062536611,0.207147352,0.060688924,0.120642306,0.16258781,0.14954523,0.044931864,0.108282738,0.073769011,0.204955625,0.066316174,0.193962276,0.170663444,0.047706329,0.080126854,0.182188323,0.200316903,0.049979608,0.101739489,0.184864634,0.195009762,0.27633854,0.175862265,0.207376802,0.154307699,0.141328307,0.263747835,0.288388187,0.158415401,0.088857198,0.115141329,0.209338583,0.105117389,0.137152603,0.188070796,0.22925462,0.197436015,0.192875054,0.317631976,0.101771044,0.129185862,0.00200462,0.021571528,0.003416667,0.004393918,0.042073013,0.024500549,0.042302897,0.104362897,0.036233643,0.029679377,0.00536204,0.059184935,0.018561836,0.003800636,0.006343368,0.014094581,0.015780222,0.014838538,0.016008518,0.011249335,0.011462719,0.007071598,0.02728882,0.007546352,0.108445796,0.016289073,0.017128857,0.004794687,0.059889604,0.006002151,0.031434254,0.01040469,0.0127056,0.012222885,0.030880298,0.023292107,0.004620144,0.007625947,0.024465542,0.002392328,0.001940523,0.010537204,0.013372787,0.005708576,0.010729356,0.033987047,0.057002258,0.012713224,0.003361349,0.02937768,0.006242769,0.004865132,0.010692247,0.003112948,0.015564891,0.012892696,0.072017442,0.110184099,0.010430268,0.049059065,0.003033786,0.000942471,0.007560139,0.018496629,0.001393717,0.000539441,0.006613382,0.004500389,0.068552103,0.019768836,0.045602177,0.082415598,0.00503417,0.029071391,0.005989397,0.003467214,0.002110877
Bacteroides_coprocola_M16_DSM_17136,0.09156778,0.004049469,0.179082192,0.175732026,0.276496959,0.061960325,0.274394574,0.08078841,1,0.082566397,0.163966298,0.139619296,0.249617259,0.191522014,0.042958613,0.040925295,0.216478395,0.037375812,0.299613033,0.218142815,0.116675248,0.229783327,0.203434186,0.112478246,0.360356567,0.243543622,0.333204134,0.247132166,0.144095211,0.34046429,0.117727734,0.29800229,0.122781771,0.057151474,0.014955598,0.042426374,0.127971139,0.274294838,0.0332739,0.083515264,0.110186447,0.073003311,0.026702371,0.04729088,0.045086288,0.143231115,0.10952297,0.382389792,0.243799961,0.019450241,0.053018579,0.325802275,0.263994222,0.028667115,0.114264254,0.298728727,0.157212755,0.190959286,0.155070602,0.242731123,0.051375508,0.080139189,0.186171547,0.174707925,0.249656778,0.207205187,0.071181572,0.175083155,0.23195533,0.113894174,0.139152027,0.176264412,0.238671496,0.352276674,0.173699735,0.064280803,0.049281292,0.000792304,0.0101295,0.0013504,0.001736647,0.014449623,0.014846517,0.049737342,0.160614695,0.033335736,0.017853604,0.002145772,0.056784469,0.00807742,0.001502159,0.002507146,0.005709426,0.006530727,0.005126616,0.006787105,0.004465647,0.004961412,0.002794971,0.009007254,0.003152327,0.016437411,0.006878006,0.007707139,0.001895047,0.058725004,0.002372284,0.01242404,0.004112338,0.004398737,0.005224474,0.01449247,0.018622128,0.00182606,0.016756354,0.011541584,0.000945541,0.04420033,0.003837334,0.006935933,0.001950145,0.012764838,0.013582776,0.023562046,0.006001382,0.00172748,0.049079416,0.002350961,0.001922889,0.020033135,0.001671337,0.007352319,0.006338053,0.053459199,0.111947503,0.006279944,0.032724486,0.00119907,0.000372501,0.002988061,0.007088999,0.000550851,0.000213208,0.002613866,0.001778729,0.030645533,0.00954918,0.028326675,0.028447037,0.001990647,0.013289475,0.002491201,0.001499841,0.001674087
Bacteroides_coprophilus_DSM_18228,0.097463355,0.012923535,0.139796327,0.103467479,0.081686736,0.127038579,0.107206734,0.06841174,0.082566397,1,0.112797541,0.118498288,0.069645704,0.061132197,0.069242887,0.069901648,0.062437573,0.078298693,0.295722364,0.094017642,0.100454984,0.144289856,0.099690871,0.125432055,0.090183218,0.052621635,0.081433441,0.126609239,0.109125724,0.113073756,0.057501586,0.086874825,0.073362086,0.051173631,0.058554951,0.104576226,0.220424908,0.104074237,0.097166074,0.075151442,0.043635203,0.069587243,0.094399074,0.099058619,0.079662366,0.112881784,0.106098991,0.050765214,0.112650711,0.065363072,0.130125587,0.080239728,0.118111402,0.098281726,0.092237853,0.059222756,0.137257967,0.115235608,0.229614915,0.133002326,0.104350065,0.115434559,0.109104384,0.054768434,0.077553516,0.219821114,0.129465065,0.127250009,0.116751508,0.049540755,0.067737619,0.104896724,0.095301586,0.069817631,0.108238188,0.136251865,0.033502163,0.003163047,0.037833838,0.005391085,0.006933068,0.04162297,0.051333394,0.026946042,0.103788448,0.058779433,0.042921132,0.008566381,0.095952114,0.032246789,0.00599694,0.010009063,0.02279325,0.015652343,0.019780443,0.027095578,0.017827818,0.012688317,0.011158122,0.02692977,0.012511664,0.046187068,0.027968791,0.029308985,0.006496484,0.093943211,0.009470664,0.01316595,0.007040092,0.018045185,0.020570244,0.037746751,0.04268205,0.007290024,0.052436596,0.030199654,0.003774802,0.176457178,0.014525452,0.009997036,0.005478865,0.050922224,0.013689158,0.016980974,0.008618983,0.005993192,0.008861676,0.00719754,0.007327893,0.022544034,0.005429221,0.010433442,0.015967664,0.008475208,0.062270104,0.022646383,0.10424465,0.004786945,0.001487104,0.01192898,0.012575149,0.002199116,0.000851172,0.010435112,0.006700079,0.058536226,0.031511781,0.027704292,0.056285792,0.007947089,0.047402895,0.009945407,0.005987686,0.004653896
