,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaccard Similarity,Escherichia_coli_O157_H7_EC4115,Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,Coprococcus_comes_ATCC_27758,Akkermansia_muciniphila_ATCC_BAA_835,Alistipes_putredinis_DSM_17216,Anaerotruncus_colihominis_DSM_17241,Bacteroides_caccae_ATCC_43185,Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprophilus_DSM_18228,Bacteroides_dorei_5_1_36_D4,Bacteroides_dorei_DSM_17855,Bacteroides_eggerthii_DSM_20697,Bacteroides_finegoldii_DSM_17565,Bacteroides_fragilis_3_1_12,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_ovatus_ATCC_8483,Bacteroides_pectinophilus_ATCC_43243,Bacteroides_plebeius_M12_DSM_17135,Bacteroides_sp_2_1_7,Bacteroides_sp_2_2_4,Bacteroides_sp_4_3_47FAA,Bacteroides_sp_9_1_42FAA,Bacteroides_sp_D1,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_vulgatus_ATCC_8482,Bacteroides_xylanisolvens_XB1A,Bifidobacterium_adolescentis_L2_32,Bifidobacterium_catenulatum_DSM_16992,Bifidobacterium_longum_longum_CCUG_52486,Bifidobacterium_pseudocatenulatum_DSM_20438,Blautia_hansenii_VPI_C7_24_DSM_20583,Bryantella_formatexigens_I_52_DSM_14469,Butyrivibrio_crossotus_DSM_2876,Catenibacterium_mitsuokai_DSM_15897,Clostridiales_sp_SS3_4,Clostridium_asparagiforme_DSM_15981,Clostridium_bartlettii_DSM_16795,Clostridium_bolteae_ATCC_BAA_613,Clostridium_leptum_DSM_753,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_nexile_DSM_1787,Clostridium_scindens_ATCC_35704,Clostridium_sp_L2_50,Clostridium_sp_M62_1,Clostridium_sp_SS2_1,Collinsella_aerofaciens_ATCC_25986,Coprobacillus_sp_D7,Coprococcus_eutactus_ATCC_27759,Dorea_formicigenerans_ATCC_27755,Dorea_longicatena_DSM_13814,Enterococcus_faecalis_TX0104,Eubacterium_biforme_DSM_3989,Eubacterium_hallii_DSM_3353,Eubacterium_rectale_M104_1,Eubacterium_siraeum_70_3,Eubacterium_ventriosum_ATCC_27560,Faecalibacterium_prausnitzii_SL3_3,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,Holdemania_filiformis_VPI_J1_31B_1_DSM_12042,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_merdae_ATCC_43184,Prevotella_copri_CB7_DSM_18205,Pseudoflavonifractor_capillosus_ATCC_29799,Roseburia_intestinalis_M50_1,Ruminococcus_bromii_L2_63,Ruminococcus_gnavus_ATCC_29149,Ruminococcus_lactaris_ATCC_29176,Ruminococcus_obeum_A2_162,Ruminococcus_sp_SR1_5,Ruminococcus_torques_L2_14,Streptococcus_thermophilus_LMD_9,Subdoligranulum_variabile_DSM_15176,Clostridium_symbiosum_WAL_14163,Actinobacillus_pleuropneumoniae_sv_7_AP76,Actinomyces_odontolyticus_ATCC_17982,Anaerococcus_hydrogenalis_DSM_7454,Anaerofustis_stercorihominis_DSM_17244,Anaerostipes_caccae_DSM_14662,Bifidobacterium_angulatum_DSM_20098,Bifidobacterium_animalis_lactis_AD011,Bifidobacterium_bifidum_NCIMB_41171,Bifidobacterium_breve_DSM_20213,Bifidobacterium_dentium_ATCC_27678,Bifidobacterium_gallicum_DSM_20093,Blautia_hydrogenotrophica_DSM_10507,Butyrivibrio_fibrisolvens_16_4,Campylobacter_concisus_13826,Campylobacter_hominis_ATCC_BAA_381,Candidatus_Sulcia_muelleri_GWSS,Citrobacter_koseri_ATCC_BAA_895,Citrobacter_sp_30_2,Clostridium_difficile_630,Clostridium_hylemonae_DSM_15053,Clostridium_perfringens_ATCC_13124,Clostridium_phytofermentans_ISDg,Clostridium_ramosum_VPI_0427_DSM_1402,Clostridium_sp_7_2_43FAA,Clostridium_spiroforme_DSM_1552,Collinsella_intestinalis_DSM_13280,Collinsella_stercoris_DSM_13279,Cronobacter_sakazakii_ATCC_BAA_894,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_vulgaris_Miyazaki_F,Enterobacter_cancerogenus_ATCC_35316,Enterobacter_sp_638,Enterococcus_faecalis_TX1322,Enterococcus_sp_7L76,Escherichia_fergusonii_UMN026_ATCC_35469,Eubacterium_dolichum_DSM_3991,Finegoldia_magna_ATCC_29328,Fusobacterium_nucleatum_nucleatum_ATCC_25586,Haemophilus_influenzae_NTHi_86_028NP,Haemophilus_parasuis_SH0165,Helicobacter_pullorum_MIT_98_5489,Klebsiella_pneumoniae_342,Lactobacillus_acidophilus_NCFM,Lactobacillus_casei_casei_BL23,Lactobacillus_delbrueckii_bulgaricus_ATCC_11842,Lactobacillus_fermentum_IFO_3956,Lactobacillus_gasseri_ATCC_33323,Lactobacillus_helveticus_DPC_4571,Lactobacillus_hilgardii_ATCC_8290,Lactobacillus_johnsonii_NCC_533,Lactobacillus_paracasei_ATCC_25302,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_sakei_sakei_23K,Lactobacillus_salivarius_HO66_ATCC_11741,Lactobacillus_ultunensis_DSM_16047,Lactococcus_lactis_cremoris_MG1363,Megamonas_hypermegale_ART12_1,Methanobrevibacter_smithii_DSM_2375,Methanosphaera_stadtmanae_DSM_3091,Mitsuokella_multacida_DSM_20544,Pasteurella_multocida_multocida_Pm70,Pediococcus_pentosaceus_ATCC_25745,Porphyromonas_gingivalis_ATCC_33277,Proteus_mirabilis_HI4320,Proteus_penneri_ATCC_35198,Pseudomonas_aeruginosa_LESB58,Salmonella_enterica_sv_Heidelberg_SL476_CVM30485,Staphylococcus_saprophyticus_saprophyticus_ATCC_15305,Streptococcus_gordonii_Challis_CH1,Streptococcus_infantarius_infantarius_ATCC_BAA_102,Streptococcus_mutans_UA159,Streptococcus_pneumoniae_Hungary19A_6,Streptococcus_pyogenes_M4_MGAS10750,Streptococcus_sanguinis_SK36,Streptococcus_suis_05ZYH33,Thermoanaerobacter_sp_X514,Tropheryma_whipplei_Twist
Escherichia_coli_O157_H7_EC4115,1,0.01000974,0.237439037,0.086242421,0.069925602,0.174162605,0.071303835,0.089938829,0.123791254,0.203172665,0.228228841,0.253526682,0.11607071,0.165187692,0.25715537,0.077153261,0.178990892,0.154430619,0.136991686,0.180873794,0.171110866,0.202985702,0.218680329,0.198270529,0.089230876,0.095836104,0.052215491,0.187245767,0.171800636,0.113088366,0.082620981,0.130220166,0.111300762,0.095561988,0.072904291,0.094940284,0.082878839,0.118235306,0.185790518,0.191569672,0.143512652,0.194197056,0.100502246,0.16002353,0.12435842,0.110222145,0.216240543,0.100071616,0.175719492,0.085559512,0.114500153,0.164283876,0.095697498,0.131285795,0.10707709,0.132441164,0.222603297,0.176515846,0.120141065,0.185106915,0.116270672,0.262207897,0.173521116,0.131793465,0.055108062,0.14424719,0.280308318,0.172911731,0.076419523,0.202796831,0.063821392,0.20114665,0.131247501,0.112191231,0.189838285,0.233888975,0.122559449,0.006756563,0.046052306,0.007228054,0.013882992,0.051903746,0.053076171,0.024567598,0.070918697,0.050004893,0.045647519,0.007231689,0.087073712,0.046273456,0.013298493,0.036562622,0.034539047,0.012382466,0.012891495,0.029782067,0.028968834,0.012104487,0.020819958,0.048405352,0.017775112,0.117317425,0.037372667,0.035424803,0.006928136,0.087036722,0.018692097,0.018023098,0.008575402,0.017867921,0.016670671,0.079138285,0.05031078,0.009683843,0.01914567,0.048921846,0.007450134,0.000790627,0.013255856,0.017427555,0.001375894,0.040781201,0.009024489,0.006227339,0.003596401,0.004319792,0.001355018,0.003053628,0.008060153,0.025411725,0.016845757,0.002170733,0.026379769,0.008036302,0.220866713,0.017118289,0.081876496,0.008746819,0.009086393,0.021694037,0.001118936,0.001582587,0.017381337,0.007987193,0.00222661,0.053630606,0.025656605,0.020349249,0.057348733,0.007506007,0.039635117,0.008822234,0.009164373,0.005479818
Leuconostoc_mesenteroides_mesenteroides_ATCC_8293,0.01000974,1,0.005314784,0.001686683,0.000920515,0.02730957,0.001250548,0.002124316,0.012834185,0.009634782,0.006442408,0.008542673,0.002832417,0.006565385,0.010802077,0.003678958,0.003952765,0.00879477,0.006937417,0.003333396,0.003836606,0.005169538,0.004147393,0.005020117,0.003685011,0.001347417,0.000702829,0.003273646,0.003554448,0.002128177,0.017878849,0.003298808,0.01246018,0.070012916,0.096404653,0.002408143,0.019736176,0.002270489,0.025463695,0.013095641,0.011559909,0.007294009,0.06919812,0.014650879,0.056391534,0.003529702,0.012022366,0.001423985,0.00322966,0.074876748,0.004197817,0.003223893,0.001402038,0.049296761,0.004592807,0.002021615,0.004719943,0.002871727,0.003614644,0.002836826,0.032221567,0.011327027,0.003909352,0.007227906,0.00123097,0.028843183,0.012350615,0.003222793,0.001319899,0.011580172,0.001560425,0.006872232,0.002010139,0.002191569,0.010949587,0.015039889,0.041905213,0.165120634,0.148820967,0.331789684,0.338410404,0.175132145,0.06050022,0.219660375,0.043619985,0.13906116,0.133305522,0.260396477,0.090167384,0.150011316,0.168631618,0.107957418,0.224658059,0.240038009,0.17619719,0.264021733,0.25039285,0.309200083,0.308329817,0.077855616,0.275003694,0.022241667,0.13632623,0.219157326,0.24109193,0.00871432,0.287434077,0.071782615,0.189563733,0.269867797,0.307993788,0.09807042,0.125158392,0.346208521,0.248773557,0.097359894,0.158954218,0.067701664,0.025886876,0.151918932,0.106984503,0.089556183,0.147197552,0.180054221,0.206982117,0.181728403,0.120816231,0.192048349,0.05494755,0.12246967,0.034405683,0.161105807,0.263934172,0.01953787,0.019339485,0.026692504,0.032431537,0.160370833,0.020806814,0.262023458,0.091245941,0.10786777,0.106889202,0.244425913,0.178562221,0.078822613,0.239683101,0.223394596,0.126115543,0.313659077,0.088721873,0.290386297,0.310054601,0.215451373
Coprococcus_comes_ATCC_27758,0.237439037,0.005314784,1,0.172297901,0.141084819,0.190458156,0.141176535,0.199071212,0.112643376,0.117791026,0.549499576,0.53957785,0.158062048,0.226145035,0.401811022,0.1879376,0.467953601,0.171177598,0.146539322,0.497495849,0.514460971,0.582186816,0.561054915,0.52600737,0.189731314,0.201928915,0.12163798,0.465595228,0.475562583,0.243915845,0.14704056,0.392876599,0.141618753,0.075911473,0.055129948,0.155041478,0.111676654,0.369918298,0.175210331,0.247644175,0.179989299,0.361826263,0.076805317,0.206638246,0.091410973,0.172707451,0.347187127,0.260856699,0.466137564,0.065192869,0.304690103,0.510491358,0.237122522,0.107812024,0.202241131,0.34852116,0.642138719,0.408074824,0.361373814,0.510654366,0.131360339,0.407365347,0.514586284,0.20653381,0.133426092,0.089154385,0.384797704,0.490126091,0.158309307,0.199633515,0.207791299,0.544719043,0.348176157,0.36052251,0.311160446,0.35139439,0.115960706,0.003408526,0.03220138,0.003855786,0.007880741,0.029441601,0.064128144,0.012934874,0.070386335,0.032195807,0.031939082,0.003586473,0.057198285,0.032489385,0.006171557,0.021333192,0.021765248,0.006220232,0.008423074,0.017596581,0.017968579,0.006078106,0.012520066,0.036732961,0.009262383,0.206244365,0.034440818,0.023078637,0.003556293,0.155282402,0.010072423,0.026435475,0.00472376,0.009437334,0.009425414,0.036228806,0.039935017,0.005725651,0.009597717,0.033410468,0.003770176,0.000361942,0.03129089,0.008017409,0.000672572,0.019269952,0.004173205,0.002939046,0.001709319,0.002074434,0.000658868,0.001430929,0.004736915,0.015794909,0.017153172,0.001021783,0.014316677,0.017676027,0.16012644,0.014081284,0.065528727,0.004395035,0.013079556,0.013035472,0.000512239,0.000724494,0.008051619,0.003853238,0.001097472,0.039754316,0.014470412,0.010542847,0.038310487,0.003657657,0.032263883,0.004320518,0.004850403,0.004210765
Akkermansia_muciniphila_ATCC_BAA_835,0.086242421,0.001686683,0.172297901,1,0.288060259,0.041628467,0.263794797,0.2439164,0.021160575,0.076331517,0.131372581,0.110789862,0.123126776,0.11459313,0.092026597,0.159793124,0.178302505,0.099796483,0.051290307,0.204282621,0.182136786,0.1628443,0.199069888,0.168765122,0.142614286,0.239947927,0.270176755,0.221935106,0.202515827,0.332748601,0.028165679,0.193668986,0.040703192,0.019831022,0.015255774,0.217607917,0.053485231,0.210976975,0.034841753,0.050675439,0.037190266,0.111831757,0.019316321,0.048790635,0.02197861,0.099649611,0.064819709,0.316134167,0.206280202,0.01467273,0.143989099,0.223330299,0.285877915,0.027079338,0.140671989,0.282672708,0.172831483,0.218208557,0.161586381,0.227937199,0.032990196,0.099231318,0.177693017,0.114095548,0.211349341,0.033759471,0.079610999,0.17935733,0.26896357,0.058911429,0.251369561,0.156482141,0.280985986,0.239017879,0.088798385,0.072397315,0.028485508,0.000768466,0.005967104,0.001234788,0.002539961,0.007335757,0.020123789,0.00304441,0.011764747,0.008299807,0.007628696,0.001147052,0.013148551,0.008929467,0.001528019,0.003718128,0.006162369,0.001742648,0.001639543,0.005090512,0.005108891,0.001953502,0.003656173,0.006192464,0.002829157,0.04896833,0.010070746,0.005880674,0.001034246,0.07543758,0.00294632,0.002897526,0.001120165,0.002950776,0.002799605,0.010309781,0.008173998,0.001540708,0.001840179,0.005534452,0.000835924,0.000123602,0.009549597,0.002493975,0.000222033,0.006476316,0.000487457,0.000927462,0.000450881,0.000520444,0.000225002,0.000442995,0.000169198,0.002649599,0.001693846,0.000319173,0.004027378,0.006953515,0.044369171,0.003792157,0.042951661,0.000951477,0.000513228,0.003568276,0.000174928,0.000247413,0.002749607,0.001193443,0.000374784,0.006366103,0.003460081,0.002558002,0.008032879,0.001047149,0.005403448,0.001166601,0.00158416,0.001354423
Alistipes_putredinis_DSM_17216,0.069925602,0.000920515,0.141084819,0.288060259,1,0.032033208,0.483959362,0.308911102,0.066001061,0.095540825,0.116987444,0.097546354,0.285529398,0.098402671,0.065895302,0.140924101,0.190026508,0.100102215,0.115391454,0.242636034,0.169479427,0.160103106,0.184417327,0.143507223,0.171487735,0.446263107,0.63987035,0.248069652,0.216598072,0.298969604,0.044304626,0.173440155,0.066492451,0.013147789,0.00954845,0.258830741,0.046641002,0.299887289,0.025969354,0.05422385,0.037489329,0.107079429,0.013302601,0.05944706,0.01617085,0.181567638,0.063497154,0.436472454,0.208900986,0.011097325,0.163112346,0.237401081,0.444037005,0.018672931,0.152151944,0.348647462,0.167904256,0.264922531,0.182006006,0.255661559,0.028139723,0.067193197,0.198885517,0.086413052,0.486179695,0.027919892,0.066885341,0.219814168,0.503341907,0.062635584,0.307388829,0.116779697,0.318540111,0.332346646,0.068258097,0.059772191,0.014635424,0.000590353,0.004350737,0.000667818,0.001364936,0.005099255,0.012282227,0.002240307,0.013990568,0.005576281,0.005531816,0.000621173,0.008447353,0.005627128,0.001068907,0.003694887,0.003769718,0.001077338,0.001458868,0.00304771,0.003112139,0.001052722,0.002168463,0.007199943,0.001604235,0.033444392,0.005965114,0.003997196,0.000615946,0.077552795,0.001744533,0.004578597,0.00081815,0.001634536,0.001632472,0.006274792,0.006916704,0.000991677,0.001662315,0.005786658,0.000652991,6.27E-05,0.012102158,0.001388607,0.000116489,0.003337536,0.000722795,0.00050904,0.000296052,0.00035929,0.000114115,0.000247835,0.000584746,0.002205304,0.001486406,0.000176972,0.002479634,0.016344414,0.034813818,0.002438864,0.02353658,0.000761215,0.000757355,0.00225773,8.87E-05,0.000125482,0.001394532,0.000667377,0.000190081,0.005350001,0.00250626,0.00182601,0.006227244,0.000633502,0.004053855,0.000748309,0.000840085,0.0007293
Anaerotruncus_colihominis_DSM_17241,0.174162605,0.02730957,0.190458156,0.041628467,0.032033208,1,0.037017105,0.060887546,0.16828852,0.117024881,0.212561433,0.280024477,0.06612804,0.178058285,0.267441505,0.100952767,0.140026769,0.227473943,0.083007798,0.119789968,0.135459281,0.167553571,0.151865935,0.171022,0.094077622,0.047197207,0.023907103,0.111125793,0.129119224,0.053248658,0.170100144,0.09540245,0.11995095,0.38807356,0.283280615,0.066969035,0.114012415,0.082990085,0.469958132,0.229699168,0.25799208,0.229391441,0.382072529,0.418051224,0.443982732,0.093136048,0.403745346,0.052142344,0.108852149,0.307668957,0.097670129,0.113479914,0.047210198,0.475432088,0.060655569,0.074025899,0.157997093,0.097960251,0.114059374,0.103876611,0.368639902,0.385277254,0.132363353,0.175575841,0.032529231,0.145552757,0.434240052,0.118009675,0.043325911,0.279575528,0.0530339,0.235198786,0.072664057,0.078270313,0.284832478,0.47453474,0.358778351,0.017514424,0.128513929,0.019812633,0.040494526,0.151283195,0.168323059,0.065545753,0.109265716,0.165435455,0.153795233,0.018428788,0.277068346,0.166943981,0.026227299,0.054196882,0.1118389,0.031962142,0.04328126,0.090418554,0.092330034,0.030983576,0.064333311,0.153188429,0.04759398,0.279683211,0.124153994,0.118587641,0.018273714,0.085911495,0.051756299,0.076156222,0.024272647,0.048492949,0.0484317,0.131895738,0.174207283,0.029420775,0.047676326,0.126001493,0.019372731,0.00185981,0.072147284,0.035016192,0.003455954,0.043942133,0.021443666,0.015102041,0.008783192,0.010659304,0.003385538,0.007352709,0.022144545,0.066475253,0.038570081,0.005250345,0.072952989,0.025288297,0.182609084,0.039198865,0.083582217,0.022513304,0.021904605,0.066981677,0.002632096,0.003722752,0.04137257,0.01979954,0.005639267,0.139516236,0.074354997,0.054173533,0.186843285,0.018794562,0.108295274,0.022200622,0.02492339,0.021636665
Bacteroides_caccae_ATCC_43185,0.071303835,0.001250548,0.141176535,0.263794797,0.483959362,0.037017105,1,0.270291632,0.071916749,0.078687889,0.145375112,0.107760553,0.287392878,0.096570116,0.071990816,0.140679198,0.185393107,0.111137129,0.093101508,0.203712094,0.187796953,0.163130722,0.207732748,0.158101447,0.192971985,0.33695144,0.429188009,0.246985816,0.202263592,0.269759703,0.062024304,0.186863869,0.065949349,0.016876709,0.012689185,0.267236944,0.030701768,0.275560703,0.035891573,0.069198994,0.03999917,0.093966129,0.016381621,0.07271367,0.020229586,0.155703613,0.059360091,0.379518575,0.199517344,0.013528483,0.148718001,0.2182584,0.333391684,0.021895174,0.168700739,0.323739499,0.165514611,0.221520251,0.211835882,0.245013999,0.027191199,0.074275106,0.195146582,0.112401111,0.427295896,0.025808287,0.072708122,0.216154231,0.306706461,0.078797802,0.339166014,0.131054568,0.304338617,0.28196885,0.071498516,0.066013078,0.018616668,0.000802013,0.005455627,0.000907251,0.001854308,0.005812277,0.01331724,0.003043525,0.009345443,0.007575548,0.00713402,0.000843883,0.010023843,0.007643148,0.001452143,0.005019617,0.005121278,0.001463596,0.001981916,0.004140407,0.004227936,0.001430155,0.002945923,0.008381458,0.002179403,0.049290962,0.008088628,0.005355931,0.000836782,0.072644346,0.002370002,0.005208925,0.001111482,0.002216335,0.002217763,0.008219991,0.009130053,0.001347223,0.002258305,0.007776164,0.000887108,8.52E-05,0.016441152,0.001886465,0.000158254,0.004534144,0.000788814,0.000691546,0.000402196,0.000488106,0.000155029,0.000336692,0.000567625,0.002768293,0.001788652,0.000240421,0.002961182,0.028672444,0.032772041,0.003313271,0.013435011,0.001034134,0.000801534,0.003067196,0.000120528,0.000170471,0.001894515,0.000906652,0.000258231,0.006558059,0.003404831,0.002480691,0.008159106,0.000860632,0.005000302,0.001016601,0.001141281,0.000990777
Bacteroides_cellulosilyticus_DSM_14838,0.089938829,0.002124316,0.199071212,0.2439164,0.308911102,0.060887546,0.270291632,1,0.069447095,0.072699271,0.148553583,0.124774877,0.105169955,0.064702594,0.114353024,0.125983691,0.231444188,0.102629035,0.082216918,0.233415722,0.228446531,0.15600673,0.221177462,0.181151359,0.100060315,0.306928359,0.271064378,0.23080555,0.207866186,0.390946042,0.045870485,0.281646603,0.059303159,0.026168024,0.020262234,0.210913105,0.063697196,0.3128138,0.054285029,0.0733874,0.083231553,0.146788827,0.026412539,0.067578602,0.030507246,0.164340322,0.099919333,0.435241744,0.275981732,0.023880884,0.195414467,0.273994395,0.307684754,0.034474591,0.143858632,0.357641249,0.1895758,0.272250622,0.243845103,0.27013618,0.05482046,0.113245783,0.221138441,0.156976089,0.290989042,0.032454654,0.102633064,0.225916427,0.334781762,0.07283397,0.428818327,0.167214721,0.350882403,0.313762583,0.117560671,0.084742467,0.03159913,0.001362386,0.012870876,0.001541156,0.003149928,0.011562771,0.014955825,0.005170063,0.030644369,0.012761175,0.012401542,0.001433511,0.02123474,0.012289979,0.002075375,0.008223469,0.008694451,0.002486224,0.003326314,0.007033345,0.007099697,0.002429416,0.005004264,0.013715459,0.00370217,0.065482332,0.013595816,0.009047002,0.001421449,0.138820166,0.004025942,0.010299308,0.001888085,0.003772098,0.003753183,0.010171089,0.013735214,0.00228854,0.003552595,0.009264974,0.001506937,0.000144668,0.027382804,0.003102289,0.000268827,0.00258594,0.001668028,0.001131253,0.000683214,0.00082915,0.000263349,0.000571942,0.001893343,0.00623764,0.023661587,0.000408406,0.004726785,0.035045319,0.051355502,0.004598473,0.031298375,0.001724851,0.022031991,0.005110915,0.000204742,0.00028958,0.002590258,0.001540137,0.000438659,0.018992336,0.005783816,0.004213971,0.014240118,0.001461964,0.018357133,0.001726909,0.001938704,0.001683041
Bacteroides_coprocola_M16_DSM_17136,0.123791254,0.012834185,0.112643376,0.021160575,0.066001061,0.16828852,0.071916749,0.069447095,1,0.149606447,0.137450737,0.153052194,0.202316045,0.115374816,0.104006422,0.054496533,0.111670547,0.099944531,0.15606107,0.140081857,0.102932088,0.120461437,0.117546322,0.101899335,0.062341996,0.05390976,0.052429866,0.10132185,0.092257617,0.043130426,0.16435258,0.121311342,0.123507777,0.135137607,0.113422245,0.072564965,0.067819036,0.09088403,0.127764892,0.121536739,0.079676596,0.128572426,0.126234573,0.141307841,0.130175867,0.047705155,0.141011403,0.066848231,0.09752465,0.111158091,0.093452741,0.09773534,0.08765253,0.153833575,0.126349044,0.09882613,0.128457199,0.091284762,0.124750669,0.109250716,0.112930249,0.120785384,0.10220181,0.08909619,0.065145808,0.069539631,0.157301294,0.100782421,0.062184839,0.095889388,0.063807737,0.124999428,0.10436937,0.105263312,0.131875431,0.171832757,0.079525641,0.008547091,0.066991862,0.009668623,0.019507036,0.055621783,0.068637112,0.032435003,0.041921035,0.06532431,0.057993777,0.008993303,0.08341128,0.074865208,0.01347966,0.048498328,0.054045838,0.01559762,0.0173758,0.043855192,0.044692995,0.015241229,0.031394847,0.039166603,0.023226004,0.082112847,0.045209378,0.052340802,0.008917627,0.135089501,0.024949221,0.028582179,0.011004301,0.02209139,0.023611274,0.047856852,0.074594291,0.013387445,0.019173033,0.050376357,0.00945395,0.000907593,0.018366852,0.013797738,0.001686516,0.016179856,0.010464573,0.007369841,0.004286224,0.005201772,0.001652153,0.003588144,0.011878111,0.036358243,0.038511733,0.002562184,0.031843614,0.011270611,0.100493346,0.008686341,0.036850477,0.011020823,0.028905939,0.032672264,0.001284471,0.001816714,0.016872985,0.009662234,0.002751979,0.080217814,0.034402057,0.023225146,0.082810961,0.009171802,0.064037151,0.010833969,0.012162688,0.007691198
Bacteroides_coprophilus_DSM_18228,0.203172665,0.009634782,0.117791026,0.076331517,0.095540825,0.117024881,0.078687889,0.072699271,0.149606447,1,0.111064806,0.12730586,0.131949566,0.181984232,0.089235546,0.095411336,0.1264502,0.126620398,0.324500529,0.105624897,0.097036207,0.134975733,0.126936985,0.096911341,0.045433708,0.078920392,0.06900821,0.116075475,0.086968796,0.061746072,0.064525324,0.071332576,0.045264538,0.099503239,0.082893931,0.094411199,0.078394929,0.085510831,0.096058837,0.078654105,0.069230472,0.099359304,0.09470068,0.106159144,0.096749409,0.147587595,0.102963692,0.081250666,0.083547007,0.081347624,0.120308845,0.081355541,0.131793623,0.115930977,0.085925611,0.095238404,0.146268109,0.110980385,0.059134661,0.117365009,0.104850511,0.109125576,0.148469973,0.183923753,0.093358779,0.099728497,0.126145072,0.094151166,0.115485791,0.16034914,0.061072963,0.100658213,0.082201996,0.07969566,0.103126686,0.136078056,0.057119694,0.005911212,0.035225175,0.006989872,0.014286418,0.037881389,0.047949846,0.023236504,0.029167854,0.047292818,0.045235575,0.006501653,0.062710103,0.055426222,0.011034245,0.032264371,0.03937509,0.010758808,0.011962461,0.031417645,0.032224045,0.011018553,0.022395376,0.028308066,0.01645657,0.075651386,0.035350364,0.039646825,0.006409996,0.131535556,0.018259557,0.020475548,0.008137331,0.016989961,0.017086643,0.050246624,0.052363972,0.009069439,0.014062642,0.031996626,0.006498622,0.000656139,0.013703596,0.009123301,0.001219256,0.011752297,0.006101191,0.005327981,0.003098699,0.003760589,0.001194414,0.002594027,0.004388806,0.018065747,0.012778423,0.001852315,0.024408136,0.008788102,0.189873564,0.006039049,0.036001124,0.007575919,0.005744085,0.023631052,0.0009286,0.001313382,0.011179758,0.006883891,0.001989526,0.043063791,0.02589029,0.017482483,0.055678864,0.006630698,0.031573749,0.007832351,0.008086857,0.005621322
